stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 11:25:00,1757656500,1467.30,1469.10,1466.60,1468.00,1468.30,52535,0,833417,0
Ok,12-09-2025 11:20:00,1757656200,1466.10,1467.10,1466.10,1467.00,1466.46,21199,0,780882,0
Ok,12-09-2025 11:15:00,1757655900,1464.70,1465.50,1464.00,1464.80,1464.89,21474,0,759683,0
Ok,12-09-2025 11:10:00,1757655600,1465.40,1465.70,1465.10,1465.10,1463.93,3033,0,738209,0
Ok,12-09-2025 11:05:00,1757655300,1465.40,1466.40,1465.20,1465.50,1466.10,8086,0,735176,0
Ok,12-09-2025 11:00:00,1757655000,1463.20,1465.70,1463.00,1465.70,1463.78,9941,0,727090,0
Ok,12-09-2025 10:55:00,1757654700,1464.00,1464.50,1463.20,1463.50,1463.96,109586,0,717149,0
Ok,12-09-2025 10:50:00,1757654400,1464.30,1464.80,1464.00,1464.10,1464.20,19975,0,607563,0
Ok,12-09-2025 10:45:00,1757654100,1466.00,1466.20,1464.00,1464.20,1464.58,11724,0,587588,0
Ok,12-09-2025 10:40:00,1757653800,1465.10,1466.90,1464.80,1466.90,1465.62,7619,0,575864,0
Ok,12-09-2025 10:35:00,1757653500,1467.40,1467.60,1464.10,1465.00,1465.69,43554,0,568245,0
Ok,12-09-2025 10:30:00,1757653200,1466.90,1467.60,1466.00,1467.60,1466.76,8229,0,524691,0
Ok,12-09-2025 10:25:00,1757652900,1467.00,1467.50,1466.50,1466.70,1467.10,10180,0,516462,0
Ok,12-09-2025 10:20:00,1757652600,1468.10,1468.20,1466.00,1466.80,1467.06,25489,0,506282,0
Ok,12-09-2025 10:15:00,1757652300,1469.00,1469.50,1468.00,1468.20,1468.69,10948,0,480793,0
Ok,12-09-2025 10:10:00,1757652000,1469.10,1469.30,1468.70,1468.90,1468.85,13410,0,469845,0
Ok,12-09-2025 10:05:00,1757651700,1469.20,1469.50,1469.00,1469.00,1469.12,7353,0,456435,0
Ok,12-09-2025 10:00:00,1757651400,1468.50,1471.10,1468.50,1469.10,1469.60,15642,0,449082,0
Ok,12-09-2025 09:55:00,1757651100,1467.40,1469.50,1467.40,1468.30,1468.50,40436,0,433440,0
Ok,12-09-2025 09:50:00,1757650800,1466.80,1468.40,1466.10,1467.30,1467.50,11073,0,393004,0
Ok,12-09-2025 09:45:00,1757650500,1465.40,1467.50,1465.30,1466.10,1466.27,32035,0,381931,0
Ok,12-09-2025 09:40:00,1757650200,1468.80,1469.10,1465.10,1465.70,1466.79,29063,0,349896,0
Ok,12-09-2025 09:35:00,1757649900,1469.10,1470.10,1465.60,1469.00,1467.64,65762,0,320833,0
Ok,12-09-2025 09:30:00,1757649600,1474.90,1474.90,1469.00,1469.60,1471.19,46983,0,255071,0
Ok,12-09-2025 09:25:00,1757649300,1474.60,1477.30,1472.60,1474.70,1474.79,39965,0,208088,0
Ok,12-09-2025 09:20:00,1757649000,1472.70,1474.10,1468.90,1474.10,1471.40,63782,0,168123,0
Ok,12-09-2025 09:15:00,1757648700,1474.00,1479.90,1472.30,1472.80,1475.46,96972,0,104341,0
