stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 11:25:00,1757656500,777.60,778.00,776.75,777.60,777.22,11462,0,359028,0
Ok,12-09-2025 11:20:00,1757656200,777.60,778.00,777.10,777.80,777.52,12528,0,347566,0
Ok,12-09-2025 11:15:00,1757655900,775.10,777.85,775.10,777.70,776.51,21808,0,335038,0
Ok,12-09-2025 11:10:00,1757655600,774.75,775.60,774.70,775.20,774.90,4236,0,313230,0
Ok,12-09-2025 11:05:00,1757655300,774.85,775.55,774.60,775.00,775.34,6302,0,308994,0
Ok,12-09-2025 11:00:00,1757655000,774.70,774.90,774.45,774.70,774.32,3210,0,302692,0
Ok,12-09-2025 10:55:00,1757654700,774.50,774.70,773.90,774.30,774.46,5413,0,299482,0
Ok,12-09-2025 10:50:00,1757654400,774.85,775.60,774.45,774.45,775.07,11489,0,294069,0
Ok,12-09-2025 10:45:00,1757654100,773.45,774.95,773.25,774.95,774.27,5621,0,282580,0
Ok,12-09-2025 10:40:00,1757653800,772.50,773.35,772.30,773.15,772.69,18204,0,276959,0
Ok,12-09-2025 10:35:00,1757653500,772.55,772.85,772.35,772.45,771.70,1604,0,258755,0
Ok,12-09-2025 10:30:00,1757653200,772.35,772.65,772.10,772.50,772.38,10598,0,257151,0
Ok,12-09-2025 10:25:00,1757652900,771.35,772.40,770.80,771.95,771.41,13255,0,246553,0
Ok,12-09-2025 10:20:00,1757652600,771.90,772.10,771.30,771.30,771.87,5717,0,233298,0
Ok,12-09-2025 10:15:00,1757652300,770.70,771.95,770.25,771.65,771.06,8949,0,227581,0
Ok,12-09-2025 10:10:00,1757652000,772.50,773.30,770.25,770.95,772.00,24237,0,218632,0
Ok,12-09-2025 10:05:00,1757651700,773.25,773.25,772.05,772.10,772.71,6881,0,194395,0
Ok,12-09-2025 10:00:00,1757651400,773.35,773.60,772.20,773.20,773.34,45609,0,187514,0
Ok,12-09-2025 09:55:00,1757651100,773.65,773.95,773.15,773.15,773.60,6782,0,141905,0
Ok,12-09-2025 09:50:00,1757650800,774.55,774.70,773.55,773.70,774.20,13628,0,135123,0
Ok,12-09-2025 09:45:00,1757650500,774.25,774.60,772.65,774.60,773.54,51660,0,121495,0
Ok,12-09-2025 09:40:00,1757650200,774.05,774.60,773.50,774.35,773.98,6930,0,69835,0
Ok,12-09-2025 09:35:00,1757649900,773.95,774.70,773.85,774.10,774.07,23329,0,62905,0
Ok,12-09-2025 09:30:00,1757649600,773.90,774.05,773.65,773.85,773.78,6058,0,39576,0
Ok,12-09-2025 09:25:00,1757649300,774.30,774.60,773.65,773.70,774.05,4057,0,33518,0
Ok,12-09-2025 09:20:00,1757649000,774.75,775.45,773.30,774.25,774.38,19320,0,29461,0
Ok,12-09-2025 09:15:00,1757648700,774.30,777.40,774.30,774.85,775.57,9329,0,10141,0
