stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 15:10:00,1757670000,741.00,741.10,740.35,740.35,740.78,87627,0,1459868,0
Ok,12-09-2025 15:05:00,1757669700,741.10,741.30,740.95,740.95,741.17,78695,0,1372241,0
Ok,12-09-2025 15:00:00,1757669400,741.30,742.30,741.10,741.15,741.55,59377,0,1293546,0
Ok,12-09-2025 14:55:00,1757669100,741.40,741.60,741.10,741.25,740.97,14845,0,1234169,0
Ok,12-09-2025 14:50:00,1757668800,741.65,741.80,741.30,741.35,741.28,15451,0,1219324,0
Ok,12-09-2025 14:45:00,1757668500,741.55,742.20,741.20,741.85,741.61,31874,0,1203873,0
Ok,12-09-2025 14:40:00,1757668200,743.50,743.75,741.30,741.50,742.58,62330,0,1171999,0
Ok,12-09-2025 14:35:00,1757667900,743.75,743.95,743.00,743.40,743.77,21184,0,1109669,0
Ok,12-09-2025 14:30:00,1757667600,744.50,744.50,743.60,743.85,744.04,9192,0,1088485,0
Ok,12-09-2025 14:25:00,1757667300,744.15,745.00,744.15,744.45,744.53,16912,0,1079293,0
Ok,12-09-2025 14:20:00,1757667000,744.30,744.35,743.80,744.30,743.41,6977,0,1062381,0
Ok,12-09-2025 14:15:00,1757666700,744.35,744.35,743.55,744.35,744.35,9911,0,1055404,0
Ok,12-09-2025 14:10:00,1757666400,744.05,744.45,744.05,744.30,744.41,5005,0,1045493,0
Ok,12-09-2025 14:05:00,1757666100,744.00,744.15,743.60,744.10,744.34,4807,0,1040488,0
Ok,12-09-2025 14:00:00,1757665800,743.25,744.25,743.00,743.80,743.35,12998,0,1035681,0
Ok,12-09-2025 13:55:00,1757665500,742.70,743.40,742.70,743.10,742.61,5174,0,1022683,0
Ok,12-09-2025 13:50:00,1757665200,742.90,742.95,742.25,742.85,742.15,9151,0,1017509,0
Ok,12-09-2025 13:45:00,1757664900,743.25,743.40,742.40,742.80,742.76,28064,0,1008358,0
Ok,12-09-2025 13:40:00,1757664600,743.90,744.00,743.05,743.20,744.16,11391,0,980294,0
Ok,12-09-2025 13:35:00,1757664300,743.70,744.35,743.45,743.95,743.73,22008,0,968903,0
Ok,12-09-2025 13:30:00,1757664000,743.90,743.90,743.25,743.50,743.41,11010,0,946895,0
Ok,12-09-2025 13:25:00,1757663700,743.85,744.10,743.40,743.95,744.01,13012,0,935885,0
Ok,12-09-2025 13:20:00,1757663400,743.40,743.80,743.30,743.80,743.03,4757,0,922873,0
Ok,12-09-2025 13:15:00,1757663100,743.60,743.85,743.30,743.70,742.84,6718,0,918116,0
Ok,12-09-2025 13:10:00,1757662800,743.90,744.00,743.30,743.80,744.23,9993,0,911398,0
Ok,12-09-2025 13:05:00,1757662500,743.15,744.00,742.90,744.00,743.09,11455,0,901405,0
Ok,12-09-2025 13:00:00,1757662200,742.80,743.35,742.45,743.10,742.78,22478,0,889950,0
Ok,12-09-2025 12:55:00,1757661900,742.95,743.05,742.80,742.95,742.91,10157,0,867472,0
Ok,12-09-2025 12:50:00,1757661600,743.15,743.25,742.75,742.80,742.72,7617,0,857315,0
Ok,12-09-2025 12:45:00,1757661300,743.55,743.60,742.85,743.20,742.98,17670,0,849698,0
Ok,12-09-2025 12:40:00,1757661000,743.80,743.85,743.40,743.60,744.30,8203,0,832028,0
Ok,12-09-2025 12:35:00,1757660700,743.90,744.00,743.50,743.85,743.07,5747,0,823825,0
Ok,12-09-2025 12:30:00,1757660400,743.65,743.85,743.50,743.85,744.31,5299,0,818078,0
Ok,12-09-2025 12:25:00,1757660100,743.85,743.95,742.50,743.70,743.10,23881,0,812779,0
Ok,12-09-2025 12:20:00,1757659800,743.75,744.00,743.35,743.90,743.56,19424,0,788898,0
Ok,12-09-2025 12:15:00,1757659500,743.35,744.35,743.25,744.00,743.59,9420,0,769474,0
Ok,12-09-2025 12:10:00,1757659200,744.35,744.55,743.00,743.55,743.60,47303,0,760054,0
Ok,12-09-2025 12:05:00,1757658900,744.60,744.80,744.00,744.40,744.54,20400,0,712751,0
Ok,12-09-2025 12:00:00,1757658600,744.40,744.90,743.75,744.90,744.04,13564,0,692351,0
Ok,12-09-2025 11:55:00,1757658300,744.30,744.45,743.60,744.10,743.96,25134,0,678787,0
Ok,12-09-2025 11:50:00,1757658000,745.40,745.70,744.10,744.10,745.04,32605,0,653653,0
Ok,12-09-2025 11:45:00,1757657700,746.00,746.25,745.20,745.55,745.49,18342,0,621048,0
