stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 15:10:00,1757670000,1099.10,1099.40,1098.10,1099.20,1098.33,19831,0,940689,0
Ok,12-09-2025 15:05:00,1757669700,1099.70,1100.20,1098.90,1099.40,1099.67,15850,0,920858,0
Ok,12-09-2025 15:00:00,1757669400,1098.40,1100.60,1098.40,1099.80,1099.94,20425,0,905008,0
Ok,12-09-2025 14:55:00,1757669100,1099.20,1099.40,1098.30,1098.90,1098.64,12846,0,884583,0
Ok,12-09-2025 14:50:00,1757668800,1098.30,1099.40,1097.80,1099.00,1099.04,9672,0,871737,0
Ok,12-09-2025 14:45:00,1757668500,1098.10,1098.60,1097.80,1098.40,1097.98,11578,0,862065,0
Ok,12-09-2025 14:40:00,1757668200,1098.00,1098.40,1097.70,1097.90,1097.24,6061,0,850487,0
Ok,12-09-2025 14:35:00,1757667900,1098.50,1098.90,1097.70,1098.10,1098.13,27432,0,844426,0
Ok,12-09-2025 14:30:00,1757667600,1098.80,1099.00,1097.70,1098.00,1097.71,30730,0,816994,0
Ok,12-09-2025 14:25:00,1757667300,1098.50,1098.90,1097.00,1098.40,1097.30,61935,0,786264,0
Ok,12-09-2025 14:20:00,1757667000,1098.90,1099.20,1098.00,1098.90,1097.17,28855,0,724329,0
Ok,12-09-2025 14:15:00,1757666700,1100.40,1100.60,1097.80,1099.20,1098.17,26882,0,695474,0
Ok,12-09-2025 14:10:00,1757666400,1100.10,1100.60,1099.40,1100.10,1099.74,5098,0,668592,0
Ok,12-09-2025 14:05:00,1757666100,1101.70,1102.10,1099.40,1099.60,1101.18,17446,0,663494,0
Ok,12-09-2025 14:00:00,1757665800,1101.40,1101.40,1099.70,1101.30,1100.42,5627,0,646048,0
Ok,12-09-2025 13:55:00,1757665500,1099.60,1101.70,1099.10,1101.50,1100.23,11580,0,640421,0
Ok,12-09-2025 13:50:00,1757665200,1098.70,1099.10,1098.10,1099.00,1099.32,5182,0,628841,0
Ok,12-09-2025 13:45:00,1757664900,1098.00,1099.80,1097.70,1098.40,1099.00,17273,0,623659,0
Ok,12-09-2025 13:40:00,1757664600,1096.80,1098.60,1096.80,1098.30,1097.92,26627,0,606386,0
Ok,12-09-2025 13:35:00,1757664300,1095.50,1097.70,1095.50,1097.00,1096.30,91218,0,579759,0
