stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 11:25:00,1757656500,1218.10,1218.60,1217.90,1218.40,1218.32,3841,0,188754,0
Ok,12-09-2025 11:20:00,1757656200,1218.50,1218.60,1217.90,1218.20,1218.70,1278,0,184913,0
Ok,12-09-2025 11:15:00,1757655900,1215.70,1218.70,1215.20,1218.40,1217.38,10858,0,183635,0
Ok,12-09-2025 11:10:00,1757655600,1215.80,1215.80,1215.00,1215.40,1214.92,2297,0,172777,0
Ok,12-09-2025 11:05:00,1757655300,1215.00,1216.00,1214.30,1215.70,1215.30,4369,0,170480,0
Ok,12-09-2025 11:00:00,1757655000,1213.50,1215.70,1212.90,1215.40,1214.13,5289,0,166111,0
Ok,12-09-2025 10:55:00,1757654700,1214.30,1214.40,1213.20,1213.90,1214.14,2516,0,160822,0
Ok,12-09-2025 10:50:00,1757654400,1212.30,1214.90,1211.80,1213.80,1213.28,3614,0,158306,0
Ok,12-09-2025 10:45:00,1757654100,1212.00,1212.80,1211.30,1212.00,1212.18,2319,0,154692,0
Ok,12-09-2025 10:40:00,1757653800,1211.60,1212.00,1210.90,1211.90,1211.24,4036,0,152373,0
Ok,12-09-2025 10:35:00,1757653500,1210.80,1211.60,1210.00,1211.10,1210.58,3154,0,148337,0
Ok,12-09-2025 10:30:00,1757653200,1211.50,1212.00,1211.00,1211.00,1212.23,1359,0,145183,0
Ok,12-09-2025 10:25:00,1757652900,1212.00,1212.50,1211.10,1211.60,1211.43,1935,0,143824,0
Ok,12-09-2025 10:20:00,1757652600,1212.60,1213.60,1211.90,1212.50,1212.51,2214,0,141889,0
Ok,12-09-2025 10:15:00,1757652300,1213.60,1213.90,1212.60,1213.00,1212.92,2716,0,139675,0
Ok,12-09-2025 10:10:00,1757652000,1212.00,1214.50,1211.70,1213.00,1213.25,4365,0,136959,0
Ok,12-09-2025 10:05:00,1757651700,1210.50,1212.80,1210.20,1211.90,1211.53,3902,0,132594,0
Ok,12-09-2025 10:00:00,1757651400,1210.30,1211.00,1209.50,1210.90,1210.45,3035,0,128692,0
Ok,12-09-2025 09:55:00,1757651100,1211.20,1211.80,1209.90,1209.90,1210.43,2883,0,125657,0
Ok,12-09-2025 09:50:00,1757650800,1210.60,1211.80,1210.10,1211.70,1210.81,2716,0,122774,0
Ok,12-09-2025 09:45:00,1757650500,1213.50,1213.50,1210.10,1210.40,1211.45,13917,0,120058,0
Ok,12-09-2025 09:40:00,1757650200,1215.00,1215.40,1212.10,1213.60,1214.04,34195,0,106141,0
Ok,12-09-2025 09:35:00,1757649900,1216.30,1216.80,1211.90,1215.50,1213.27,21668,0,71946,0
Ok,12-09-2025 09:30:00,1757649600,1215.00,1217.10,1213.50,1216.90,1215.29,8590,0,50278,0
Ok,12-09-2025 09:25:00,1757649300,1213.70,1215.20,1212.80,1214.60,1214.09,10267,0,41688,0
Ok,12-09-2025 09:20:00,1757649000,1219.40,1220.00,1213.90,1213.90,1216.11,14639,0,31421,0
Ok,12-09-2025 09:15:00,1757648700,1221.10,1222.90,1219.40,1220.00,1220.72,16276,0,16782,0
