stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 11:25:00,1757656500,1107.90,1108.90,1107.60,1107.80,1108.15,10119,0,251951,0
Ok,12-09-2025 11:20:00,1757656200,1107.60,1108.30,1107.30,1108.00,1107.87,9439,0,241832,0
Ok,12-09-2025 11:15:00,1757655900,1105.90,1107.50,1104.30,1107.50,1105.87,18246,0,232393,0
Ok,12-09-2025 11:10:00,1757655600,1106.90,1106.90,1105.60,1105.70,1106.52,10571,0,214147,0
Ok,12-09-2025 11:05:00,1757655300,1107.00,1107.70,1106.00,1106.70,1107.00,20107,0,203576,0
Ok,12-09-2025 11:00:00,1757655000,1106.10,1108.00,1105.80,1106.50,1106.97,17970,0,183469,0
Ok,12-09-2025 10:55:00,1757654700,1106.40,1107.00,1106.30,1106.50,1106.77,9934,0,165499,0
Ok,12-09-2025 10:50:00,1757654400,1106.30,1106.80,1105.40,1106.80,1106.31,13239,0,155565,0
Ok,12-09-2025 10:45:00,1757654100,1102.10,1106.40,1102.10,1106.20,1104.99,27682,0,142326,0
Ok,12-09-2025 10:40:00,1757653800,1102.60,1102.60,1101.30,1102.20,1101.67,10028,0,114644,0
Ok,12-09-2025 10:35:00,1757653500,1102.30,1102.60,1101.50,1102.60,1101.66,6896,0,104616,0
Ok,12-09-2025 10:30:00,1757653200,1101.80,1102.50,1101.40,1101.90,1101.99,2122,0,97720,0
Ok,12-09-2025 10:25:00,1757652900,1102.00,1102.10,1100.30,1101.70,1101.35,5521,0,95598,0
Ok,12-09-2025 10:20:00,1757652600,1103.50,1103.60,1102.00,1102.40,1102.76,2558,0,90077,0
Ok,12-09-2025 10:15:00,1757652300,1103.60,1104.30,1103.00,1103.60,1103.34,2164,0,87519,0
Ok,12-09-2025 10:10:00,1757652000,1103.60,1104.40,1103.00,1103.50,1103.65,2744,0,85355,0
Ok,12-09-2025 10:05:00,1757651700,1102.80,1104.40,1102.30,1103.70,1103.67,1774,0,82611,0
Ok,12-09-2025 10:00:00,1757651400,1102.60,1103.10,1102.20,1103.10,1102.54,3385,0,80837,0
Ok,12-09-2025 09:55:00,1757651100,1104.40,1104.40,1102.00,1102.30,1103.32,10274,0,77452,0
Ok,12-09-2025 09:50:00,1757650800,1105.50,1105.80,1104.10,1104.30,1104.90,2974,0,67178,0
Ok,12-09-2025 09:45:00,1757650500,1106.20,1106.70,1105.50,1106.00,1106.24,1866,0,64204,0
Ok,12-09-2025 09:40:00,1757650200,1107.00,1107.60,1106.60,1106.80,1107.09,4177,0,62338,0
Ok,12-09-2025 09:35:00,1757649900,1106.50,1107.80,1106.30,1107.80,1107.05,5400,0,58161,0
Ok,12-09-2025 09:30:00,1757649600,1103.30,1106.40,1103.00,1106.20,1104.00,23467,0,52761,0
Ok,12-09-2025 09:25:00,1757649300,1103.20,1104.10,1103.10,1103.90,1103.72,7791,0,29294,0
Ok,12-09-2025 09:20:00,1757649000,1105.20,1106.50,1103.20,1103.60,1104.98,6174,0,21503,0
Ok,12-09-2025 09:15:00,1757648700,1104.90,1108.60,1104.30,1105.30,1105.34,14904,0,15329,0
