stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,12-09-2025 15:10:00,1757670000,251.84,251.95,251.84,251.93,251.76,103227,0,4807619,0
Ok,12-09-2025 15:05:00,1757669700,251.75,251.85,251.65,251.85,252.23,71221,0,4704392,0
Ok,12-09-2025 15:00:00,1757669400,251.85,252.00,251.59,251.65,251.64,155237,0,4633171,0
Ok,12-09-2025 14:55:00,1757669100,251.80,251.99,251.70,251.91,251.63,71737,0,4477934,0
Ok,12-09-2025 14:50:00,1757668800,251.76,251.87,251.66,251.79,252.26,31186,0,4406197,0
Ok,12-09-2025 14:45:00,1757668500,251.76,251.78,251.52,251.74,250.53,50240,0,4375011,0
Ok,12-09-2025 14:40:00,1757668200,251.90,251.95,251.80,251.82,252.28,42276,0,4324771,0
Ok,12-09-2025 14:35:00,1757667900,252.07,252.07,251.80,251.82,252.28,47976,0,4282495,0
Ok,12-09-2025 14:30:00,1757667600,252.25,252.26,252.03,252.05,252.28,44575,0,4234519,0
Ok,12-09-2025 14:25:00,1757667300,252.09,252.26,252.09,252.26,252.28,27002,0,4189944,0
Ok,12-09-2025 14:20:00,1757667000,252.06,252.10,251.93,252.10,252.28,20734,0,4162942,0
Ok,12-09-2025 14:15:00,1757666700,252.03,252.10,252.00,252.03,252.28,14932,0,4142208,0
Ok,12-09-2025 14:10:00,1757666400,252.06,252.10,252.00,252.09,252.28,14699,0,4127276,0
Ok,12-09-2025 14:05:00,1757666100,252.12,252.14,252.00,252.10,252.28,18114,0,4112577,0
Ok,12-09-2025 14:00:00,1757665800,251.95,252.15,251.94,252.13,252.28,39317,0,4094463,0
Ok,12-09-2025 13:55:00,1757665500,251.90,252.03,251.85,251.94,250.77,26783,0,4055146,0
Ok,12-09-2025 13:50:00,1757665200,251.76,251.95,251.65,251.94,252.29,25468,0,4028363,0
Ok,12-09-2025 13:45:00,1757664900,251.80,251.90,251.66,251.77,252.29,25254,0,4002895,0
Ok,12-09-2025 13:40:00,1757664600,251.83,251.99,251.80,251.85,250.86,27753,0,3977641,0
Ok,12-09-2025 13:35:00,1757664300,251.86,251.90,251.80,251.90,252.30,29861,0,3949888,0
Ok,12-09-2025 13:30:00,1757664000,251.75,251.94,251.75,251.89,252.30,26382,0,3920027,0
Ok,12-09-2025 13:25:00,1757663700,251.75,251.80,251.61,251.72,252.30,11047,0,3893645,0
Ok,12-09-2025 13:20:00,1757663400,251.80,251.85,251.67,251.80,250.49,21403,0,3882598,0
Ok,12-09-2025 13:15:00,1757663100,251.66,251.85,251.59,251.83,252.31,12785,0,3861195,0
Ok,12-09-2025 13:10:00,1757662800,251.55,251.71,251.51,251.65,252.31,17798,0,3848410,0
