stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,644.05,646.30,643.70,646.20,644.94,134210,0,7775135,0
Ok,15-09-2025 15:20:00,1757929800,642.85,644.45,641.15,644.20,642.61,329993,0,7640925,0
Ok,15-09-2025 15:15:00,1757929500,646.30,646.50,642.20,642.90,643.55,392975,0,7310932,0
Ok,15-09-2025 15:10:00,1757929200,645.65,646.35,644.20,646.35,645.15,209967,0,6917957,0
Ok,15-09-2025 15:05:00,1757928900,646.25,647.60,645.55,646.00,647.23,101357,0,6707990,0
Ok,15-09-2025 15:00:00,1757928600,645.45,646.65,645.45,646.30,645.29,64264,0,6606633,0
Ok,15-09-2025 14:55:00,1757928300,646.55,646.55,645.25,645.50,646.04,55300,0,6542369,0
Ok,15-09-2025 14:50:00,1757928000,647.50,647.75,646.20,646.20,647.14,40489,0,6487069,0
Ok,15-09-2025 14:45:00,1757927700,647.50,647.90,646.85,647.75,647.87,36085,0,6446580,0
Ok,15-09-2025 14:40:00,1757927400,647.60,648.25,647.40,647.40,647.45,40860,0,6410495,0
Ok,15-09-2025 14:35:00,1757927100,647.65,648.45,647.05,647.75,647.73,48478,0,6369635,0
Ok,15-09-2025 14:30:00,1757926800,646.90,647.85,646.85,647.80,647.29,26125,0,6321157,0
Ok,15-09-2025 14:25:00,1757926500,646.50,647.40,646.15,647.10,647.03,44038,0,6295032,0
Ok,15-09-2025 14:20:00,1757926200,646.20,646.75,645.80,646.75,645.82,22200,0,6250994,0
Ok,15-09-2025 14:15:00,1757925900,647.65,648.00,645.30,646.00,646.09,83873,0,6228794,0
Ok,15-09-2025 14:10:00,1757925600,647.25,648.25,647.05,647.80,649.14,30238,0,6144921,0
Ok,15-09-2025 14:05:00,1757925300,647.20,647.45,647.00,647.45,646.57,17087,0,6114683,0
Ok,15-09-2025 14:00:00,1757925000,647.20,647.50,646.80,647.05,647.17,23982,0,6097596,0
Ok,15-09-2025 13:55:00,1757924700,647.55,647.90,646.50,647.00,646.22,32606,0,6073614,0
Ok,15-09-2025 13:50:00,1757924400,647.10,647.95,646.50,647.80,646.97,45962,0,6041008,0
Ok,15-09-2025 13:45:00,1757924100,647.95,647.95,646.10,647.05,647.25,120619,0,5995046,0
Ok,15-09-2025 13:40:00,1757923800,650.60,651.00,647.15,647.70,648.76,196993,0,5874427,0
Ok,15-09-2025 13:35:00,1757923500,651.00,651.35,650.70,650.85,651.17,24844,0,5677434,0
Ok,15-09-2025 13:30:00,1757923200,652.10,652.10,650.85,651.20,652.23,29063,0,5652590,0
Ok,15-09-2025 13:25:00,1757922900,651.60,652.30,651.20,652.00,651.29,33030,0,5623527,0
Ok,15-09-2025 13:20:00,1757922600,651.10,651.85,650.50,651.85,651.67,34544,0,5590497,0
Ok,15-09-2025 13:15:00,1757922300,651.35,651.80,650.85,651.30,649.62,25970,0,5555953,0
Ok,15-09-2025 13:10:00,1757922000,650.95,651.40,650.40,651.30,650.67,29284,0,5529983,0
Ok,15-09-2025 13:05:00,1757921700,651.70,651.90,650.40,650.90,651.05,75710,0,5500699,0
Ok,15-09-2025 13:00:00,1757921400,651.75,652.00,651.50,651.80,651.82,16643,0,5424989,0
Ok,15-09-2025 12:55:00,1757921100,651.60,651.95,651.25,651.50,652.42,27253,0,5408346,0
Ok,15-09-2025 12:50:00,1757920800,651.25,652.00,651.20,651.80,651.52,31248,0,5381093,0
Ok,15-09-2025 12:45:00,1757920500,652.10,652.50,651.10,651.30,651.86,48566,0,5349845,0
Ok,15-09-2025 12:40:00,1757920200,652.80,652.95,652.00,652.20,651.33,29518,0,5301279,0
Ok,15-09-2025 12:35:00,1757919900,653.30,653.70,652.40,652.85,653.66,32392,0,5271761,0
Ok,15-09-2025 12:30:00,1757919600,652.90,653.50,652.70,653.50,646.13,16834,0,5239369,0
Ok,15-09-2025 12:25:00,1757919300,652.25,653.00,652.25,652.95,658.59,15217,0,5222535,0
Ok,15-09-2025 12:20:00,1757919000,652.65,653.40,652.20,652.50,654.76,13590,0,5207318,0
Ok,15-09-2025 12:15:00,1757918700,652.35,653.25,652.10,652.10,652.70,35044,0,5193728,0
Ok,15-09-2025 12:10:00,1757918400,652.45,652.50,651.65,652.50,652.51,16796,0,5158684,0
Ok,15-09-2025 12:05:00,1757918100,652.60,652.60,651.50,652.50,651.83,74364,0,5141888,0
Ok,15-09-2025 12:00:00,1757917800,653.90,654.65,652.25,652.55,653.39,74573,0,5067524,0
Ok,15-09-2025 11:55:00,1757917500,653.40,653.90,653.05,653.75,654.13,21174,0,4992951,0
Ok,15-09-2025 11:50:00,1757917200,652.95,653.50,652.75,653.35,651.77,20980,0,4971777,0
Ok,15-09-2025 11:45:00,1757916900,653.20,653.60,652.90,653.10,654.54,22704,0,4950797,0
Ok,15-09-2025 11:40:00,1757916600,653.70,653.95,652.95,653.30,651.85,27808,0,4928093,0
Ok,15-09-2025 11:35:00,1757916300,652.75,653.95,652.40,653.95,653.33,34667,0,4900285,0
Ok,15-09-2025 11:30:00,1757916000,652.50,653.25,652.25,652.85,652.45,44298,0,4865618,0
Ok,15-09-2025 11:25:00,1757915700,652.85,653.50,652.20,652.45,652.77,53188,0,4821320,0
