stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,133.97,134.01,133.72,133.90,134.23,155771,0,10534619,0
Ok,15-09-2025 15:20:00,1757929800,133.96,134.00,133.85,133.91,133.90,308962,0,10378848,0
Ok,15-09-2025 15:15:00,1757929500,133.98,134.00,133.85,133.97,133.65,336175,0,10069886,0
Ok,15-09-2025 15:10:00,1757929200,133.95,133.99,133.90,133.95,134.26,274119,0,9733711,0
Ok,15-09-2025 15:05:00,1757928900,133.98,133.99,133.85,133.94,133.44,335641,0,9459592,0
Ok,15-09-2025 15:00:00,1757928600,134.00,134.01,133.97,133.99,134.29,225668,0,9123951,0
Ok,15-09-2025 14:55:00,1757928300,133.98,134.00,133.91,133.99,134.29,158272,0,8898283,0
Ok,15-09-2025 14:50:00,1757928000,133.99,134.00,133.90,133.99,134.29,143532,0,8740011,0
Ok,15-09-2025 14:45:00,1757927700,133.94,134.00,133.83,133.95,133.63,129556,0,8596479,0
Ok,15-09-2025 14:40:00,1757927400,133.95,134.00,133.89,133.95,133.85,187033,0,8466923,0
Ok,15-09-2025 14:35:00,1757927100,133.89,134.00,133.83,134.00,134.31,140960,0,8279890,0
Ok,15-09-2025 14:30:00,1757926800,133.68,134.00,133.63,133.85,133.64,239631,0,8138930,0
Ok,15-09-2025 14:25:00,1757926500,133.48,133.67,133.41,133.67,134.33,51474,0,7899299,0
Ok,15-09-2025 14:20:00,1757926200,133.93,133.95,133.32,133.50,133.44,340254,0,7847825,0
Ok,15-09-2025 14:15:00,1757925900,133.96,134.00,133.82,133.91,134.37,58978,0,7507571,0
Ok,15-09-2025 14:10:00,1757925600,133.97,134.08,133.95,134.00,133.69,108405,0,7448593,0
Ok,15-09-2025 14:05:00,1757925300,133.96,134.01,133.94,134.00,134.38,84079,0,7340188,0
Ok,15-09-2025 14:00:00,1757925000,133.96,134.01,133.94,133.99,133.10,56796,0,7256109,0
Ok,15-09-2025 13:55:00,1757924700,133.96,134.09,133.92,133.99,134.39,74230,0,7199313,0
Ok,15-09-2025 13:50:00,1757924400,133.85,134.00,133.85,133.99,133.50,80022,0,7125083,0
Ok,15-09-2025 13:45:00,1757924100,133.95,134.00,133.85,133.90,134.40,44269,0,7045061,0
Ok,15-09-2025 13:40:00,1757923800,133.90,133.99,133.82,133.93,134.40,52065,0,7000792,0
Ok,15-09-2025 13:35:00,1757923500,133.88,133.95,133.81,133.94,132.59,38393,0,6948727,0
Ok,15-09-2025 13:30:00,1757923200,133.94,133.97,133.80,133.86,134.41,33084,0,6910334,0
Ok,15-09-2025 13:25:00,1757922900,133.89,133.99,133.85,133.95,134.41,34255,0,6877250,0
Ok,15-09-2025 13:20:00,1757922600,133.95,134.00,133.81,133.95,134.41,37947,0,6842995,0
Ok,15-09-2025 13:15:00,1757922300,133.90,133.99,133.86,133.94,133.21,56587,0,6805048,0
Ok,15-09-2025 13:10:00,1757922000,133.84,133.93,133.80,133.91,134.42,36720,0,6748461,0
Ok,15-09-2025 13:05:00,1757921700,133.71,133.85,133.66,133.85,134.42,40801,0,6711741,0
Ok,15-09-2025 13:00:00,1757921400,133.60,133.73,133.58,133.66,132.45,33783,0,6670940,0
Ok,15-09-2025 12:55:00,1757921100,133.52,133.66,133.46,133.65,134.43,38781,0,6637157,0
Ok,15-09-2025 12:50:00,1757920800,133.54,133.62,133.50,133.51,132.56,35259,0,6598376,0
Ok,15-09-2025 12:45:00,1757920500,133.53,133.61,133.35,133.55,133.49,68584,0,6563117,0
Ok,15-09-2025 12:40:00,1757920200,133.57,133.60,133.52,133.58,134.45,40675,0,6494533,0
Ok,15-09-2025 12:35:00,1757919900,133.51,133.60,133.50,133.53,133.25,53469,0,6453858,0
Ok,15-09-2025 12:30:00,1757919600,133.87,133.87,133.42,133.54,133.40,607853,0,6400389,0
Ok,15-09-2025 12:25:00,1757919300,133.92,133.98,133.81,133.81,133.96,95057,0,5792536,0
Ok,15-09-2025 12:20:00,1757919000,133.89,134.00,133.84,133.95,132.76,31293,0,5697479,0
