stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,459.65,460.00,459.65,460.00,460.04,95141,0,5713917,0
Ok,15-09-2025 15:20:00,1757929800,459.95,460.00,459.60,459.80,459.71,168336,0,5618776,0
Ok,15-09-2025 15:15:00,1757929500,460.70,460.80,459.85,460.00,460.30,130476,0,5450440,0
Ok,15-09-2025 15:10:00,1757929200,460.05,460.55,459.95,460.55,459.79,44972,0,5319964,0
Ok,15-09-2025 15:05:00,1757928900,460.55,461.50,459.75,460.10,460.31,158084,0,5274992,0
Ok,15-09-2025 15:00:00,1757928600,460.50,461.45,459.95,460.70,460.47,222318,0,5116908,0
Ok,15-09-2025 14:55:00,1757928300,460.70,460.80,460.35,460.60,460.55,56372,0,4894590,0
Ok,15-09-2025 14:50:00,1757928000,461.00,461.00,460.65,460.75,460.33,31644,0,4838218,0
Ok,15-09-2025 14:45:00,1757927700,460.95,461.00,460.75,460.85,460.65,22394,0,4806574,0
Ok,15-09-2025 14:40:00,1757927400,460.90,461.00,460.90,461.00,461.23,63658,0,4784180,0
Ok,15-09-2025 14:35:00,1757927100,462.25,462.50,460.70,461.00,461.29,111980,0,4720522,0
Ok,15-09-2025 14:30:00,1757926800,461.45,462.30,461.30,462.20,461.09,22947,0,4608542,0
Ok,15-09-2025 14:25:00,1757926500,461.00,461.70,460.85,461.50,460.82,42470,0,4585595,0
Ok,15-09-2025 14:20:00,1757926200,460.70,460.90,460.65,460.90,460.09,35687,0,4543125,0
Ok,15-09-2025 14:15:00,1757925900,460.95,460.95,460.60,460.85,462.10,43496,0,4507438,0
Ok,15-09-2025 14:10:00,1757925600,460.85,460.95,460.80,460.90,459.72,24264,0,4463942,0
Ok,15-09-2025 14:05:00,1757925300,460.90,461.50,460.70,460.70,460.86,40132,0,4439678,0
Ok,15-09-2025 14:00:00,1757925000,461.00,461.40,460.80,461.00,461.09,41617,0,4399546,0
Ok,15-09-2025 13:55:00,1757924700,461.80,462.00,461.00,461.10,461.17,41615,0,4357929,0
Ok,15-09-2025 13:50:00,1757924400,461.50,462.35,461.25,461.55,461.66,34701,0,4316314,0
Ok,15-09-2025 13:45:00,1757924100,462.00,462.20,461.40,461.55,462.00,37564,0,4281613,0
Ok,15-09-2025 13:40:00,1757923800,462.25,462.25,460.45,461.40,461.26,109380,0,4244049,0
Ok,15-09-2025 13:35:00,1757923500,464.50,464.65,461.95,462.10,463.41,186148,0,4134669,0
Ok,15-09-2025 13:30:00,1757923200,464.65,465.00,464.15,464.35,465.64,21428,0,3948521,0
Ok,15-09-2025 13:25:00,1757922900,465.40,465.40,464.55,464.85,465.64,18141,0,3927093,0
Ok,15-09-2025 13:20:00,1757922600,465.00,465.45,464.70,465.10,463.23,16166,0,3908952,0
Ok,15-09-2025 13:15:00,1757922300,464.90,465.20,464.90,464.95,465.65,15731,0,3892786,0
Ok,15-09-2025 13:10:00,1757922000,464.70,465.15,464.70,465.00,465.65,11325,0,3877055,0
Ok,15-09-2025 13:05:00,1757921700,464.40,465.00,464.30,464.95,463.21,15824,0,3865730,0
Ok,15-09-2025 13:00:00,1757921400,464.45,464.45,464.10,464.25,465.66,18686,0,3849906,0
Ok,15-09-2025 12:55:00,1757921100,464.70,464.70,464.35,464.35,464.38,59334,0,3831220,0
Ok,15-09-2025 12:50:00,1757920800,465.00,465.20,464.65,464.65,464.56,33653,0,3771886,0
Ok,15-09-2025 12:45:00,1757920500,465.00,465.20,464.95,464.95,465.69,19121,0,3738233,0
Ok,15-09-2025 12:40:00,1757920200,465.05,465.10,464.65,465.10,464.12,23686,0,3719112,0
Ok,15-09-2025 12:35:00,1757919900,465.20,465.20,464.70,465.10,465.70,32460,0,3695426,0
Ok,15-09-2025 12:30:00,1757919600,466.00,466.25,465.00,465.05,464.73,37753,0,3662966,0
Ok,15-09-2025 12:25:00,1757919300,466.05,466.30,465.90,466.20,465.71,16679,0,3625213,0
Ok,15-09-2025 12:20:00,1757919000,466.40,466.40,466.10,466.25,467.90,16370,0,3608534,0
Ok,15-09-2025 12:15:00,1757918700,466.15,466.45,466.10,466.35,465.70,13172,0,3592164,0
Ok,15-09-2025 12:10:00,1757918400,466.35,466.45,466.00,466.20,465.70,19874,0,3578992,0
Ok,15-09-2025 12:05:00,1757918100,467.00,467.00,466.00,466.10,466.77,32811,0,3559118,0
Ok,15-09-2025 12:00:00,1757917800,467.00,467.00,466.80,466.90,465.69,9558,0,3526307,0
Ok,15-09-2025 11:55:00,1757917500,467.60,467.70,466.65,466.95,467.08,24960,0,3516749,0
Ok,15-09-2025 11:50:00,1757917200,467.65,468.05,467.45,467.50,467.71,115946,0,3491789,0
Ok,15-09-2025 11:45:00,1757916900,468.10,468.20,467.30,467.70,467.98,212395,0,3375843,0
Ok,15-09-2025 11:40:00,1757916600,468.30,468.30,467.30,468.00,467.79,104308,0,3163448,0
Ok,15-09-2025 11:35:00,1757916300,467.20,468.80,467.10,468.25,468.11,138058,0,3059140,0
Ok,15-09-2025 11:30:00,1757916000,466.75,467.20,466.30,467.10,466.91,51459,0,2921082,0
Ok,15-09-2025 11:25:00,1757915700,467.00,467.00,466.50,466.55,466.51,21864,0,2869623,0
