stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,359.25,360.25,359.15,359.80,359.92,412191,0,7808799,0
Ok,15-09-2025 15:20:00,1757929800,358.70,359.30,358.50,359.30,358.77,255214,0,7396608,0
Ok,15-09-2025 15:15:00,1757929500,358.75,358.80,358.50,358.65,357.95,146297,0,7141394,0
Ok,15-09-2025 15:10:00,1757929200,359.15,359.15,358.60,358.80,359.60,130340,0,6995097,0
Ok,15-09-2025 15:05:00,1757928900,359.50,359.90,359.10,359.10,359.62,110560,0,6864757,0
Ok,15-09-2025 15:00:00,1757928600,359.10,359.60,359.00,359.55,359.62,76874,0,6754197,0
Ok,15-09-2025 14:55:00,1757928300,359.20,359.30,358.80,359.05,358.94,39214,0,6677323,0
Ok,15-09-2025 14:50:00,1757928000,359.35,359.50,359.00,359.15,358.72,37185,0,6638109,0
Ok,15-09-2025 14:45:00,1757927700,359.55,359.65,359.25,359.30,359.17,40130,0,6600924,0
Ok,15-09-2025 14:40:00,1757927400,359.00,359.70,359.00,359.50,360.09,48738,0,6560794,0
Ok,15-09-2025 14:35:00,1757927100,359.55,359.75,358.90,359.05,358.17,43405,0,6512056,0
Ok,15-09-2025 14:30:00,1757926800,359.30,359.95,359.30,359.50,359.98,46009,0,6468651,0
Ok,15-09-2025 14:25:00,1757926500,359.45,359.65,359.30,359.40,360.16,15850,0,6422642,0
Ok,15-09-2025 14:20:00,1757926200,359.90,360.00,359.25,359.50,358.57,78532,0,6406792,0
Ok,15-09-2025 14:15:00,1757925900,359.90,360.35,359.65,359.85,360.51,131539,0,6328260,0
Ok,15-09-2025 14:10:00,1757925600,359.95,360.00,359.75,359.85,360.19,116635,0,6196721,0
Ok,15-09-2025 14:05:00,1757925300,359.80,360.20,359.50,359.90,359.95,80229,0,6080086,0
Ok,15-09-2025 14:00:00,1757925000,359.30,359.80,358.50,359.75,358.79,232618,0,5999857,0
Ok,15-09-2025 13:55:00,1757924700,359.80,359.95,359.15,359.35,359.62,77904,0,5767239,0
Ok,15-09-2025 13:50:00,1757924400,361.00,361.30,359.60,359.90,360.18,452995,0,5689335,0
Ok,15-09-2025 13:45:00,1757924100,361.50,361.65,360.80,360.95,360.27,31659,0,5236340,0
