stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,412.60,412.80,412.50,412.80,413.05,95565,0,5704651,0
Ok,15-09-2025 15:20:00,1757929800,412.60,412.80,412.55,412.70,412.65,140229,0,5609086,0
Ok,15-09-2025 15:15:00,1757929500,412.55,412.60,412.50,412.50,412.47,92279,0,5468857,0
Ok,15-09-2025 15:10:00,1757929200,412.65,412.70,412.55,412.60,412.48,90258,0,5376578,0
Ok,15-09-2025 15:05:00,1757928900,412.70,412.70,412.50,412.60,412.30,67676,0,5286320,0
Ok,15-09-2025 15:00:00,1757928600,412.70,412.85,412.55,412.65,413.09,68816,0,5218644,0
Ok,15-09-2025 14:55:00,1757928300,412.50,412.80,412.50,412.65,413.09,32974,0,5149828,0
Ok,15-09-2025 14:50:00,1757928000,413.00,413.10,412.55,412.70,412.56,96105,0,5116854,0
Ok,15-09-2025 14:45:00,1757927700,413.00,413.00,412.80,412.95,413.10,32848,0,5020749,0
Ok,15-09-2025 14:40:00,1757927400,412.65,413.60,412.50,412.95,413.10,254441,0,4987901,0
Ok,15-09-2025 14:35:00,1757927100,412.45,412.70,412.15,412.50,412.44,71741,0,4733460,0
Ok,15-09-2025 14:30:00,1757926800,412.40,412.50,412.35,412.50,411.72,33526,0,4661719,0
Ok,15-09-2025 14:25:00,1757926500,412.40,412.50,412.25,412.45,413.12,36694,0,4628193,0
Ok,15-09-2025 14:20:00,1757926200,412.75,412.80,412.40,412.45,412.42,65341,0,4591499,0
Ok,15-09-2025 14:15:00,1757925900,412.85,413.00,412.65,412.70,413.13,35270,0,4526158,0
Ok,15-09-2025 14:10:00,1757925600,413.25,413.30,412.75,412.95,411.83,34326,0,4490888,0
Ok,15-09-2025 14:05:00,1757925300,413.40,413.40,413.10,413.20,413.14,36070,0,4456562,0
Ok,15-09-2025 14:00:00,1757925000,413.40,413.55,413.25,413.35,414.60,29805,0,4420492,0
Ok,15-09-2025 13:55:00,1757924700,413.50,413.55,413.25,413.25,413.13,43029,0,4390687,0
Ok,15-09-2025 13:50:00,1757924400,413.75,413.80,413.50,413.60,413.87,57333,0,4347658,0
Ok,15-09-2025 13:45:00,1757924100,413.00,413.90,413.00,413.80,413.52,201321,0,4290325,0
Ok,15-09-2025 13:40:00,1757923800,413.25,413.40,412.75,413.05,412.76,228847,0,4089004,0
Ok,15-09-2025 13:35:00,1757923500,413.35,413.50,413.15,413.40,413.99,43683,0,3860157,0
Ok,15-09-2025 13:30:00,1757923200,413.30,413.50,413.25,413.45,413.11,36407,0,3816474,0
Ok,15-09-2025 13:25:00,1757922900,413.10,413.40,413.10,413.35,413.11,34681,0,3780067,0
Ok,15-09-2025 13:20:00,1757922600,412.90,413.50,412.70,413.30,413.11,72112,0,3745386,0
Ok,15-09-2025 13:15:00,1757922300,412.85,413.10,412.85,413.00,413.11,41411,0,3673274,0
Ok,15-09-2025 13:10:00,1757922000,412.65,413.00,412.60,413.00,413.11,48396,0,3631863,0
Ok,15-09-2025 13:05:00,1757921700,412.75,412.80,412.50,412.80,412.45,54039,0,3583467,0
Ok,15-09-2025 13:00:00,1757921400,412.95,413.00,412.70,412.80,413.12,34576,0,3529428,0
Ok,15-09-2025 12:55:00,1757921100,412.70,413.20,412.70,413.00,413.12,57060,0,3494852,0
Ok,15-09-2025 12:50:00,1757920800,412.00,412.95,412.00,412.85,412.74,258741,0,3437792,0
Ok,15-09-2025 12:45:00,1757920500,411.75,412.20,411.75,412.15,412.09,301704,0,3179051,0
Ok,15-09-2025 12:40:00,1757920200,412.30,412.30,411.80,411.80,411.85,60309,0,2877347,0
Ok,15-09-2025 12:35:00,1757919900,412.15,412.30,412.05,412.10,411.62,33580,0,2817038,0
Ok,15-09-2025 12:30:00,1757919600,412.25,412.30,412.05,412.25,412.29,106244,0,2783458,0
Ok,15-09-2025 12:25:00,1757919300,412.30,412.40,412.15,412.20,411.71,32488,0,2677214,0
Ok,15-09-2025 12:20:00,1757919000,412.60,412.60,412.25,412.40,412.56,64628,0,2644726,0
Ok,15-09-2025 12:15:00,1757918700,412.50,412.70,412.40,412.50,412.43,53208,0,2580098,0
Ok,15-09-2025 12:10:00,1757918400,412.85,412.85,412.45,412.45,412.72,36421,0,2526890,0
Ok,15-09-2025 12:05:00,1757918100,412.85,412.90,412.75,412.90,413.42,21773,0,2490469,0
Ok,15-09-2025 12:00:00,1757917800,412.95,413.00,412.65,412.80,412.67,64962,0,2468696,0
Ok,15-09-2025 11:55:00,1757917500,412.90,412.95,412.50,412.80,412.92,46137,0,2403734,0
Ok,15-09-2025 11:50:00,1757917200,412.90,413.00,412.80,412.95,412.93,44701,0,2357597,0
Ok,15-09-2025 11:45:00,1757916900,412.65,412.90,412.55,412.85,412.49,46907,0,2312896,0
Ok,15-09-2025 11:40:00,1757916600,412.70,412.70,412.60,412.70,412.68,28292,0,2265989,0
Ok,15-09-2025 11:35:00,1757916300,412.85,412.90,412.55,412.65,412.78,31340,0,2237697,0
Ok,15-09-2025 11:30:00,1757916000,412.40,412.90,412.35,412.90,412.47,83752,0,2206357,0
Ok,15-09-2025 11:25:00,1757915700,412.80,412.90,412.55,412.60,412.70,25122,0,2122605,0
Ok,15-09-2025 11:20:00,1757915400,412.75,412.95,412.55,412.90,412.94,34039,0,2097483,0
Ok,15-09-2025 11:15:00,1757915100,412.80,412.95,412.70,412.85,412.75,25338,0,2063444,0
Ok,15-09-2025 11:10:00,1757914800,413.95,414.00,412.70,412.85,413.12,374396,0,2038106,0
Ok,15-09-2025 11:05:00,1757914500,413.80,414.25,413.80,413.90,413.97,267146,0,1663710,0
Ok,15-09-2025 11:00:00,1757914200,413.80,413.95,413.70,413.85,413.79,71250,0,1396564,0
Ok,15-09-2025 10:55:00,1757913900,413.70,413.95,413.65,413.90,413.87,45381,0,1325314,0
Ok,15-09-2025 10:50:00,1757913600,413.60,413.90,413.45,413.80,413.84,326698,0,1279933,0
Ok,15-09-2025 10:45:00,1757913300,413.25,413.50,413.25,413.50,413.50,26378,0,953235,0
Ok,15-09-2025 10:40:00,1757913000,413.40,413.50,413.10,413.40,413.28,41317,0,926857,0
Ok,15-09-2025 10:35:00,1757912700,413.20,413.50,413.05,413.45,413.24,63150,0,885540,0
Ok,15-09-2025 10:30:00,1757912400,413.10,413.40,412.95,413.05,413.23,52145,0,822390,0
Ok,15-09-2025 10:25:00,1757912100,413.35,413.40,412.75,413.15,413.06,85622,0,770245,0
Ok,15-09-2025 10:20:00,1757911800,413.30,413.40,413.30,413.40,413.26,19431,0,684623,0
Ok,15-09-2025 10:15:00,1757911500,413.50,413.50,413.30,413.40,413.41,30804,0,665192,0
Ok,15-09-2025 10:10:00,1757911200,413.45,413.50,413.30,413.30,413.45,35211,0,634388,0
Ok,15-09-2025 10:05:00,1757910900,413.25,413.50,413.20,413.50,413.22,27587,0,599177,0
Ok,15-09-2025 10:00:00,1757910600,413.45,413.50,413.10,413.40,413.43,47199,0,571590,0
Ok,15-09-2025 09:55:00,1757910300,413.85,413.90,413.45,413.55,413.67,33915,0,524391,0
Ok,15-09-2025 09:50:00,1757910000,413.90,414.00,413.55,413.80,413.80,35365,0,490476,0
Ok,15-09-2025 09:45:00,1757909700,413.70,413.95,413.55,413.95,413.81,29206,0,455111,0
Ok,15-09-2025 09:40:00,1757909400,413.95,413.95,413.35,413.50,413.74,44493,0,425905,0
Ok,15-09-2025 09:35:00,1757909100,413.20,413.85,413.05,413.85,413.32,83843,0,381412,0
Ok,15-09-2025 09:30:00,1757908800,413.85,413.95,413.10,413.30,413.51,64045,0,297569,0
Ok,15-09-2025 09:25:00,1757908500,413.90,414.00,413.85,413.95,413.97,34021,0,233524,0
Ok,15-09-2025 09:20:00,1757908200,413.95,414.15,413.80,413.95,413.94,96883,0,199503,0
Ok,15-09-2025 09:15:00,1757907900,413.50,414.20,413.30,414.10,413.59,102620,0,102620,0
