stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,216.99,217.12,216.71,217.12,217.54,141724,0,7843061,0
Ok,15-09-2025 15:20:00,1757929800,216.98,217.20,216.79,216.95,217.15,152375,0,7701337,0
Ok,15-09-2025 15:15:00,1757929500,216.48,216.91,216.48,216.91,216.27,183981,0,7548962,0
Ok,15-09-2025 15:10:00,1757929200,216.76,216.84,216.50,216.55,216.83,114444,0,7364981,0
Ok,15-09-2025 15:05:00,1757928900,216.82,216.82,216.55,216.55,216.60,131609,0,7250537,0
Ok,15-09-2025 15:00:00,1757928600,217.00,217.12,216.53,216.75,216.86,213927,0,7118928,0
Ok,15-09-2025 14:55:00,1757928300,217.09,217.19,216.88,216.94,217.20,81996,0,6905001,0
Ok,15-09-2025 14:50:00,1757928000,217.21,217.29,217.07,217.10,216.83,33054,0,6823005,0
Ok,15-09-2025 14:45:00,1757927700,217.25,217.25,216.85,217.08,216.81,64522,0,6789951,0
Ok,15-09-2025 14:40:00,1757927400,217.11,217.25,217.03,217.21,218.92,28309,0,6725429,0
Ok,15-09-2025 14:35:00,1757927100,217.21,217.25,216.85,217.05,216.62,114663,0,6697120,0
Ok,15-09-2025 14:30:00,1757926800,217.00,217.32,216.98,217.17,217.22,75298,0,6582457,0
Ok,15-09-2025 14:25:00,1757926500,216.57,216.98,216.44,216.91,217.10,68766,0,6507159,0
Ok,15-09-2025 14:20:00,1757926200,216.42,216.82,216.31,216.56,216.43,194856,0,6438393,0
Ok,15-09-2025 14:15:00,1757925900,216.50,216.53,216.21,216.50,216.33,90029,0,6243537,0
Ok,15-09-2025 14:10:00,1757925600,216.42,216.60,216.33,216.45,216.55,71300,0,6153508,0
Ok,15-09-2025 14:05:00,1757925300,216.52,216.55,216.28,216.39,216.63,48004,0,6082208,0
Ok,15-09-2025 14:00:00,1757925000,216.51,216.86,216.25,216.42,216.61,93171,0,6034204,0
Ok,15-09-2025 13:55:00,1757924700,217.61,217.61,216.41,216.41,216.93,250348,0,5941033,0
Ok,15-09-2025 13:50:00,1757924400,217.60,217.87,217.47,217.54,217.98,84700,0,5690685,0
Ok,15-09-2025 13:45:00,1757924100,217.83,217.93,217.57,217.57,217.86,37988,0,5605985,0
Ok,15-09-2025 13:40:00,1757923800,218.04,218.04,217.40,217.80,217.33,82456,0,5567997,0
Ok,15-09-2025 13:35:00,1757923500,218.55,218.63,218.00,218.00,217.95,76813,0,5485541,0
Ok,15-09-2025 13:30:00,1757923200,218.80,218.81,218.54,218.63,218.69,77336,0,5408728,0
Ok,15-09-2025 13:25:00,1757922900,218.61,218.85,218.37,218.75,218.66,71411,0,5331392,0
Ok,15-09-2025 13:20:00,1757922600,218.58,218.60,218.25,218.52,219.41,46194,0,5259981,0
Ok,15-09-2025 13:15:00,1757922300,218.59,218.61,218.50,218.56,217.48,26979,0,5213787,0
Ok,15-09-2025 13:10:00,1757922000,218.61,218.62,218.50,218.50,219.42,22403,0,5186808,0
Ok,15-09-2025 13:05:00,1757921700,218.50,218.63,218.33,218.62,218.48,54477,0,5164405,0
Ok,15-09-2025 13:00:00,1757921400,218.71,218.71,218.40,218.42,218.38,48275,0,5109928,0
Ok,15-09-2025 12:55:00,1757921100,218.74,218.82,218.62,218.62,217.86,32005,0,5061653,0
Ok,15-09-2025 12:50:00,1757920800,218.80,218.87,218.68,218.71,219.45,51958,0,5029648,0
Ok,15-09-2025 12:45:00,1757920500,218.74,218.80,218.56,218.76,218.38,46340,0,4977690,0
Ok,15-09-2025 12:40:00,1757920200,218.84,218.90,218.70,218.70,218.74,68059,0,4931350,0
Ok,15-09-2025 12:35:00,1757919900,219.10,219.10,218.92,218.92,218.75,67061,0,4863291,0
Ok,15-09-2025 12:30:00,1757919600,220.25,220.25,219.01,219.03,219.48,133827,0,4796230,0
Ok,15-09-2025 12:25:00,1757919300,220.19,220.29,220.09,220.20,220.59,41344,0,4662403,0
Ok,15-09-2025 12:20:00,1757919000,219.90,220.20,219.80,220.15,220.16,65331,0,4621059,0
Ok,15-09-2025 12:15:00,1757918700,219.95,220.00,219.68,219.88,219.46,79923,0,4555728,0
Ok,15-09-2025 12:10:00,1757918400,220.04,220.15,219.84,219.87,220.73,69248,0,4475805,0
Ok,15-09-2025 12:05:00,1757918100,220.27,220.34,219.96,220.01,219.44,91504,0,4406557,0
Ok,15-09-2025 12:00:00,1757917800,220.48,220.50,220.08,220.24,220.64,104468,0,4315053,0
Ok,15-09-2025 11:55:00,1757917500,220.50,220.50,220.21,220.46,220.10,59686,0,4210585,0
Ok,15-09-2025 11:50:00,1757917200,220.43,220.50,220.34,220.42,220.42,79009,0,4150899,0
Ok,15-09-2025 11:45:00,1757916900,220.40,220.50,220.21,220.45,220.73,59357,0,4071890,0
Ok,15-09-2025 11:40:00,1757916600,220.68,220.68,220.21,220.35,220.35,78626,0,4012533,0
Ok,15-09-2025 11:35:00,1757916300,220.68,220.87,220.55,220.73,220.11,50000,0,3933907,0
Ok,15-09-2025 11:30:00,1757916000,221.11,221.18,220.55,220.58,220.96,92429,0,3883907,0
Ok,15-09-2025 11:25:00,1757915700,221.10,221.20,220.81,221.10,221.02,85426,0,3791478,0
Ok,15-09-2025 11:20:00,1757915400,220.76,221.20,220.61,221.09,220.90,149982,0,3706052,0
Ok,15-09-2025 11:15:00,1757915100,220.60,220.79,220.53,220.70,220.46,81116,0,3556070,0
Ok,15-09-2025 11:10:00,1757914800,220.30,220.75,220.11,220.61,220.68,109085,0,3474954,0
Ok,15-09-2025 11:05:00,1757914500,219.60,220.40,219.51,220.23,219.75,145772,0,3365869,0
Ok,15-09-2025 11:00:00,1757914200,219.80,220.00,219.55,219.55,220.11,60308,0,3220097,0
Ok,15-09-2025 10:55:00,1757913900,220.36,220.45,219.75,219.77,219.73,45183,0,3159789,0
Ok,15-09-2025 10:50:00,1757913600,220.40,220.50,219.90,220.38,220.30,72123,0,3114606,0
Ok,15-09-2025 10:45:00,1757913300,220.23,220.59,219.88,220.46,220.19,98672,0,3042483,0
Ok,15-09-2025 10:40:00,1757913000,220.33,220.42,220.00,220.17,220.10,100139,0,2943811,0
Ok,15-09-2025 10:35:00,1757912700,219.82,220.60,219.70,220.25,220.18,285112,0,2843672,0
Ok,15-09-2025 10:30:00,1757912400,219.03,219.96,218.92,219.79,219.67,137046,0,2558560,0
Ok,15-09-2025 10:25:00,1757912100,219.17,219.62,219.00,219.00,219.26,88722,0,2421514,0
Ok,15-09-2025 10:20:00,1757911800,218.86,219.14,218.78,219.13,219.12,55076,0,2332792,0
Ok,15-09-2025 10:15:00,1757911500,218.51,218.95,218.42,218.89,218.71,81470,0,2277716,0
Ok,15-09-2025 10:10:00,1757911200,218.30,218.60,218.11,218.56,218.07,67231,0,2196246,0
Ok,15-09-2025 10:05:00,1757910900,218.74,218.74,218.21,218.34,218.41,66288,0,2129015,0
Ok,15-09-2025 10:00:00,1757910600,218.85,218.92,218.58,218.73,218.74,65974,0,2062727,0
