stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,232.34,232.49,232.30,232.48,232.25,219219,0,6150570,0
Ok,15-09-2025 15:20:00,1757929800,232.34,232.35,232.21,232.24,232.32,259255,0,5931351,0
Ok,15-09-2025 15:15:00,1757929500,232.19,232.37,232.13,232.35,231.89,168369,0,5672096,0
Ok,15-09-2025 15:10:00,1757929200,232.29,232.29,232.11,232.13,232.57,160452,0,5503727,0
Ok,15-09-2025 15:05:00,1757928900,232.25,232.37,232.25,232.28,232.07,104875,0,5343275,0
Ok,15-09-2025 15:00:00,1757928600,232.30,232.40,232.14,232.28,232.25,302763,0,5238400,0
Ok,15-09-2025 14:55:00,1757928300,232.30,232.40,232.23,232.27,232.60,62237,0,4935637,0
Ok,15-09-2025 14:50:00,1757928000,232.25,232.45,232.25,232.34,232.03,85182,0,4873400,0
Ok,15-09-2025 14:45:00,1757927700,232.32,232.33,232.21,232.28,232.61,36345,0,4788218,0
Ok,15-09-2025 14:40:00,1757927400,232.17,232.47,232.15,232.33,232.24,127126,0,4751873,0
Ok,15-09-2025 14:35:00,1757927100,232.33,232.35,232.17,232.20,232.62,52412,0,4624747,0
Ok,15-09-2025 14:30:00,1757926800,232.26,232.38,232.15,232.24,231.46,39396,0,4572335,0
Ok,15-09-2025 14:25:00,1757926500,232.11,232.28,232.10,232.21,232.63,59498,0,4532939,0
Ok,15-09-2025 14:20:00,1757926200,232.07,232.16,232.04,232.10,230.36,39135,0,4473441,0
Ok,15-09-2025 14:15:00,1757925900,232.18,232.25,232.07,232.09,232.65,94623,0,4434306,0
Ok,15-09-2025 14:10:00,1757925600,232.16,232.28,232.16,232.20,232.65,52363,0,4339683,0
Ok,15-09-2025 14:05:00,1757925300,232.15,232.30,232.15,232.17,231.63,42016,0,4287320,0
Ok,15-09-2025 14:00:00,1757925000,232.21,232.30,232.15,232.16,232.66,31944,0,4245304,0
Ok,15-09-2025 13:55:00,1757924700,232.23,232.30,232.17,232.26,232.66,31032,0,4213360,0
Ok,15-09-2025 13:50:00,1757924400,232.25,232.30,232.16,232.22,231.76,46319,0,4182328,0
Ok,15-09-2025 13:45:00,1757924100,232.15,232.32,232.10,232.27,232.03,63943,0,4136009,0
Ok,15-09-2025 13:40:00,1757923800,232.32,232.44,232.10,232.18,232.17,157153,0,4072066,0
Ok,15-09-2025 13:35:00,1757923500,232.37,232.48,232.30,232.35,232.70,43978,0,3914913,0
Ok,15-09-2025 13:30:00,1757923200,232.60,232.66,232.36,232.39,232.70,58569,0,3870935,0
Ok,15-09-2025 13:25:00,1757922900,232.45,232.65,232.45,232.59,232.06,59322,0,3812366,0
Ok,15-09-2025 13:20:00,1757922600,232.46,232.56,232.35,232.55,232.71,122893,0,3753044,0
Ok,15-09-2025 13:15:00,1757922300,232.38,232.54,232.35,232.51,231.89,43909,0,3630151,0
