stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,286.35,286.90,286.25,286.70,286.43,197822,0,5420479,0
Ok,15-09-2025 15:20:00,1757929800,286.25,286.40,286.20,286.30,286.15,182134,0,5222657,0
Ok,15-09-2025 15:15:00,1757929500,286.05,286.30,286.05,286.20,286.29,221252,0,5040523,0
Ok,15-09-2025 15:10:00,1757929200,286.25,286.25,286.05,286.10,286.15,157522,0,4819271,0
Ok,15-09-2025 15:05:00,1757928900,286.30,286.35,286.15,286.30,286.10,202935,0,4661749,0
Ok,15-09-2025 15:00:00,1757928600,286.55,286.65,286.15,286.25,286.31,176171,0,4458814,0
Ok,15-09-2025 14:55:00,1757928300,286.70,286.85,286.45,286.65,286.82,52736,0,4282643,0
Ok,15-09-2025 14:50:00,1757928000,286.35,286.90,286.30,286.85,286.82,85227,0,4229907,0
Ok,15-09-2025 14:45:00,1757927700,286.80,286.80,286.30,286.45,286.16,62087,0,4144680,0
Ok,15-09-2025 14:40:00,1757927400,286.20,287.05,286.20,286.70,286.83,180298,0,4082593,0
Ok,15-09-2025 14:35:00,1757927100,286.45,286.55,286.20,286.35,286.43,96263,0,3902295,0
Ok,15-09-2025 14:30:00,1757926800,286.10,286.55,286.00,286.50,286.33,73391,0,3806032,0
Ok,15-09-2025 14:25:00,1757926500,285.80,286.00,285.75,286.00,285.31,48169,0,3732641,0
Ok,15-09-2025 14:20:00,1757926200,285.85,286.05,285.80,285.90,285.93,39003,0,3684472,0
Ok,15-09-2025 14:15:00,1757925900,286.00,286.05,285.85,285.90,286.27,59278,0,3645469,0
Ok,15-09-2025 14:10:00,1757925600,286.05,286.20,285.85,285.90,285.94,37515,0,3586191,0
Ok,15-09-2025 14:05:00,1757925300,286.10,286.35,285.90,286.20,285.83,65564,0,3548676,0
Ok,15-09-2025 14:00:00,1757925000,286.00,286.15,285.95,285.95,286.07,40696,0,3483112,0
Ok,15-09-2025 13:55:00,1757924700,286.30,286.35,286.00,286.15,286.14,43578,0,3442416,0
Ok,15-09-2025 13:50:00,1757924400,286.15,286.35,286.15,286.20,285.98,35381,0,3398838,0
Ok,15-09-2025 13:45:00,1757924100,286.20,286.50,286.10,286.20,285.90,62923,0,3363457,0
Ok,15-09-2025 13:40:00,1757923800,286.65,286.65,286.05,286.10,286.31,191589,0,3300534,0
Ok,15-09-2025 13:35:00,1757923500,286.50,286.70,286.45,286.55,287.01,51428,0,3108945,0
Ok,15-09-2025 13:30:00,1757923200,286.45,286.70,286.40,286.65,286.48,57678,0,3057517,0
Ok,15-09-2025 13:25:00,1757922900,286.50,286.65,286.40,286.55,286.53,61255,0,2999839,0
Ok,15-09-2025 13:20:00,1757922600,286.70,286.75,286.50,286.60,286.50,55198,0,2938584,0
Ok,15-09-2025 13:15:00,1757922300,286.70,286.90,286.60,286.60,286.17,32988,0,2883386,0
Ok,15-09-2025 13:10:00,1757922000,287.00,287.10,286.70,286.75,287.05,43016,0,2850398,0
Ok,15-09-2025 13:05:00,1757921700,287.00,287.15,287.00,287.05,287.05,48313,0,2807382,0
Ok,15-09-2025 13:00:00,1757921400,287.05,287.10,287.00,287.05,287.05,40971,0,2759069,0
Ok,15-09-2025 12:55:00,1757921100,286.95,287.15,286.90,287.10,287.05,75752,0,2718098,0
Ok,15-09-2025 12:50:00,1757920800,286.30,287.15,286.30,286.90,286.67,197028,0,2642346,0
Ok,15-09-2025 12:45:00,1757920500,286.30,286.40,286.15,286.40,286.24,85241,0,2445318,0
Ok,15-09-2025 12:40:00,1757920200,286.45,286.45,286.25,286.25,286.66,52116,0,2360077,0
Ok,15-09-2025 12:35:00,1757919900,286.55,286.55,286.30,286.40,285.46,41113,0,2307961,0
Ok,15-09-2025 12:30:00,1757919600,286.40,286.65,286.30,286.50,287.15,44256,0,2266848,0
Ok,15-09-2025 12:25:00,1757919300,286.30,286.45,286.15,286.35,286.23,70717,0,2222592,0
Ok,15-09-2025 12:20:00,1757919000,286.70,286.75,286.30,286.35,286.61,73807,0,2151875,0
Ok,15-09-2025 12:15:00,1757918700,286.70,286.80,286.55,286.75,286.63,1054170,0,2078068,0
Ok,15-09-2025 12:10:00,1757918400,286.75,286.80,286.65,286.65,286.53,32137,0,1023898,0
Ok,15-09-2025 12:05:00,1757918100,287.35,287.35,286.60,286.70,286.85,49467,0,991761,0
Ok,15-09-2025 12:00:00,1757917800,287.45,287.45,287.20,287.30,287.23,14817,0,942294,0
Ok,15-09-2025 11:55:00,1757917500,287.30,287.50,287.00,287.30,287.30,46956,0,927477,0
Ok,15-09-2025 11:50:00,1757917200,287.20,287.40,287.10,287.20,287.17,23610,0,880521,0
Ok,15-09-2025 11:45:00,1757916900,287.05,287.20,287.00,287.15,287.12,21127,0,856911,0
Ok,15-09-2025 11:40:00,1757916600,287.30,287.40,287.00,287.10,287.33,27100,0,835784,0
Ok,15-09-2025 11:35:00,1757916300,287.35,287.40,287.30,287.40,287.01,8506,0,808684,0
Ok,15-09-2025 11:30:00,1757916000,287.20,287.40,287.20,287.40,287.48,16217,0,800178,0
Ok,15-09-2025 11:25:00,1757915700,287.25,287.30,287.15,287.30,286.75,12559,0,783961,0
Ok,15-09-2025 11:20:00,1757915400,287.15,287.25,287.05,287.20,287.35,11850,0,771402,0
Ok,15-09-2025 11:15:00,1757915100,287.35,287.45,287.05,287.05,287.08,23927,0,759552,0
Ok,15-09-2025 11:10:00,1757914800,287.30,287.50,287.30,287.40,287.64,18219,0,735625,0
Ok,15-09-2025 11:05:00,1757914500,287.25,287.40,287.20,287.35,286.84,11719,0,717406,0
Ok,15-09-2025 11:00:00,1757914200,287.35,287.40,287.25,287.35,287.59,14532,0,705687,0
Ok,15-09-2025 10:55:00,1757913900,287.35,287.40,287.20,287.25,287.27,25013,0,691155,0
Ok,15-09-2025 10:50:00,1757913600,287.50,287.55,287.20,287.30,287.36,17536,0,666142,0
Ok,15-09-2025 10:45:00,1757913300,287.50,287.65,287.40,287.40,287.56,22194,0,648606,0
Ok,15-09-2025 10:40:00,1757913000,287.70,287.80,287.50,287.60,287.52,19493,0,626412,0
Ok,15-09-2025 10:35:00,1757912700,287.70,287.90,287.60,287.80,287.87,19678,0,606919,0
Ok,15-09-2025 10:30:00,1757912400,287.70,287.70,287.55,287.60,287.67,11335,0,587241,0
Ok,15-09-2025 10:25:00,1757912100,287.80,287.85,287.55,287.65,287.57,26897,0,575906,0
Ok,15-09-2025 10:20:00,1757911800,287.70,287.85,287.60,287.85,287.86,15251,0,549009,0
Ok,15-09-2025 10:15:00,1757911500,287.65,287.80,287.60,287.75,287.35,11936,0,533758,0
Ok,15-09-2025 10:10:00,1757911200,287.50,287.65,287.50,287.60,287.72,28098,0,521822,0
Ok,15-09-2025 10:05:00,1757910900,287.95,287.95,287.50,287.60,287.62,21789,0,493724,0
