stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,135.76,135.94,135.70,135.80,135.34,120747,0,5158517,0
Ok,15-09-2025 15:20:00,1757929800,135.77,135.85,135.72,135.78,136.17,214537,0,5037770,0
Ok,15-09-2025 15:15:00,1757929500,135.81,135.85,135.70,135.82,135.52,125885,0,4823233,0
Ok,15-09-2025 15:10:00,1757929200,135.82,135.90,135.78,135.84,135.87,57861,0,4697348,0
Ok,15-09-2025 15:05:00,1757928900,135.94,135.94,135.75,135.81,136.69,40083,0,4639487,0
Ok,15-09-2025 15:00:00,1757928600,135.93,135.99,135.78,135.95,135.92,117365,0,4599404,0
Ok,15-09-2025 14:55:00,1757928300,135.95,135.97,135.81,135.90,135.36,33009,0,4482039,0
Ok,15-09-2025 14:50:00,1757928000,136.11,136.14,135.95,135.99,135.48,35814,0,4449030,0
Ok,15-09-2025 14:45:00,1757927700,136.28,136.28,136.00,136.09,136.73,43881,0,4413216,0
Ok,15-09-2025 14:40:00,1757927400,136.20,136.39,136.08,136.37,135.78,46228,0,4369335,0
Ok,15-09-2025 14:35:00,1757927100,136.40,136.43,136.25,136.26,136.74,20894,0,4323107,0
Ok,15-09-2025 14:30:00,1757926800,136.40,136.50,136.39,136.48,136.37,114410,0,4302213,0
Ok,15-09-2025 14:25:00,1757926500,135.87,136.50,135.82,136.45,136.04,171445,0,4187803,0
Ok,15-09-2025 14:20:00,1757926200,136.23,136.28,135.87,135.95,136.04,54134,0,4016358,0
Ok,15-09-2025 14:15:00,1757925900,136.20,136.34,136.15,136.26,136.79,36219,0,3962224,0
Ok,15-09-2025 14:10:00,1757925600,136.04,136.26,136.04,136.22,135.42,28632,0,3926005,0
Ok,15-09-2025 14:05:00,1757925300,135.98,136.14,135.95,136.09,136.80,14709,0,3897373,0
Ok,15-09-2025 14:00:00,1757925000,136.19,136.19,135.90,135.94,135.73,71992,0,3882664,0
Ok,15-09-2025 13:55:00,1757924700,136.12,136.24,136.11,136.15,136.82,14236,0,3810672,0
Ok,15-09-2025 13:50:00,1757924400,136.16,136.18,136.11,136.11,136.82,3994,0,3796436,0
Ok,15-09-2025 13:45:00,1757924100,136.21,136.30,136.16,136.18,135.80,37076,0,3792442,0
Ok,15-09-2025 13:40:00,1757923800,136.40,136.40,136.01,136.24,136.83,43121,0,3755366,0
Ok,15-09-2025 13:35:00,1757923500,136.45,136.46,136.35,136.40,132.96,9591,0,3712245,0
Ok,15-09-2025 13:30:00,1757923200,136.46,136.50,136.39,136.46,136.84,31590,0,3702654,0
Ok,15-09-2025 13:25:00,1757922900,136.48,136.50,136.39,136.45,136.84,3742,0,3671064,0
Ok,15-09-2025 13:20:00,1757922600,136.28,136.50,136.21,136.45,136.84,44512,0,3667322,0
Ok,15-09-2025 13:15:00,1757922300,136.33,136.45,136.13,136.36,136.24,118090,0,3622810,0
Ok,15-09-2025 13:10:00,1757922000,136.29,136.35,136.29,136.31,136.86,4600,0,3504720,0
Ok,15-09-2025 13:05:00,1757921700,136.24,136.35,136.21,136.24,135.79,32539,0,3500120,0
Ok,15-09-2025 13:00:00,1757921400,136.19,136.29,136.14,136.22,136.11,45950,0,3467581,0
Ok,15-09-2025 12:55:00,1757921100,136.16,136.35,136.15,136.32,136.88,7720,0,3421631,0
Ok,15-09-2025 12:50:00,1757920800,136.21,136.29,136.15,136.20,135.23,20644,0,3413911,0
Ok,15-09-2025 12:45:00,1757920500,136.39,136.39,136.20,136.20,136.89,16042,0,3393267,0
Ok,15-09-2025 12:40:00,1757920200,136.40,136.45,136.35,136.35,136.89,19632,0,3377225,0
Ok,15-09-2025 12:35:00,1757919900,136.40,136.40,136.35,136.36,136.89,15701,0,3357593,0
Ok,15-09-2025 12:30:00,1757919600,136.34,136.37,136.32,136.35,135.51,24231,0,3341892,0
Ok,15-09-2025 12:25:00,1757919300,136.21,136.35,136.12,136.35,136.90,15829,0,3317661,0
Ok,15-09-2025 12:20:00,1757919000,136.30,136.30,136.01,136.23,136.24,98700,0,3301832,0
Ok,15-09-2025 12:15:00,1757918700,136.17,136.33,136.16,136.25,136.14,40717,0,3203132,0
Ok,15-09-2025 12:10:00,1757918400,136.13,136.30,136.11,136.20,135.16,17794,0,3162415,0
Ok,15-09-2025 12:05:00,1757918100,136.33,136.33,136.08,136.17,136.31,49675,0,3144621,0
