stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,169.21,169.30,169.12,169.30,168.71,313284,0,10608854,0
Ok,15-09-2025 15:20:00,1757929800,169.24,169.27,169.20,169.20,169.39,263805,0,10295570,0
Ok,15-09-2025 15:15:00,1757929500,169.27,169.27,169.20,169.23,169.39,345078,0,10031765,0
Ok,15-09-2025 15:10:00,1757929200,169.20,169.30,169.20,169.26,169.39,232203,0,9686687,0
Ok,15-09-2025 15:05:00,1757928900,169.24,169.24,169.20,169.21,169.39,123087,0,9454484,0
Ok,15-09-2025 15:00:00,1757928600,169.20,169.28,169.14,169.23,168.46,197245,0,9331397,0
Ok,15-09-2025 14:55:00,1757928300,169.19,169.24,169.18,169.21,169.41,85570,0,9134152,0
Ok,15-09-2025 14:50:00,1757928000,169.09,169.20,169.09,169.20,169.41,43910,0,9048582,0
Ok,15-09-2025 14:45:00,1757927700,169.39,169.39,169.02,169.12,169.41,126040,0,9004672,0
Ok,15-09-2025 14:40:00,1757927400,169.28,169.49,169.25,169.38,169.41,201775,0,8878632,0
Ok,15-09-2025 14:35:00,1757927100,169.31,169.42,169.20,169.30,169.41,142874,0,8676857,0
Ok,15-09-2025 14:30:00,1757926800,169.28,169.35,169.22,169.32,169.41,45215,0,8533983,0
Ok,15-09-2025 14:25:00,1757926500,168.97,169.25,168.96,169.25,169.41,127783,0,8488768,0
Ok,15-09-2025 14:20:00,1757926200,169.02,169.06,168.97,168.99,168.84,145232,0,8360985,0
Ok,15-09-2025 14:15:00,1757925900,169.01,169.08,169.00,169.04,169.42,59233,0,8215753,0
Ok,15-09-2025 14:10:00,1757925600,169.04,169.10,169.00,169.08,169.42,73672,0,8156520,0
Ok,15-09-2025 14:05:00,1757925300,169.01,169.10,168.98,169.06,168.05,58962,0,8082848,0
Ok,15-09-2025 14:00:00,1757925000,169.07,169.10,168.85,169.06,168.94,318523,0,8023886,0
Ok,15-09-2025 13:55:00,1757924700,169.13,169.20,168.83,169.06,168.89,271880,0,7705363,0
Ok,15-09-2025 13:50:00,1757924400,169.04,169.16,169.00,169.14,169.47,124397,0,7433483,0
Ok,15-09-2025 13:45:00,1757924100,168.92,169.20,168.87,169.10,168.90,127060,0,7309086,0
Ok,15-09-2025 13:40:00,1757923800,168.90,168.97,168.65,168.94,168.72,363282,0,7182026,0
Ok,15-09-2025 13:35:00,1757923500,169.06,169.12,168.91,168.96,168.92,221535,0,6818744,0
Ok,15-09-2025 13:30:00,1757923200,169.39,169.40,169.03,169.08,169.27,242515,0,6597209,0
Ok,15-09-2025 13:25:00,1757922900,169.42,169.50,169.35,169.40,169.17,164791,0,6354694,0
Ok,15-09-2025 13:20:00,1757922600,169.41,169.45,169.29,169.45,169.56,127708,0,6189903,0
Ok,15-09-2025 13:15:00,1757922300,169.28,169.41,169.28,169.38,169.56,49071,0,6062195,0
Ok,15-09-2025 13:10:00,1757922000,169.28,169.40,169.21,169.30,169.18,157943,0,6013124,0
Ok,15-09-2025 13:05:00,1757921700,169.38,169.46,169.28,169.30,169.57,134581,0,5855181,0
Ok,15-09-2025 13:00:00,1757921400,169.40,169.44,169.34,169.40,169.57,42520,0,5720600,0
Ok,15-09-2025 12:55:00,1757921100,169.35,169.43,169.30,169.43,167.79,31920,0,5678080,0
Ok,15-09-2025 12:50:00,1757920800,169.39,169.50,169.31,169.36,169.58,79948,0,5646160,0
Ok,15-09-2025 12:45:00,1757920500,169.48,169.51,169.26,169.40,169.58,171919,0,5566212,0
Ok,15-09-2025 12:40:00,1757920200,169.50,169.53,169.46,169.49,168.24,40062,0,5394293,0
Ok,15-09-2025 12:35:00,1757919900,169.50,169.55,169.42,169.53,169.59,37619,0,5354231,0
Ok,15-09-2025 12:30:00,1757919600,169.52,169.53,169.40,169.51,169.59,50908,0,5316612,0
Ok,15-09-2025 12:25:00,1757919300,169.49,169.53,169.41,169.50,169.59,56224,0,5265704,0
Ok,15-09-2025 12:20:00,1757919000,169.47,169.57,169.41,169.52,169.37,236490,0,5209480,0
Ok,15-09-2025 12:15:00,1757918700,169.40,169.50,169.39,169.50,169.60,53954,0,4972990,0
Ok,15-09-2025 12:10:00,1757918400,169.39,169.49,169.33,169.41,169.60,54063,0,4919036,0
Ok,15-09-2025 12:05:00,1757918100,169.48,169.50,169.35,169.40,169.60,54814,0,4864973,0
Ok,15-09-2025 12:00:00,1757917800,169.49,169.78,169.44,169.44,169.60,70361,0,4810159,0
Ok,15-09-2025 11:55:00,1757917500,169.48,169.50,169.40,169.50,169.60,84396,0,4739798,0
Ok,15-09-2025 11:50:00,1757917200,169.47,169.50,169.40,169.50,168.63,47837,0,4655402,0
Ok,15-09-2025 11:45:00,1757916900,169.43,169.50,169.32,169.50,169.61,64351,0,4607565,0
Ok,15-09-2025 11:40:00,1757916600,169.68,169.70,169.40,169.44,169.61,177698,0,4543214,0
Ok,15-09-2025 11:35:00,1757916300,169.81,169.84,169.62,169.70,169.61,90632,0,4365516,0
Ok,15-09-2025 11:30:00,1757916000,169.96,169.96,169.75,169.80,169.95,119948,0,4274884,0
Ok,15-09-2025 11:25:00,1757915700,170.05,170.17,169.91,169.95,169.94,325154,0,4154936,0
Ok,15-09-2025 11:20:00,1757915400,169.86,170.03,169.81,170.03,170.09,71458,0,3829782,0
Ok,15-09-2025 11:15:00,1757915100,169.68,169.90,169.63,169.78,169.56,97729,0,3758324,0
Ok,15-09-2025 11:10:00,1757914800,169.65,169.82,169.61,169.70,169.86,117927,0,3660595,0
Ok,15-09-2025 11:05:00,1757914500,169.57,169.68,169.52,169.66,169.55,94662,0,3542668,0
Ok,15-09-2025 11:00:00,1757914200,169.68,169.70,169.55,169.61,169.55,77033,0,3448006,0
