stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,15-09-2025 15:25:00,1757930100,115.20,115.40,115.16,115.33,115.31,198545,0,5862863,0
Ok,15-09-2025 15:20:00,1757929800,115.18,115.27,115.02,115.24,115.23,163538,0,5664318,0
Ok,15-09-2025 15:15:00,1757929500,115.15,115.26,115.04,115.20,115.05,183961,0,5500780,0
Ok,15-09-2025 15:10:00,1757929200,115.05,115.19,115.02,115.13,115.17,67424,0,5316819,0
Ok,15-09-2025 15:05:00,1757928900,115.11,115.23,115.08,115.11,114.75,127342,0,5249395,0
Ok,15-09-2025 15:00:00,1757928600,115.13,115.27,115.08,115.17,115.25,67956,0,5122053,0
Ok,15-09-2025 14:55:00,1757928300,115.26,115.26,115.08,115.16,115.04,52156,0,5054097,0
Ok,15-09-2025 14:50:00,1757928000,115.17,115.29,115.17,115.21,116.02,12798,0,5001941,0
Ok,15-09-2025 14:45:00,1757927700,115.33,115.34,115.11,115.15,114.68,36983,0,4989143,0
Ok,15-09-2025 14:40:00,1757927400,115.01,115.34,115.00,115.34,116.03,43620,0,4952160,0
Ok,15-09-2025 14:35:00,1757927100,115.52,115.53,114.96,115.07,115.05,332521,0,4908540,0
Ok,15-09-2025 14:30:00,1757926800,115.41,115.54,115.41,115.51,114.07,44863,0,4576019,0
Ok,15-09-2025 14:25:00,1757926500,115.38,115.43,115.37,115.43,116.12,5075,0,4531156,0
Ok,15-09-2025 14:20:00,1757926200,115.43,115.45,115.32,115.37,116.12,23678,0,4526081,0
Ok,15-09-2025 14:15:00,1757925900,115.40,115.44,115.30,115.40,116.12,26463,0,4502403,0
Ok,15-09-2025 14:10:00,1757925600,115.39,115.39,115.28,115.33,116.12,26679,0,4475940,0
Ok,15-09-2025 14:05:00,1757925300,115.21,115.39,115.21,115.35,114.91,36619,0,4449261,0
Ok,15-09-2025 14:00:00,1757925000,115.27,115.30,115.14,115.28,115.28,51953,0,4412642,0
Ok,15-09-2025 13:55:00,1757924700,115.42,115.44,115.18,115.29,115.28,195543,0,4360689,0
Ok,15-09-2025 13:50:00,1757924400,115.40,115.44,115.39,115.44,114.43,23753,0,4165146,0
Ok,15-09-2025 13:45:00,1757924100,115.51,115.61,115.32,115.44,115.34,95717,0,4141393,0
Ok,15-09-2025 13:40:00,1757923800,115.72,115.72,115.40,115.59,116.21,39210,0,4045676,0
Ok,15-09-2025 13:35:00,1757923500,115.80,115.85,115.67,115.67,114.59,24722,0,4006466,0
Ok,15-09-2025 13:30:00,1757923200,115.75,115.86,115.70,115.75,116.22,29555,0,3981744,0
Ok,15-09-2025 13:25:00,1757922900,115.70,115.78,115.64,115.78,116.22,37012,0,3952189,0
Ok,15-09-2025 13:20:00,1757922600,115.95,116.02,115.43,115.69,115.58,440833,0,3915177,0
Ok,15-09-2025 13:15:00,1757922300,115.86,115.98,115.86,115.98,114.58,20171,0,3474344,0
Ok,15-09-2025 13:10:00,1757922000,115.95,115.95,115.76,115.91,115.83,72231,0,3454173,0
Ok,15-09-2025 13:05:00,1757921700,115.88,115.95,115.82,115.91,116.32,12921,0,3381942,0
Ok,15-09-2025 13:00:00,1757921400,115.94,115.95,115.82,115.85,116.32,11907,0,3369021,0
Ok,15-09-2025 12:55:00,1757921100,115.89,115.95,115.81,115.93,116.32,21256,0,3357114,0
Ok,15-09-2025 12:50:00,1757920800,115.86,115.90,115.76,115.90,114.50,18244,0,3335858,0
Ok,15-09-2025 12:45:00,1757920500,115.81,115.88,115.76,115.84,116.33,32516,0,3317614,0
Ok,15-09-2025 12:40:00,1757920200,116.05,116.05,115.40,115.83,115.51,487197,0,3285098,0
Ok,15-09-2025 12:35:00,1757919900,116.17,116.19,115.97,116.06,116.12,80221,0,2797901,0
Ok,15-09-2025 12:30:00,1757919600,115.99,116.16,115.93,116.12,116.48,26296,0,2717680,0
Ok,15-09-2025 12:25:00,1757919300,115.97,116.17,115.67,116.00,115.99,298521,0,2691384,0
Ok,15-09-2025 12:20:00,1757919000,116.40,116.40,116.28,116.34,116.15,60346,0,2392863,0
Ok,15-09-2025 12:15:00,1757918700,116.38,116.40,116.30,116.35,116.55,5418,0,2332517,0
Ok,15-09-2025 12:10:00,1757918400,116.38,116.49,116.32,116.36,116.55,56688,0,2327099,0
Ok,15-09-2025 12:05:00,1757918100,116.31,116.40,116.20,116.40,116.13,54797,0,2270411,0
Ok,15-09-2025 12:00:00,1757917800,116.33,116.41,116.31,116.38,116.56,11521,0,2215614,0
Ok,15-09-2025 11:55:00,1757917500,116.22,116.36,116.22,116.31,116.56,9298,0,2204093,0
Ok,15-09-2025 11:50:00,1757917200,116.16,116.40,116.16,116.23,116.56,35747,0,2194795,0
Ok,15-09-2025 11:45:00,1757916900,116.17,116.26,116.10,116.24,115.38,18168,0,2159048,0
Ok,15-09-2025 11:40:00,1757916600,116.25,116.25,116.15,116.21,116.57,5990,0,2140880,0
Ok,15-09-2025 11:35:00,1757916300,116.25,116.29,116.15,116.26,116.57,28507,0,2134890,0
Ok,15-09-2025 11:30:00,1757916000,116.08,116.32,116.08,116.20,115.03,13670,0,2106383,0
Ok,15-09-2025 11:25:00,1757915700,116.30,116.33,116.16,116.16,116.27,67835,0,2092713,0
Ok,15-09-2025 11:20:00,1757915400,116.12,116.30,116.12,116.30,116.59,9541,0,2024878,0
Ok,15-09-2025 11:15:00,1757915100,116.26,116.30,115.98,116.18,115.99,97538,0,2015337,0
Ok,15-09-2025 11:10:00,1757914800,116.28,116.33,116.17,116.30,115.93,27749,0,1917799,0
Ok,15-09-2025 11:05:00,1757914500,116.24,116.32,116.16,116.27,116.63,30672,0,1890050,0
Ok,15-09-2025 11:00:00,1757914200,116.46,116.48,116.25,116.28,116.04,31811,0,1859378,0
Ok,15-09-2025 10:55:00,1757913900,116.44,116.51,116.39,116.40,116.64,8148,0,1827567,0
Ok,15-09-2025 10:50:00,1757913600,116.28,116.55,116.28,116.50,116.64,43363,0,1819419,0
Ok,15-09-2025 10:45:00,1757913300,116.35,116.45,116.26,116.32,115.86,22609,0,1776056,0
Ok,15-09-2025 10:40:00,1757913000,116.50,116.50,116.38,116.40,116.65,16255,0,1753447,0
Ok,15-09-2025 10:35:00,1757912700,116.50,116.58,116.41,116.45,116.65,12855,0,1737192,0
Ok,15-09-2025 10:30:00,1757912400,116.45,116.58,116.35,116.43,116.38,61939,0,1724337,0
Ok,15-09-2025 10:25:00,1757912100,116.52,116.60,116.40,116.40,116.66,31143,0,1662398,0
Ok,15-09-2025 10:20:00,1757911800,116.44,116.64,116.38,116.50,116.15,31797,0,1631255,0
Ok,15-09-2025 10:15:00,1757911500,116.57,116.59,116.28,116.40,116.40,59628,0,1599458,0
Ok,15-09-2025 10:10:00,1757911200,116.74,116.74,116.50,116.51,116.68,58390,0,1539830,0
Ok,15-09-2025 10:05:00,1757910900,116.90,116.90,116.57,116.83,116.68,88020,0,1481440,0
Ok,15-09-2025 10:00:00,1757910600,116.90,117.05,116.85,116.88,116.88,64986,0,1393420,0
Ok,15-09-2025 09:55:00,1757910300,117.08,117.22,116.85,116.93,117.15,165307,0,1328434,0
Ok,15-09-2025 09:50:00,1757910000,116.90,117.05,116.84,117.00,116.98,57319,0,1163127,0
