stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,16-09-2025 15:25:00,1758016500,549.95,550.00,547.00,548.50,548.77,94402,0,5028545,0
Ok,16-09-2025 15:20:00,1758016200,548.70,550.15,548.10,550.05,549.01,165111,0,4934143,0
Ok,16-09-2025 15:15:00,1758015900,547.05,548.90,547.05,548.90,548.19,242475,0,4769032,0
Ok,16-09-2025 15:10:00,1758015600,546.95,547.15,545.95,547.00,546.12,82011,0,4526557,0
Ok,16-09-2025 15:05:00,1758015300,546.25,548.00,545.95,546.70,546.96,105549,0,4444546,0
Ok,16-09-2025 15:00:00,1758015000,546.50,547.25,546.00,546.15,546.02,49479,0,4338997,0
Ok,16-09-2025 14:55:00,1758014700,547.25,547.40,545.80,546.25,547.28,56332,0,4289518,0
Ok,16-09-2025 14:50:00,1758014400,547.30,547.55,547.00,547.05,547.23,18040,0,4233186,0
Ok,16-09-2025 14:45:00,1758014100,546.70,547.80,546.45,547.60,545.62,21232,0,4215146,0
Ok,16-09-2025 14:40:00,1758013800,548.20,548.50,546.30,546.45,546.79,59001,0,4193914,0
Ok,16-09-2025 14:35:00,1758013500,548.20,548.55,547.90,548.25,549.64,14985,0,4134913,0
Ok,16-09-2025 14:30:00,1758013200,548.45,549.00,548.05,548.30,549.64,14591,0,4119928,0
Ok,16-09-2025 14:25:00,1758012900,548.00,548.45,547.25,548.40,547.44,18654,0,4105337,0
Ok,16-09-2025 14:20:00,1758012600,547.75,548.90,547.55,548.30,549.65,18049,0,4086683,0
Ok,16-09-2025 14:15:00,1758012300,547.55,547.90,547.20,547.50,547.69,20692,0,4068634,0
Ok,16-09-2025 14:10:00,1758012000,549.65,549.65,547.00,547.90,547.70,61287,0,4047942,0
Ok,16-09-2025 14:05:00,1758011700,548.75,549.50,548.60,549.00,549.69,10132,0,3986655,0
Ok,16-09-2025 14:00:00,1758011400,551.80,551.85,548.30,549.10,549.68,38747,0,3976523,0
Ok,16-09-2025 13:55:00,1758011100,548.40,552.00,548.00,551.85,550.15,82474,0,3937776,0
Ok,16-09-2025 13:50:00,1758010800,548.35,548.50,547.85,548.05,549.68,7743,0,3855302,0
Ok,16-09-2025 13:45:00,1758010500,548.85,549.50,547.85,547.85,549.68,43478,0,3847559,0
