stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,16-09-2025 15:25:00,1758016500,263.27,263.63,262.47,262.99,262.91,148884,0,9532328,0
Ok,16-09-2025 15:20:00,1758016200,262.77,263.84,262.57,263.43,263.36,204718,0,9383444,0
Ok,16-09-2025 15:15:00,1758015900,263.91,264.20,262.72,262.74,263.59,384165,0,9178726,0
Ok,16-09-2025 15:10:00,1758015600,261.55,263.90,261.52,263.90,262.77,193713,0,8794561,0
Ok,16-09-2025 15:05:00,1758015300,259.83,261.85,259.80,261.52,260.68,270470,0,8600848,0
Ok,16-09-2025 15:00:00,1758015000,259.90,260.92,259.50,259.90,259.96,182570,0,8330378,0
Ok,16-09-2025 14:55:00,1758014700,261.82,262.79,259.71,259.80,260.86,269581,0,8147808,0
Ok,16-09-2025 14:50:00,1758014400,263.99,264.09,261.21,261.73,262.61,275092,0,7878227,0
Ok,16-09-2025 14:45:00,1758014100,264.00,264.14,263.86,264.04,263.87,47622,0,7603135,0
Ok,16-09-2025 14:40:00,1758013800,263.88,264.16,263.62,263.97,264.56,73025,0,7555513,0
Ok,16-09-2025 14:35:00,1758013500,264.72,264.72,263.60,264.00,263.83,91079,0,7482488,0
Ok,16-09-2025 14:30:00,1758013200,265.09,265.20,264.18,264.86,264.75,54899,0,7391409,0
Ok,16-09-2025 14:25:00,1758012900,264.75,265.42,264.66,265.18,266.04,26553,0,7336510,0
Ok,16-09-2025 14:20:00,1758012600,264.99,265.00,264.66,264.70,262.43,22859,0,7309957,0
Ok,16-09-2025 14:15:00,1758012300,264.89,265.30,264.67,264.86,264.88,36783,0,7287098,0
Ok,16-09-2025 14:10:00,1758012000,264.90,265.32,264.66,264.81,266.51,30973,0,7250315,0
Ok,16-09-2025 14:05:00,1758011700,264.80,265.44,264.60,264.76,263.11,25025,0,7219342,0
Ok,16-09-2025 14:00:00,1758011400,265.47,265.50,264.27,264.55,265.56,64532,0,7194317,0
Ok,16-09-2025 13:55:00,1758011100,265.35,265.50,264.93,265.40,263.66,27120,0,7129785,0
Ok,16-09-2025 13:50:00,1758010800,264.94,265.73,264.94,265.29,264.80,17182,0,7102665,0
Ok,16-09-2025 13:45:00,1758010500,265.69,265.69,264.50,264.95,266.09,49471,0,7085483,0
Ok,16-09-2025 13:40:00,1758010200,265.68,265.74,265.13,265.59,263.96,28074,0,7036012,0
Ok,16-09-2025 13:35:00,1758009900,265.90,265.90,265.43,265.65,266.20,25207,0,7007938,0
Ok,16-09-2025 13:30:00,1758009600,265.50,265.90,265.33,265.76,266.71,30616,0,6982731,0
Ok,16-09-2025 13:25:00,1758009300,264.70,265.51,264.60,265.49,265.00,17351,0,6952115,0
Ok,16-09-2025 13:20:00,1758009000,265.78,265.89,264.60,264.61,265.69,41667,0,6934764,0
Ok,16-09-2025 13:15:00,1758008700,264.93,265.68,264.89,265.59,264.83,32715,0,6893097,0
Ok,16-09-2025 13:10:00,1758008400,264.95,265.22,264.62,264.90,264.42,29579,0,6860382,0
Ok,16-09-2025 13:05:00,1758008100,264.44,265.00,264.08,265.00,264.76,47291,0,6830803,0
Ok,16-09-2025 13:00:00,1758007800,264.05,264.64,264.05,264.51,264.52,29582,0,6783512,0
Ok,16-09-2025 12:55:00,1758007500,264.19,264.29,263.68,263.93,263.43,58897,0,6753930,0
Ok,16-09-2025 12:50:00,1758007200,265.08,265.15,264.10,264.11,264.55,57654,0,6695033,0
Ok,16-09-2025 12:45:00,1758006900,265.56,265.56,264.75,265.10,264.91,46131,0,6637379,0
Ok,16-09-2025 12:40:00,1758006600,264.80,265.59,264.75,265.50,266.24,21915,0,6591248,0
Ok,16-09-2025 12:35:00,1758006300,265.70,265.94,264.56,264.75,265.11,47354,0,6569333,0
Ok,16-09-2025 12:30:00,1758006000,265.26,265.88,265.26,265.65,265.66,35923,0,6521979,0
Ok,16-09-2025 12:25:00,1758005700,265.85,265.98,265.26,265.30,266.13,20441,0,6486056,0
Ok,16-09-2025 12:20:00,1758005400,265.87,265.99,265.66,265.73,266.49,22913,0,6465615,0
Ok,16-09-2025 12:15:00,1758005100,265.79,266.00,265.62,265.86,265.97,38321,0,6442702,0
Ok,16-09-2025 12:10:00,1758004800,265.83,265.86,265.35,265.71,265.24,31131,0,6404381,0
Ok,16-09-2025 12:05:00,1758004500,264.66,265.94,264.66,265.94,265.19,60630,0,6373250,0
Ok,16-09-2025 12:00:00,1758004200,264.72,264.99,264.66,264.78,265.39,31382,0,6312620,0
Ok,16-09-2025 11:55:00,1758003900,265.05,265.05,264.50,264.66,264.38,49512,0,6281238,0
Ok,16-09-2025 11:50:00,1758003600,265.09,265.20,264.50,265.02,265.00,69250,0,6231726,0
Ok,16-09-2025 11:45:00,1758003300,265.16,265.29,264.22,264.98,264.22,57783,0,6162476,0
Ok,16-09-2025 11:40:00,1758003000,264.86,265.84,264.62,265.09,265.45,73574,0,6104693,0
Ok,16-09-2025 11:35:00,1758002700,264.61,265.21,263.43,264.91,264.24,248124,0,6031119,0
Ok,16-09-2025 11:30:00,1758002400,266.68,266.90,264.34,264.55,266.12,166471,0,5782995,0
Ok,16-09-2025 11:25:00,1758002100,267.55,268.05,266.00,266.65,266.72,250074,0,5616524,0
Ok,16-09-2025 11:20:00,1758001800,270.59,270.63,267.42,267.61,268.64,178674,0,5366450,0
Ok,16-09-2025 11:15:00,1758001500,269.64,270.79,269.64,270.46,270.15,41068,0,5187776,0
Ok,16-09-2025 11:10:00,1758001200,269.64,270.37,269.59,269.89,270.15,37668,0,5146708,0
Ok,16-09-2025 11:05:00,1758000900,269.53,269.86,269.30,269.59,268.26,27026,0,5109040,0
Ok,16-09-2025 11:00:00,1758000600,270.90,270.90,269.11,269.43,269.65,100591,0,5082014,0
Ok,16-09-2025 10:55:00,1758000300,270.57,270.98,270.57,270.83,271.93,27971,0,4981423,0
Ok,16-09-2025 10:50:00,1758000000,270.90,271.43,270.55,270.55,270.67,94567,0,4953452,0
Ok,16-09-2025 10:45:00,1757999700,270.47,271.00,270.02,270.97,270.82,138679,0,4858885,0
Ok,16-09-2025 10:40:00,1757999400,269.29,270.38,269.14,270.18,269.67,102232,0,4720206,0
Ok,16-09-2025 10:35:00,1757999100,268.79,269.75,268.79,269.43,269.33,56538,0,4617974,0
Ok,16-09-2025 10:30:00,1757998800,268.32,268.94,268.11,268.74,268.57,57167,0,4561436,0
Ok,16-09-2025 10:25:00,1757998500,269.69,269.90,268.00,268.33,269.10,83378,0,4504269,0
Ok,16-09-2025 10:20:00,1757998200,269.87,269.94,269.26,269.72,269.38,54109,0,4420891,0
Ok,16-09-2025 10:15:00,1757997900,270.32,270.47,269.01,269.71,269.80,107733,0,4366782,0
Ok,16-09-2025 10:10:00,1757997600,268.65,270.48,268.65,270.45,269.79,198440,0,4259049,0
Ok,16-09-2025 10:05:00,1757997300,268.00,268.95,267.98,268.61,268.21,59661,0,4060609,0
Ok,16-09-2025 10:00:00,1757997000,268.34,268.91,267.98,267.98,268.38,83921,0,4000948,0
Ok,16-09-2025 09:55:00,1757996700,267.38,268.98,267.38,268.39,268.49,105535,0,3917027,0
Ok,16-09-2025 09:50:00,1757996400,266.62,267.67,266.18,267.40,267.05,155545,0,3811492,0
Ok,16-09-2025 09:45:00,1757996100,267.63,269.38,266.90,266.90,268.01,182672,0,3655947,0
Ok,16-09-2025 09:40:00,1757995800,270.43,270.48,267.21,267.44,268.65,335710,0,3473275,0
Ok,16-09-2025 09:35:00,1757995500,271.71,271.81,269.69,270.30,270.31,381017,0,3137565,0
Ok,16-09-2025 09:30:00,1757995200,271.95,271.99,271.18,271.85,271.69,191357,0,2756548,0
Ok,16-09-2025 09:25:00,1757994900,270.71,272.23,270.00,271.90,271.25,612450,0,2565191,0
Ok,16-09-2025 09:20:00,1757994600,270.15,271.83,269.79,270.79,270.60,548137,0,1952741,0
Ok,16-09-2025 09:15:00,1757994300,271.54,272.00,268.90,270.17,270.65,1314670,0,1404604,0
