stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,16-09-2025 15:25:00,1758016500,717.05,721.25,716.95,718.85,719.10,78746,0,5740377,0
Ok,16-09-2025 15:20:00,1758016200,720.45,720.75,714.55,717.35,717.00,162675,0,5661631,0
Ok,16-09-2025 15:15:00,1758015900,717.45,720.70,717.10,720.05,718.99,241610,0,5498956,0
Ok,16-09-2025 15:10:00,1758015600,716.90,718.65,716.65,717.00,717.74,105850,0,5257346,0
Ok,16-09-2025 15:05:00,1758015300,716.10,719.50,716.05,717.25,717.67,188463,0,5151496,0
Ok,16-09-2025 15:00:00,1758015000,715.05,716.50,714.60,715.60,715.68,63352,0,4963033,0
Ok,16-09-2025 14:55:00,1758014700,713.85,715.90,713.35,715.15,714.99,79245,0,4899681,0
Ok,16-09-2025 14:50:00,1758014400,713.85,714.35,713.30,713.70,712.66,21831,0,4820436,0
Ok,16-09-2025 14:45:00,1758014100,713.90,714.35,713.30,714.00,713.82,19358,0,4798605,0
Ok,16-09-2025 14:40:00,1758013800,714.45,714.70,713.85,714.00,713.28,18197,0,4779247,0
Ok,16-09-2025 14:35:00,1758013500,714.55,715.50,714.40,714.50,715.76,35348,0,4761050,0
Ok,16-09-2025 14:30:00,1758013200,714.15,714.90,713.80,714.90,713.81,14092,0,4725702,0
Ok,16-09-2025 14:25:00,1758012900,713.90,714.75,713.80,713.80,716.30,12409,0,4711610,0
Ok,16-09-2025 14:20:00,1758012600,714.80,715.50,713.70,713.95,713.42,13424,0,4699201,0
Ok,16-09-2025 14:15:00,1758012300,713.30,715.00,713.20,714.85,714.03,23567,0,4685777,0
Ok,16-09-2025 14:10:00,1758012000,713.80,713.80,713.20,713.20,710.54,6931,0,4662210,0
Ok,16-09-2025 14:05:00,1758011700,713.20,714.40,713.00,713.50,714.28,14339,0,4655279,0
Ok,16-09-2025 14:00:00,1758011400,713.50,714.05,712.60,713.50,713.85,27216,0,4640940,0
Ok,16-09-2025 13:55:00,1758011100,713.50,713.90,713.50,713.55,714.06,13778,0,4613724,0
Ok,16-09-2025 13:50:00,1758010800,714.00,714.20,713.50,713.55,712.09,15255,0,4599946,0
Ok,16-09-2025 13:45:00,1758010500,714.15,714.50,713.60,713.95,715.18,10200,0,4584691,0
Ok,16-09-2025 13:40:00,1758010200,714.05,714.50,713.90,714.50,712.95,8135,0,4574491,0
Ok,16-09-2025 13:35:00,1758009900,714.00,714.30,713.60,714.00,714.60,14243,0,4566356,0
Ok,16-09-2025 13:30:00,1758009600,713.50,714.10,713.50,713.75,711.92,7388,0,4552113,0
Ok,16-09-2025 13:25:00,1758009300,715.10,715.35,713.10,713.65,713.68,17143,0,4544725,0
Ok,16-09-2025 13:20:00,1758009000,715.70,716.75,714.05,715.00,715.99,43269,0,4527582,0
Ok,16-09-2025 13:15:00,1758008700,714.00,716.70,713.50,716.05,714.69,41342,0,4484313,0
