stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,16-09-2025 15:25:00,1758016500,266.85,266.90,265.60,265.95,266.32,523196,0,7485687,0
Ok,16-09-2025 15:20:00,1758016200,266.90,267.00,266.85,266.90,266.99,272217,0,6962491,0
Ok,16-09-2025 15:15:00,1758015900,267.40,267.50,266.80,266.80,267.02,375176,0,6690274,0
Ok,16-09-2025 15:10:00,1758015600,268.15,268.30,267.45,267.45,268.02,103202,0,6315098,0
Ok,16-09-2025 15:05:00,1758015300,267.60,269.10,267.60,268.10,268.63,432722,0,6211896,0
Ok,16-09-2025 15:00:00,1758015000,267.70,267.90,267.40,267.70,268.64,46657,0,5779174,0
Ok,16-09-2025 14:55:00,1758014700,267.60,267.75,267.40,267.55,266.92,33297,0,5732517,0
Ok,16-09-2025 14:50:00,1758014400,267.70,267.75,267.50,267.50,268.65,17177,0,5699220,0
Ok,16-09-2025 14:45:00,1758014100,267.90,267.90,267.70,267.70,264.21,12787,0,5682043,0
Ok,16-09-2025 14:40:00,1758013800,267.75,268.00,267.50,267.70,268.66,40886,0,5669256,0
Ok,16-09-2025 14:35:00,1758013500,267.90,268.20,267.65,267.80,267.63,54456,0,5628370,0
Ok,16-09-2025 14:30:00,1758013200,267.65,267.90,267.50,267.80,268.67,22074,0,5573914,0
Ok,16-09-2025 14:25:00,1758012900,267.40,267.65,267.35,267.60,267.50,47374,0,5551840,0
Ok,16-09-2025 14:20:00,1758012600,267.35,267.45,267.20,267.35,267.42,43698,0,5504466,0
Ok,16-09-2025 14:15:00,1758012300,267.15,267.45,267.10,267.30,266.05,20664,0,5460768,0
Ok,16-09-2025 14:10:00,1758012000,267.45,267.45,267.10,267.10,268.70,25512,0,5440104,0
Ok,16-09-2025 14:05:00,1758011700,267.85,267.85,267.25,267.35,267.00,63313,0,5414592,0
Ok,16-09-2025 14:00:00,1758011400,267.70,267.70,267.60,267.70,268.72,7756,0,5351279,0
Ok,16-09-2025 13:55:00,1758011100,267.65,267.70,267.50,267.60,268.72,22725,0,5343523,0
Ok,16-09-2025 13:50:00,1758010800,267.25,268.25,267.25,267.70,267.43,81897,0,5320798,0
Ok,16-09-2025 13:45:00,1758010500,267.55,267.65,267.15,267.30,268.74,16032,0,5238901,0
Ok,16-09-2025 13:40:00,1758010200,267.10,267.75,267.10,267.60,267.47,40836,0,5222869,0
Ok,16-09-2025 13:35:00,1758009900,267.30,267.45,267.00,267.20,267.05,119546,0,5182033,0
Ok,16-09-2025 13:30:00,1758009600,267.75,267.75,267.20,267.25,267.35,35068,0,5062487,0
Ok,16-09-2025 13:25:00,1758009300,267.75,267.90,267.15,267.70,267.11,88257,0,5027419,0
Ok,16-09-2025 13:20:00,1758009000,267.90,268.00,267.50,267.70,268.83,25722,0,4939162,0
Ok,16-09-2025 13:15:00,1758008700,267.85,268.00,267.85,268.00,268.83,13146,0,4913440,0
Ok,16-09-2025 13:10:00,1758008400,268.40,268.40,267.80,267.80,267.74,44874,0,4900294,0
Ok,16-09-2025 13:05:00,1758008100,268.50,268.50,268.30,268.35,268.84,9729,0,4855420,0
Ok,16-09-2025 13:00:00,1758007800,269.00,269.00,268.30,268.45,268.84,41551,0,4845691,0
Ok,16-09-2025 12:55:00,1758007500,269.00,269.00,268.95,268.95,268.84,3468,0,4804140,0
Ok,16-09-2025 12:50:00,1758007200,268.90,269.15,268.80,268.95,269.16,141997,0,4800672,0
Ok,16-09-2025 12:45:00,1758006900,268.95,269.10,268.85,268.90,268.83,9386,0,4658675,0
Ok,16-09-2025 12:40:00,1758006600,269.50,269.50,268.85,269.00,269.58,60599,0,4649289,0
Ok,16-09-2025 12:35:00,1758006300,268.85,269.20,268.75,269.20,268.82,20936,0,4588690,0
Ok,16-09-2025 12:30:00,1758006000,268.95,269.00,268.75,268.75,268.82,2337,0,4567754,0
Ok,16-09-2025 12:25:00,1758005700,269.10,269.35,268.75,269.00,268.82,46540,0,4565417,0
Ok,16-09-2025 12:20:00,1758005400,268.95,269.20,268.80,269.05,268.82,40575,0,4518877,0
Ok,16-09-2025 12:15:00,1758005100,268.90,268.95,268.80,268.85,268.82,34557,0,4478302,0
Ok,16-09-2025 12:10:00,1758004800,268.90,269.00,268.85,268.95,268.82,29956,0,4443745,0
Ok,16-09-2025 12:05:00,1758004500,269.05,269.10,268.80,268.85,268.82,69423,0,4413789,0
Ok,16-09-2025 12:00:00,1758004200,268.70,269.15,268.70,269.10,268.82,100874,0,4344366,0
Ok,16-09-2025 11:55:00,1758003900,269.30,269.30,268.70,268.80,269.00,405918,0,4243492,0
Ok,16-09-2025 11:50:00,1758003600,269.30,269.30,269.20,269.25,268.80,12757,0,3837574,0
Ok,16-09-2025 11:45:00,1758003300,269.30,269.35,269.25,269.25,268.80,7675,0,3824817,0
Ok,16-09-2025 11:40:00,1758003000,269.35,269.35,269.25,269.35,269.75,39720,0,3817142,0
Ok,16-09-2025 11:35:00,1758002700,269.30,269.40,269.30,269.30,268.79,16371,0,3777422,0
Ok,16-09-2025 11:30:00,1758002400,269.30,269.65,269.25,269.35,269.16,97009,0,3761051,0
Ok,16-09-2025 11:25:00,1758002100,268.65,269.60,268.65,269.45,269.26,143737,0,3664042,0
Ok,16-09-2025 11:20:00,1758001800,269.00,269.15,268.55,268.75,268.76,57121,0,3520305,0
Ok,16-09-2025 11:15:00,1758001500,269.20,269.25,269.00,269.15,268.76,15212,0,3463184,0
Ok,16-09-2025 11:10:00,1758001200,268.90,269.10,268.85,269.10,270.18,24082,0,3447972,0
Ok,16-09-2025 11:05:00,1758000900,268.85,268.90,268.80,268.85,268.75,16337,0,3423890,0
Ok,16-09-2025 11:00:00,1758000600,268.95,268.95,268.20,268.80,268.32,78336,0,3407553,0
Ok,16-09-2025 10:55:00,1758000300,269.45,269.45,268.80,268.80,269.11,91985,0,3329217,0
Ok,16-09-2025 10:50:00,1758000000,269.20,269.45,269.10,269.35,269.18,73095,0,3237232,0
Ok,16-09-2025 10:45:00,1757999700,269.25,269.60,269.15,269.15,269.48,82647,0,3164137,0
Ok,16-09-2025 10:40:00,1757999400,268.95,269.45,268.85,269.30,269.31,50916,0,3081490,0
Ok,16-09-2025 10:35:00,1757999100,269.45,269.60,268.75,268.85,268.91,136644,0,3030574,0
Ok,16-09-2025 10:30:00,1757998800,267.90,269.40,267.90,269.35,268.99,185416,0,2893930,0
Ok,16-09-2025 10:25:00,1757998500,267.75,267.95,267.70,267.95,267.72,28210,0,2708514,0
Ok,16-09-2025 10:20:00,1757998200,267.95,268.00,267.60,267.70,267.50,44456,0,2680304,0
Ok,16-09-2025 10:15:00,1757997900,267.50,268.00,267.40,267.90,267.79,56595,0,2635848,0
Ok,16-09-2025 10:10:00,1757997600,267.15,267.50,266.65,267.30,267.01,208638,0,2579253,0
Ok,16-09-2025 10:05:00,1757997300,267.60,268.20,267.10,267.10,267.52,132532,0,2370615,0
Ok,16-09-2025 10:00:00,1757997000,267.80,268.00,267.50,267.55,267.66,145976,0,2238083,0
Ok,16-09-2025 09:55:00,1757996700,269.15,269.15,267.80,268.00,268.34,164526,0,2092107,0
Ok,16-09-2025 09:50:00,1757996400,268.50,269.00,268.45,269.00,268.69,89442,0,1927581,0
Ok,16-09-2025 09:45:00,1757996100,268.55,268.65,268.40,268.45,269.13,22014,0,1838139,0
Ok,16-09-2025 09:40:00,1757995800,268.75,269.00,268.45,268.50,268.54,116444,0,1816125,0
Ok,16-09-2025 09:35:00,1757995500,268.75,268.90,268.50,268.70,268.58,110063,0,1699681,0
Ok,16-09-2025 09:30:00,1757995200,268.60,268.95,268.50,268.55,268.69,116461,0,1589618,0
Ok,16-09-2025 09:25:00,1757994900,268.50,269.45,268.50,268.65,268.84,272557,0,1473157,0
Ok,16-09-2025 09:20:00,1757994600,268.70,269.20,268.00,268.60,268.64,453658,0,1200600,0
Ok,16-09-2025 09:15:00,1757994300,271.65,272.20,268.45,268.60,269.68,719684,0,746942,0
