stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,17-09-2025 13:40:00,1758096600,853.05,853.95,852.55,852.60,852.44,107,0,32877,0
Ok,17-09-2025 13:35:00,1758096300,853.15,854.55,852.80,852.80,854.40,166,0,32770,0
Ok,17-09-2025 13:30:00,1758096000,854.30,854.40,853.10,854.40,852.43,2,0,32604,0
Ok,17-09-2025 13:25:00,1758095700,853.00,854.30,853.00,854.30,852.43,111,0,32602,0
Ok,17-09-2025 13:20:00,1758095400,853.25,854.15,852.95,853.00,854.36,167,0,32491,0
Ok,17-09-2025 13:15:00,1758095100,853.10,854.15,852.95,854.15,852.42,121,0,32324,0
Ok,17-09-2025 13:10:00,1758094800,853.60,854.15,853.00,853.00,853.11,456,0,32203,0
Ok,17-09-2025 13:05:00,1758094500,854.15,854.15,853.40,853.40,852.41,67,0,31747,0
Ok,17-09-2025 13:00:00,1758094200,853.30,854.30,853.30,854.10,854.70,137,0,31680,0
Ok,17-09-2025 12:55:00,1758093900,852.80,853.30,852.00,853.30,852.40,130,0,31543,0
Ok,17-09-2025 12:50:00,1758093600,853.70,853.75,853.30,853.75,855.40,104,0,31413,0
Ok,17-09-2025 12:45:00,1758093300,853.70,853.70,853.70,853.70,852.39,67,0,31309,0
Ok,17-09-2025 12:40:00,1758093000,852.35,853.70,852.30,853.70,852.39,131,0,31242,0
Ok,17-09-2025 12:35:00,1758092700,853.40,853.40,852.15,852.35,852.39,205,0,31111,0
Ok,17-09-2025 12:30:00,1758092400,852.15,852.15,852.15,852.15,852.39,30,0,30906,0
Ok,17-09-2025 12:25:00,1758092100,852.80,852.80,852.35,852.35,852.39,112,0,30876,0
Ok,17-09-2025 12:20:00,1758091800,852.55,854.05,852.55,852.75,852.39,47,0,30764,0
Ok,17-09-2025 12:15:00,1758091500,853.80,853.95,852.50,852.55,854.89,243,0,30717,0
Ok,17-09-2025 12:10:00,1758091200,852.40,854.10,852.35,854.10,852.37,122,0,30474,0
Ok,17-09-2025 12:05:00,1758090900,854.00,854.00,852.00,852.40,853.31,625,0,30352,0
Ok,17-09-2025 12:00:00,1758090600,856.00,856.35,855.90,855.90,855.80,1075,0,29727,0
Ok,17-09-2025 11:55:00,1758090300,856.40,858.60,855.00,855.95,857.49,533,0,28652,0
Ok,17-09-2025 11:50:00,1758090000,856.35,856.40,855.25,856.30,853.95,152,0,28119,0
Ok,17-09-2025 11:45:00,1758089700,856.15,856.40,855.20,855.20,855.68,980,0,27967,0
Ok,17-09-2025 11:40:00,1758089400,856.55,856.55,854.00,856.00,855.59,726,0,26987,0
Ok,17-09-2025 11:35:00,1758089100,856.00,860.00,855.75,856.60,858.21,3700,0,26261,0
Ok,17-09-2025 11:30:00,1758088800,852.35,854.75,852.00,854.75,853.66,314,0,22561,0
Ok,17-09-2025 11:25:00,1758088500,851.55,852.30,851.55,851.80,850.80,69,0,22247,0
Ok,17-09-2025 11:20:00,1758088200,851.85,852.35,851.50,852.35,851.79,221,0,22178,0
Ok,17-09-2025 11:15:00,1758087900,851.10,851.80,850.00,851.80,850.79,552,0,21957,0
Ok,17-09-2025 11:10:00,1758087600,851.60,852.10,851.05,851.10,850.79,187,0,21405,0
Ok,17-09-2025 11:05:00,1758087300,853.20,853.25,851.05,852.95,851.98,517,0,21218,0
Ok,17-09-2025 11:00:00,1758087000,850.95,853.90,850.95,852.65,852.61,855,0,20701,0
Ok,17-09-2025 10:55:00,1758086700,848.35,850.80,848.35,850.05,849.51,501,0,19846,0
Ok,17-09-2025 10:50:00,1758086400,848.00,848.25,846.45,848.25,847.31,555,0,19345,0
Ok,17-09-2025 10:45:00,1758086100,848.00,848.90,848.00,848.90,848.32,150,0,18790,0
Ok,17-09-2025 10:40:00,1758085800,849.70,849.70,848.20,848.20,849.71,330,0,18640,0
Ok,17-09-2025 10:35:00,1758085500,849.45,849.45,849.25,849.25,847.40,53,0,18310,0
Ok,17-09-2025 10:30:00,1758085200,849.35,849.95,848.15,848.20,848.84,356,0,18257,0
Ok,17-09-2025 10:25:00,1758084900,849.40,849.50,848.05,848.25,849.52,130,0,17901,0
Ok,17-09-2025 10:20:00,1758084600,848.00,848.90,847.80,848.05,846.78,43,0,17771,0
Ok,17-09-2025 10:15:00,1758084300,850.55,850.55,848.00,848.00,848.97,701,0,17728,0
Ok,17-09-2025 10:10:00,1758084000,853.95,853.95,850.05,850.20,851.50,2065,0,17027,0
Ok,17-09-2025 10:05:00,1758083700,852.00,860.95,852.00,855.00,856.70,5969,0,14962,0
Ok,17-09-2025 10:00:00,1758083400,846.00,851.95,845.60,851.95,849.65,2778,0,8993,0
Ok,17-09-2025 09:55:00,1758083100,845.05,847.50,845.05,846.50,845.81,1250,0,6215,0
Ok,17-09-2025 09:50:00,1758082800,845.45,846.45,842.30,842.30,844.25,999,0,4965,0
Ok,17-09-2025 09:45:00,1758082500,844.70,845.45,842.40,845.45,844.45,1086,0,3966,0
Ok,17-09-2025 09:40:00,1758082200,845.20,846.60,844.80,844.80,845.45,147,0,2880,0
Ok,17-09-2025 09:35:00,1758081900,845.95,846.55,845.00,846.35,845.75,255,0,2733,0
Ok,17-09-2025 09:30:00,1758081600,848.55,848.55,846.00,846.00,847.68,76,0,2478,0
Ok,17-09-2025 09:25:00,1758081300,847.45,849.90,846.55,848.75,847.33,1305,0,2402,0
Ok,17-09-2025 09:20:00,1758081000,845.60,847.95,844.20,847.95,846.49,363,0,1097,0
Ok,17-09-2025 09:15:00,1758080700,846.65,849.00,846.50,847.80,1232.28,505,0,734,0
