stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,17-09-2025 13:40:00,1758096600,271.95,272.00,271.45,271.65,271.47,2326,0,104128,0
Ok,17-09-2025 13:35:00,1758096300,271.90,271.90,271.65,271.90,272.37,94,0,101802,0
Ok,17-09-2025 13:30:00,1758096000,271.75,271.95,271.60,271.95,271.74,1617,0,101708,0
Ok,17-09-2025 13:25:00,1758095700,271.85,271.95,271.60,271.75,271.50,1143,0,100091,0
Ok,17-09-2025 13:20:00,1758095400,271.70,272.00,271.70,272.00,272.39,407,0,98948,0
Ok,17-09-2025 13:15:00,1758095100,271.85,271.85,271.70,271.85,272.03,12215,0,98541,0
Ok,17-09-2025 13:10:00,1758094800,272.05,272.25,272.05,272.05,272.44,271,0,86326,0
Ok,17-09-2025 13:05:00,1758094500,272.50,272.50,272.05,272.05,272.44,262,0,86055,0
Ok,17-09-2025 13:00:00,1758094200,272.45,272.55,272.05,272.50,271.73,1203,0,85793,0
Ok,17-09-2025 12:55:00,1758093900,272.60,272.60,272.25,272.25,272.45,224,0,84590,0
Ok,17-09-2025 12:50:00,1758093600,272.40,272.60,272.40,272.40,272.45,2226,0,84366,0
Ok,17-09-2025 12:45:00,1758093300,272.80,272.80,272.40,272.45,272.45,637,0,82140,0
Ok,17-09-2025 12:40:00,1758093000,272.35,272.85,272.35,272.85,273.31,929,0,81503,0
Ok,17-09-2025 12:35:00,1758092700,272.50,272.65,272.30,272.35,272.44,426,0,80574,0
Ok,17-09-2025 12:30:00,1758092400,272.55,272.65,272.20,272.50,272.44,173,0,80148,0
Ok,17-09-2025 12:25:00,1758092100,272.45,272.55,272.10,272.50,272.44,507,0,79975,0
Ok,17-09-2025 12:20:00,1758091800,272.40,272.75,272.15,272.45,272.44,915,0,79468,0
Ok,17-09-2025 12:15:00,1758091500,272.60,272.60,272.15,272.40,272.44,242,0,78553,0
Ok,17-09-2025 12:10:00,1758091200,272.35,272.60,272.10,272.55,272.44,629,0,78311,0
Ok,17-09-2025 12:05:00,1758090900,272.70,272.80,272.50,272.65,272.44,700,0,77682,0
Ok,17-09-2025 12:00:00,1758090600,272.55,272.70,272.20,272.35,272.44,1024,0,76982,0
Ok,17-09-2025 11:55:00,1758090300,272.55,272.55,272.20,272.45,272.44,404,0,75958,0
Ok,17-09-2025 11:50:00,1758090000,272.45,272.55,272.10,272.50,272.44,158,0,75554,0
Ok,17-09-2025 11:45:00,1758089700,272.20,272.45,272.05,272.40,271.68,985,0,75396,0
Ok,17-09-2025 11:40:00,1758089400,272.10,272.45,272.10,272.45,272.45,431,0,74411,0
Ok,17-09-2025 11:35:00,1758089100,272.20,272.30,272.00,272.25,272.45,796,0,73980,0
Ok,17-09-2025 11:30:00,1758088800,272.15,272.20,272.00,272.00,272.45,348,0,73184,0
