stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,18-09-2025 15:10:00,1758188400,479.90,479.90,478.10,478.85,477.99,3947,0,168860,0
Ok,18-09-2025 15:05:00,1758188100,480.65,480.70,479.65,479.95,481.00,1144,0,164913,0
Ok,18-09-2025 15:00:00,1758187800,480.65,481.40,480.30,480.50,481.00,5213,0,163769,0
Ok,18-09-2025 14:55:00,1758187500,479.90,480.10,479.45,480.05,478.92,1515,0,158556,0
Ok,18-09-2025 14:50:00,1758187200,479.95,479.95,479.20,479.75,478.54,1261,0,157041,0
Ok,18-09-2025 14:45:00,1758186900,479.25,479.75,479.25,479.75,481.04,851,0,155780,0
Ok,18-09-2025 14:40:00,1758186600,477.10,479.00,477.10,479.00,478.42,2341,0,154929,0
Ok,18-09-2025 14:35:00,1758186300,476.50,476.90,476.50,476.85,475.60,832,0,152588,0
Ok,18-09-2025 14:30:00,1758186000,476.50,477.10,476.50,477.10,476.99,1821,0,151756,0
Ok,18-09-2025 14:25:00,1758185700,476.50,477.20,476.50,477.10,477.03,1440,0,149935,0
Ok,18-09-2025 14:20:00,1758185400,477.00,477.65,476.50,476.95,476.88,2373,0,148495,0
Ok,18-09-2025 14:15:00,1758185100,478.55,478.55,477.00,477.05,477.63,3923,0,146122,0
Ok,18-09-2025 14:10:00,1758184800,478.40,478.65,478.10,478.15,477.28,1038,0,142199,0
Ok,18-09-2025 14:05:00,1758184500,478.70,478.85,478.00,478.00,478.69,2060,0,141161,0
Ok,18-09-2025 14:00:00,1758184200,478.30,478.80,478.25,478.25,478.22,432,0,139101,0
Ok,18-09-2025 13:55:00,1758183900,478.00,478.95,478.00,478.55,478.01,1599,0,138669,0
Ok,18-09-2025 13:50:00,1758183600,478.65,478.65,478.00,478.00,478.17,2838,0,137070,0
Ok,18-09-2025 13:45:00,1758183300,478.80,478.85,478.30,478.65,474.89,201,0,134232,0
Ok,18-09-2025 13:40:00,1758183000,479.00,479.40,478.85,478.85,481.57,91,0,134031,0
Ok,18-09-2025 13:35:00,1758182700,479.50,479.50,479.00,479.00,479.31,594,0,133940,0
Ok,18-09-2025 13:30:00,1758182400,479.05,479.65,479.00,479.50,477.92,1087,0,133346,0
Ok,18-09-2025 13:25:00,1758182100,480.10,480.70,479.00,479.60,479.58,3809,0,132259,0
Ok,18-09-2025 13:20:00,1758181800,480.05,480.70,480.00,480.70,480.46,1063,0,128450,0
Ok,18-09-2025 13:15:00,1758181500,480.00,480.90,480.00,480.15,480.39,1965,0,127387,0
Ok,18-09-2025 13:10:00,1758181200,480.50,481.00,480.00,480.00,479.78,1300,0,125422,0
Ok,18-09-2025 13:05:00,1758180900,480.85,480.85,480.00,480.50,481.72,226,0,124122,0
Ok,18-09-2025 13:00:00,1758180600,482.00,482.50,480.05,480.25,481.92,15239,0,123896,0
Ok,18-09-2025 12:55:00,1758180300,482.20,482.40,482.00,482.40,481.69,362,0,108657,0
Ok,18-09-2025 12:50:00,1758180000,482.15,482.40,482.00,482.05,485.65,272,0,108295,0
Ok,18-09-2025 12:45:00,1758179700,482.25,482.25,482.00,482.15,481.68,1629,0,108023,0
Ok,18-09-2025 12:40:00,1758179400,482.70,482.80,482.20,482.50,483.40,613,0,106394,0
Ok,18-09-2025 12:35:00,1758179100,482.35,483.00,482.15,482.75,482.49,2497,0,105781,0
Ok,18-09-2025 12:30:00,1758178800,482.60,482.85,482.20,482.85,481.65,464,0,103284,0
Ok,18-09-2025 12:25:00,1758178500,482.70,482.90,482.50,482.60,481.65,552,0,102820,0
Ok,18-09-2025 12:20:00,1758178200,482.55,482.65,482.55,482.65,493.31,175,0,102268,0
Ok,18-09-2025 12:15:00,1758177900,483.00,483.05,482.55,483.00,481.63,843,0,102093,0
Ok,18-09-2025 12:10:00,1758177600,482.85,483.20,482.50,482.50,482.35,2724,0,101250,0
Ok,18-09-2025 12:05:00,1758177300,484.00,484.00,482.05,482.05,483.03,5838,0,98526,0
Ok,18-09-2025 12:00:00,1758177000,483.30,484.20,483.30,483.40,483.19,1094,0,92688,0
Ok,18-09-2025 11:55:00,1758176700,483.85,484.50,483.10,483.40,483.78,2339,0,91594,0
Ok,18-09-2025 11:50:00,1758176400,480.00,484.50,480.00,484.50,482.70,7730,0,89255,0
Ok,18-09-2025 11:45:00,1758176100,480.30,480.30,479.30,479.35,479.98,3517,0,81525,0
Ok,18-09-2025 11:40:00,1758175800,481.85,481.85,480.50,480.80,480.47,850,0,78008,0
Ok,18-09-2025 11:35:00,1758175500,481.15,481.85,481.05,481.20,481.39,334,0,77158,0
Ok,18-09-2025 11:30:00,1758175200,481.95,481.95,481.30,481.30,481.39,481,0,76824,0
Ok,18-09-2025 11:25:00,1758174900,480.75,481.85,480.25,481.85,481.38,1672,0,76343,0
Ok,18-09-2025 11:20:00,1758174600,480.40,480.95,480.30,480.80,481.39,402,0,74671,0
Ok,18-09-2025 11:15:00,1758174300,481.45,481.90,480.65,480.65,480.77,1192,0,74269,0
Ok,18-09-2025 11:10:00,1758174000,482.80,483.00,481.00,481.05,482.27,1632,0,73077,0
Ok,18-09-2025 11:05:00,1758173700,480.15,482.95,480.15,482.50,481.15,5829,0,71445,0
Ok,18-09-2025 11:00:00,1758173400,480.30,481.30,480.00,480.15,480.36,1862,0,65616,0
Ok,18-09-2025 10:55:00,1758173100,481.10,481.10,480.50,480.50,479.79,390,0,63754,0
Ok,18-09-2025 10:50:00,1758172800,481.75,481.85,481.00,481.10,481.44,569,0,63364,0
Ok,18-09-2025 10:45:00,1758172500,481.05,481.75,481.05,481.75,481.44,497,0,62795,0
Ok,18-09-2025 10:40:00,1758172200,481.05,481.55,480.95,481.00,481.44,267,0,62298,0
Ok,18-09-2025 10:35:00,1758171900,481.85,481.85,481.05,481.05,481.44,502,0,62031,0
Ok,18-09-2025 10:30:00,1758171600,480.80,481.80,480.80,481.50,481.44,659,0,61529,0
Ok,18-09-2025 10:25:00,1758171300,481.30,481.60,480.50,480.85,480.45,3501,0,60870,0
Ok,18-09-2025 10:20:00,1758171000,480.85,481.00,480.50,480.95,480.72,739,0,57369,0
Ok,18-09-2025 10:15:00,1758170700,481.45,482.10,480.80,480.80,481.51,831,0,56630,0
Ok,18-09-2025 10:10:00,1758170400,483.00,483.50,480.80,480.85,482.19,1559,0,55799,0
Ok,18-09-2025 10:05:00,1758170100,482.40,483.70,482.25,483.05,482.33,1242,0,54240,0
Ok,18-09-2025 10:00:00,1758169800,481.50,484.00,481.50,482.45,483.13,5676,0,52998,0
Ok,18-09-2025 09:55:00,1758169500,482.05,482.05,480.75,481.30,481.45,2346,0,47322,0
Ok,18-09-2025 09:50:00,1758169200,481.80,482.75,481.50,482.50,481.68,1036,0,44976,0
Ok,18-09-2025 09:45:00,1758168900,480.10,482.35,479.25,481.35,480.71,10268,0,43940,0
Ok,18-09-2025 09:40:00,1758168600,478.95,480.20,477.85,480.00,478.75,2360,0,33672,0
Ok,18-09-2025 09:35:00,1758168300,480.25,480.50,479.50,479.50,479.89,1398,0,31312,0
Ok,18-09-2025 09:30:00,1758168000,480.80,481.00,479.20,479.65,480.23,4091,0,29914,0
Ok,18-09-2025 09:25:00,1758167700,482.15,482.70,479.25,480.00,481.20,5884,0,25823,0
Ok,18-09-2025 09:20:00,1758167400,479.05,482.50,479.00,482.50,480.34,7706,0,19939,0
Ok,18-09-2025 09:15:00,1758167100,480.60,488.00,479.80,479.85,483.24,12233,0,12233,0
