stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,18-09-2025 15:10:00,1758188400,382.90,383.00,382.40,382.90,382.82,4300,0,94045,0
Ok,18-09-2025 15:05:00,1758188100,381.30,383.20,381.25,383.15,382.10,1135,0,89745,0
Ok,18-09-2025 15:00:00,1758187800,380.80,381.60,380.80,381.60,381.75,437,0,88610,0
Ok,18-09-2025 14:55:00,1758187500,380.90,380.90,380.80,380.80,379.73,42,0,88173,0
Ok,18-09-2025 14:50:00,1758187200,381.60,381.60,380.80,380.80,380.80,1605,0,88131,0
Ok,18-09-2025 14:45:00,1758186900,380.70,381.00,380.00,381.00,381.19,578,0,86526,0
Ok,18-09-2025 14:40:00,1758186600,380.70,380.70,380.70,380.70,0.00,0,0,85948,0
Ok,18-09-2025 14:35:00,1758186300,381.95,381.95,380.70,380.70,380.47,1087,0,85948,0
Ok,18-09-2025 14:30:00,1758186000,378.60,381.00,378.60,381.00,379.69,885,0,84861,0
Ok,18-09-2025 14:25:00,1758185700,378.55,379.65,378.55,378.55,379.69,46,0,83976,0
Ok,18-09-2025 14:20:00,1758185400,378.50,378.50,378.50,378.50,0.00,0,0,83930,0
Ok,18-09-2025 14:15:00,1758185100,379.40,379.40,378.50,378.50,379.69,500,0,83930,0
Ok,18-09-2025 14:10:00,1758184800,379.40,379.40,379.40,379.40,0.00,0,0,83430,0
Ok,18-09-2025 14:05:00,1758184500,379.40,379.40,379.40,379.40,379.69,109,0,83430,0
Ok,18-09-2025 14:00:00,1758184200,378.65,379.45,378.65,379.40,379.69,46,0,83321,0
Ok,18-09-2025 13:55:00,1758183900,378.65,378.65,378.65,378.65,0.00,0,0,83275,0
Ok,18-09-2025 13:50:00,1758183600,378.65,378.65,378.65,378.65,379.69,50,0,83275,0
Ok,18-09-2025 13:45:00,1758183300,378.65,378.65,378.65,378.65,0.00,0,0,83225,0
Ok,18-09-2025 13:40:00,1758183000,378.65,378.65,378.65,378.65,0.00,0,0,83225,0
Ok,18-09-2025 13:35:00,1758182700,378.65,378.65,378.65,378.65,379.69,1,0,83225,0
Ok,18-09-2025 13:30:00,1758182400,378.55,378.55,378.20,378.20,374.94,175,0,83224,0
Ok,18-09-2025 13:25:00,1758182100,378.55,378.55,378.55,378.55,379.70,1,0,83049,0
Ok,18-09-2025 13:20:00,1758181800,379.05,379.05,378.55,378.55,379.70,47,0,83048,0
Ok,18-09-2025 13:15:00,1758181500,378.20,379.50,378.20,379.05,379.70,306,0,83001,0
Ok,18-09-2025 13:10:00,1758181200,379.15,379.15,378.80,378.85,379.70,122,0,82695,0
Ok,18-09-2025 13:05:00,1758180900,379.30,379.30,379.15,379.15,379.70,2,0,82573,0
Ok,18-09-2025 13:00:00,1758180600,378.75,379.30,378.75,379.30,379.70,1,0,82571,0
Ok,18-09-2025 12:55:00,1758180300,378.85,378.85,378.75,378.75,378.05,498,0,82570,0
Ok,18-09-2025 12:50:00,1758180000,379.35,379.35,378.85,378.85,379.71,480,0,82072,0
Ok,18-09-2025 12:45:00,1758179700,379.35,379.35,379.35,379.35,0.00,0,0,81592,0
Ok,18-09-2025 12:40:00,1758179400,380.10,380.10,379.35,379.35,379.71,277,0,81592,0
Ok,18-09-2025 12:35:00,1758179100,380.00,380.00,379.75,380.00,379.71,304,0,81315,0
Ok,18-09-2025 12:30:00,1758178800,379.75,380.00,379.75,380.00,379.71,50,0,81011,0
Ok,18-09-2025 12:25:00,1758178500,380.00,380.00,379.75,379.75,379.71,2,0,80961,0
Ok,18-09-2025 12:20:00,1758178200,379.95,380.10,379.95,380.00,379.71,230,0,80959,0
Ok,18-09-2025 12:15:00,1758177900,379.45,380.00,378.85,378.85,378.93,1027,0,80729,0
Ok,18-09-2025 12:10:00,1758177600,378.90,379.15,378.90,379.15,379.72,135,0,79702,0
Ok,18-09-2025 12:05:00,1758177300,378.35,378.35,377.00,378.20,377.33,8928,0,79567,0
Ok,18-09-2025 12:00:00,1758177000,377.70,378.15,377.65,378.15,377.76,3563,0,70639,0
Ok,18-09-2025 11:55:00,1758176700,378.00,378.25,377.00,377.70,377.60,1046,0,67076,0
Ok,18-09-2025 11:50:00,1758176400,377.90,378.85,377.90,378.00,380.18,87,0,66030,0
Ok,18-09-2025 11:45:00,1758176100,377.90,377.90,377.90,377.90,0.00,0,0,65943,0
Ok,18-09-2025 11:40:00,1758175800,377.90,377.90,377.90,377.90,377.01,208,0,65943,0
Ok,18-09-2025 11:35:00,1758175500,378.70,378.70,378.70,378.70,0.00,0,0,65735,0
Ok,18-09-2025 11:30:00,1758175200,377.55,378.95,377.55,378.70,378.94,3043,0,65735,0
Ok,18-09-2025 11:25:00,1758174900,377.00,377.55,376.85,377.55,377.59,2284,0,62692,0
Ok,18-09-2025 11:20:00,1758174600,378.35,378.40,378.35,378.40,380.35,180,0,60408,0
Ok,18-09-2025 11:15:00,1758174300,379.15,379.15,378.35,378.80,359.59,29,0,60228,0
Ok,18-09-2025 11:10:00,1758174000,378.70,379.15,378.70,379.15,380.36,225,0,60199,0
Ok,18-09-2025 11:05:00,1758173700,379.95,379.95,378.65,378.65,378.63,691,0,59974,0
Ok,18-09-2025 11:00:00,1758173400,379.05,379.95,379.05,379.95,380.38,315,0,59283,0
Ok,18-09-2025 10:55:00,1758173100,379.05,379.20,379.05,379.05,378.95,412,0,58968,0
Ok,18-09-2025 10:50:00,1758172800,378.80,379.20,378.80,379.20,378.16,262,0,58556,0
Ok,18-09-2025 10:45:00,1758172500,379.00,379.00,378.80,378.80,380.40,2,0,58294,0
Ok,18-09-2025 10:40:00,1758172200,378.85,380.00,378.85,379.00,380.40,343,0,58292,0
Ok,18-09-2025 10:35:00,1758171900,379.95,379.95,379.95,379.95,0.00,0,0,57949,0
Ok,18-09-2025 10:30:00,1758171600,378.65,379.95,378.65,379.95,379.44,608,0,57949,0
Ok,18-09-2025 10:25:00,1758171300,379.10,379.10,378.65,378.65,380.41,13,0,57341,0
Ok,18-09-2025 10:20:00,1758171000,379.50,380.25,379.10,379.10,379.72,17460,0,57328,0
Ok,18-09-2025 10:15:00,1758170700,381.65,381.65,379.50,379.50,380.49,1812,0,39868,0
Ok,18-09-2025 10:10:00,1758170400,380.00,380.95,380.00,380.95,380.72,522,0,38056,0
Ok,18-09-2025 10:05:00,1758170100,380.35,380.35,379.50,380.00,379.99,1013,0,37534,0
Ok,18-09-2025 10:00:00,1758169800,379.05,380.00,379.05,379.85,379.50,872,0,36521,0
Ok,18-09-2025 09:55:00,1758169500,380.00,380.65,379.80,380.00,380.28,10129,0,35649,0
