stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,18-09-2025 15:10:00,1758188400,229.57,229.78,229.42,229.42,231.59,1611,0,160052,0
Ok,18-09-2025 15:05:00,1758188100,229.19,229.58,229.19,229.58,229.86,912,0,158441,0
Ok,18-09-2025 15:00:00,1758187800,229.27,229.27,228.90,229.19,229.20,1307,0,157529,0
Ok,18-09-2025 14:55:00,1758187500,229.30,229.66,229.00,229.27,229.58,1524,0,156222,0
Ok,18-09-2025 14:50:00,1758187200,229.40,229.40,229.28,229.28,229.34,672,0,154698,0
Ok,18-09-2025 14:45:00,1758186900,230.60,230.60,229.07,229.50,229.69,4604,0,154026,0
Ok,18-09-2025 14:40:00,1758186600,230.07,230.64,230.07,230.60,228.90,531,0,149422,0
Ok,18-09-2025 14:35:00,1758186300,230.34,230.34,230.05,230.05,231.72,496,0,148891,0
Ok,18-09-2025 14:30:00,1758186000,230.57,230.97,230.40,230.75,230.80,1612,0,148395,0
Ok,18-09-2025 14:25:00,1758185700,230.70,230.70,230.24,230.24,230.30,2034,0,146783,0
Ok,18-09-2025 14:20:00,1758185400,230.37,230.37,230.27,230.27,231.75,65,0,144749,0
Ok,18-09-2025 14:15:00,1758185100,230.44,230.70,230.33,230.33,231.75,159,0,144684,0
Ok,18-09-2025 14:10:00,1758184800,230.68,230.70,230.41,230.41,220.64,130,0,144525,0
Ok,18-09-2025 14:05:00,1758184500,230.70,230.70,230.68,230.68,231.76,217,0,144395,0
Ok,18-09-2025 14:00:00,1758184200,230.11,230.80,230.07,230.70,231.76,564,0,144178,0
Ok,18-09-2025 13:55:00,1758183900,230.41,230.41,230.41,230.41,0.00,0,0,143614,0
Ok,18-09-2025 13:50:00,1758183600,230.58,230.58,230.41,230.41,229.22,564,0,143614,0
Ok,18-09-2025 13:45:00,1758183300,230.44,230.64,230.13,230.59,230.14,879,0,143050,0
Ok,18-09-2025 13:40:00,1758183000,230.25,230.49,230.19,230.49,231.78,191,0,142171,0
Ok,18-09-2025 13:35:00,1758182700,230.56,230.56,230.24,230.25,231.78,193,0,141980,0
Ok,18-09-2025 13:30:00,1758182400,230.09,230.50,230.09,230.35,229.87,1471,0,141787,0
Ok,18-09-2025 13:25:00,1758182100,229.62,230.09,229.62,230.09,230.45,1036,0,140316,0
Ok,18-09-2025 13:20:00,1758181800,229.43,229.81,229.43,229.81,230.10,812,0,139280,0
Ok,18-09-2025 13:15:00,1758181500,229.60,229.60,229.49,229.51,228.62,863,0,138468,0
Ok,18-09-2025 13:10:00,1758181200,230.00,230.00,229.80,229.80,231.84,105,0,137605,0
Ok,18-09-2025 13:05:00,1758180900,229.85,230.00,229.67,229.88,231.84,419,0,137500,0
Ok,18-09-2025 13:00:00,1758180600,230.07,230.07,229.35,230.00,229.54,2931,0,137081,0
Ok,18-09-2025 12:55:00,1758180300,230.01,230.25,230.00,230.01,230.95,1424,0,134150,0
Ok,18-09-2025 12:50:00,1758180000,230.48,230.48,230.00,230.07,229.33,1535,0,132726,0
Ok,18-09-2025 12:45:00,1758179700,230.38,230.48,230.38,230.48,231.93,84,0,131191,0
Ok,18-09-2025 12:40:00,1758179400,230.37,230.43,230.15,230.36,230.35,831,0,131107,0
Ok,18-09-2025 12:35:00,1758179100,230.10,230.75,230.10,230.29,231.94,535,0,130276,0
Ok,18-09-2025 12:30:00,1758178800,230.45,230.45,230.03,230.10,229.57,1631,0,129741,0
Ok,18-09-2025 12:25:00,1758178500,230.28,230.31,230.25,230.25,231.97,164,0,128110,0
Ok,18-09-2025 12:20:00,1758178200,230.44,230.71,230.41,230.41,231.97,286,0,127946,0
Ok,18-09-2025 12:15:00,1758177900,231.07,231.09,230.34,230.64,230.74,2058,0,127660,0
Ok,18-09-2025 12:10:00,1758177600,231.10,231.10,230.79,230.89,214.05,70,0,125602,0
Ok,18-09-2025 12:05:00,1758177300,231.12,231.14,230.87,231.10,232.00,211,0,125532,0
Ok,18-09-2025 12:00:00,1758177000,231.09,231.14,230.72,230.72,232.00,761,0,125321,0
Ok,18-09-2025 11:55:00,1758176700,231.14,231.14,230.86,230.86,226.07,210,0,124560,0
Ok,18-09-2025 11:50:00,1758176400,230.91,231.14,230.91,231.14,232.01,179,0,124350,0
Ok,18-09-2025 11:45:00,1758176100,230.89,231.16,230.87,230.87,232.01,249,0,124171,0
Ok,18-09-2025 11:40:00,1758175800,230.99,231.20,230.89,230.89,232.01,743,0,123922,0
Ok,18-09-2025 11:35:00,1758175500,230.82,230.99,230.78,230.78,230.74,967,0,123179,0
Ok,18-09-2025 11:30:00,1758175200,231.00,231.14,230.82,230.82,227.10,248,0,122212,0
Ok,18-09-2025 11:25:00,1758174900,230.86,231.14,230.77,231.14,232.03,700,0,121964,0
Ok,18-09-2025 11:20:00,1758174600,230.87,231.00,230.79,230.79,228.70,364,0,121264,0
Ok,18-09-2025 11:15:00,1758174300,231.14,231.14,230.93,231.13,232.04,227,0,120900,0
Ok,18-09-2025 11:10:00,1758174000,230.93,231.22,230.82,230.94,232.04,568,0,120673,0
Ok,18-09-2025 11:05:00,1758173700,231.26,231.26,230.90,231.00,230.88,1034,0,120105,0
Ok,18-09-2025 11:00:00,1758173400,230.73,231.36,230.73,231.17,231.05,1188,0,119071,0
Ok,18-09-2025 10:55:00,1758173100,231.55,231.55,230.62,230.73,230.78,2731,0,117883,0
Ok,18-09-2025 10:50:00,1758172800,231.70,231.98,231.60,231.60,232.09,410,0,115152,0
Ok,18-09-2025 10:45:00,1758172500,231.99,231.99,231.70,231.70,232.09,296,0,114742,0
