stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,18-09-2025 15:10:00,1758188400,102.33,102.34,102.29,102.34,102.35,1166,0,278061,0
Ok,18-09-2025 15:05:00,1758188100,102.15,102.29,102.15,102.29,102.20,17449,0,276895,0
Ok,18-09-2025 15:00:00,1758187800,102.00,102.20,102.00,102.20,102.10,9963,0,259446,0
Ok,18-09-2025 14:55:00,1758187500,102.05,102.25,102.00,102.00,102.37,4510,0,249483,0
Ok,18-09-2025 14:50:00,1758187200,102.02,102.14,102.00,102.14,102.37,803,0,244973,0
Ok,18-09-2025 14:45:00,1758186900,102.05,102.10,101.97,102.03,101.57,3050,0,244170,0
Ok,18-09-2025 14:40:00,1758186600,101.90,102.02,101.90,102.02,102.38,258,0,241120,0
Ok,18-09-2025 14:35:00,1758186300,101.90,102.07,101.90,101.90,102.38,400,0,240862,0
Ok,18-09-2025 14:30:00,1758186000,102.00,102.00,101.85,101.90,102.38,3197,0,240462,0
Ok,18-09-2025 14:25:00,1758185700,102.00,102.08,102.00,102.01,101.41,2456,0,237265,0
Ok,18-09-2025 14:20:00,1758185400,102.11,102.12,102.11,102.12,102.39,14,0,234809,0
Ok,18-09-2025 14:15:00,1758185100,102.22,102.22,102.02,102.11,102.39,821,0,234795,0
Ok,18-09-2025 14:10:00,1758184800,102.15,102.15,102.15,102.15,102.39,675,0,233974,0
Ok,18-09-2025 14:05:00,1758184500,102.19,102.19,102.19,102.19,0.00,0,0,233299,0
Ok,18-09-2025 14:00:00,1758184200,102.19,102.23,102.18,102.19,102.39,274,0,233299,0
Ok,18-09-2025 13:55:00,1758183900,102.22,102.22,102.20,102.20,102.39,10,0,233025,0
Ok,18-09-2025 13:50:00,1758183600,102.30,102.31,102.25,102.25,102.39,1759,0,233015,0
Ok,18-09-2025 13:45:00,1758183300,102.26,102.39,102.25,102.31,102.39,3122,0,231256,0
Ok,18-09-2025 13:40:00,1758183000,102.11,102.30,102.11,102.26,102.39,1555,0,228134,0
Ok,18-09-2025 13:35:00,1758182700,102.20,102.20,102.20,102.20,102.39,218,0,226579,0
Ok,18-09-2025 13:30:00,1758182400,102.32,102.32,102.20,102.20,101.68,3159,0,226361,0
Ok,18-09-2025 13:25:00,1758182100,102.01,102.16,102.01,102.16,102.40,1082,0,223202,0
Ok,18-09-2025 13:20:00,1758181800,102.00,102.00,102.00,102.00,102.40,113,0,222120,0
Ok,18-09-2025 13:15:00,1758181500,102.00,102.01,102.00,102.00,102.40,1300,0,222007,0
Ok,18-09-2025 13:10:00,1758181200,102.00,102.05,102.00,102.00,102.40,754,0,220707,0
Ok,18-09-2025 13:05:00,1758180900,102.02,102.02,102.00,102.00,102.40,1430,0,219953,0
Ok,18-09-2025 13:00:00,1758180600,102.05,102.05,102.00,102.00,101.94,25431,0,218523,0
Ok,18-09-2025 12:55:00,1758180300,102.10,102.10,102.06,102.06,102.46,860,0,193092,0
Ok,18-09-2025 12:50:00,1758180000,102.13,102.14,102.10,102.10,102.46,1217,0,192232,0
Ok,18-09-2025 12:45:00,1758179700,102.10,102.25,102.10,102.14,102.46,78,0,191015,0
Ok,18-09-2025 12:40:00,1758179400,102.24,102.24,102.10,102.10,102.46,1264,0,190937,0
Ok,18-09-2025 12:35:00,1758179100,102.40,102.40,102.29,102.29,102.46,1350,0,189673,0
Ok,18-09-2025 12:30:00,1758178800,102.29,102.40,102.29,102.31,101.57,2137,0,188323,0
Ok,18-09-2025 12:25:00,1758178500,102.29,102.31,102.29,102.29,102.47,1553,0,186186,0
Ok,18-09-2025 12:20:00,1758178200,102.40,102.40,102.30,102.30,102.47,1799,0,184633,0
Ok,18-09-2025 12:15:00,1758177900,102.38,102.39,102.30,102.39,102.47,2352,0,182834,0
Ok,18-09-2025 12:10:00,1758177600,102.25,102.40,102.25,102.39,102.47,861,0,180482,0
Ok,18-09-2025 12:05:00,1758177300,102.24,102.24,102.24,102.24,102.47,541,0,179621,0
Ok,18-09-2025 12:00:00,1758177000,102.19,102.19,102.19,102.19,102.47,514,0,179080,0
Ok,18-09-2025 11:55:00,1758176700,102.10,102.21,102.00,102.06,101.88,5927,0,178566,0
Ok,18-09-2025 11:50:00,1758176400,102.15,102.40,102.11,102.11,102.49,3532,0,172639,0
Ok,18-09-2025 11:45:00,1758176100,102.15,102.15,102.15,102.15,102.49,114,0,169107,0
Ok,18-09-2025 11:40:00,1758175800,102.34,102.34,102.17,102.17,102.49,159,0,168993,0
Ok,18-09-2025 11:35:00,1758175500,102.36,102.36,102.21,102.35,102.49,602,0,168834,0
Ok,18-09-2025 11:30:00,1758175200,102.44,102.49,102.23,102.25,102.49,1917,0,168232,0
Ok,18-09-2025 11:25:00,1758174900,102.15,102.60,102.15,102.56,102.37,13837,0,166315,0
Ok,18-09-2025 11:20:00,1758174600,102.15,102.22,102.15,102.15,102.50,1937,0,152478,0
Ok,18-09-2025 11:15:00,1758174300,102.32,102.32,102.05,102.15,101.95,5379,0,150541,0
Ok,18-09-2025 11:10:00,1758174000,102.28,102.32,102.20,102.32,102.52,2839,0,145162,0
Ok,18-09-2025 11:05:00,1758173700,102.16,102.35,102.16,102.35,101.98,5100,0,142323,0
Ok,18-09-2025 11:00:00,1758173400,102.55,102.55,102.34,102.34,102.54,1843,0,137223,0
Ok,18-09-2025 10:55:00,1758173100,102.55,102.55,102.45,102.45,102.54,1231,0,135380,0
Ok,18-09-2025 10:50:00,1758172800,102.45,102.55,102.45,102.55,102.54,519,0,134149,0
