stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,18-09-2025 15:10:00,1758188400,128.12,128.13,128.00,128.13,126.92,14288,0,4073635,0
Ok,18-09-2025 15:05:00,1758188100,128.06,128.14,127.96,128.10,128.66,46048,0,4059347,0
Ok,18-09-2025 15:00:00,1758187800,127.83,128.00,127.83,128.00,126.90,23052,0,4013299,0
Ok,18-09-2025 14:55:00,1758187500,128.00,128.00,127.71,127.90,128.17,91135,0,3990247,0
Ok,18-09-2025 14:50:00,1758187200,127.95,128.00,127.90,128.00,127.77,42406,0,3899112,0
Ok,18-09-2025 14:45:00,1758186900,127.98,128.00,127.87,128.00,126.86,6420,0,3856706,0
Ok,18-09-2025 14:40:00,1758186600,127.89,128.00,127.86,127.97,126.86,11501,0,3850286,0
Ok,18-09-2025 14:35:00,1758186300,128.10,128.10,127.52,127.90,127.94,103583,0,3838785,0
Ok,18-09-2025 14:30:00,1758186000,128.05,128.18,127.95,128.15,126.83,18701,0,3735202,0
Ok,18-09-2025 14:25:00,1758185700,127.95,128.05,127.94,127.95,130.53,10005,0,3716501,0
Ok,18-09-2025 14:20:00,1758185400,127.86,127.95,127.79,127.90,126.82,20445,0,3706496,0
Ok,18-09-2025 14:15:00,1758185100,128.17,128.17,127.88,127.94,127.74,77384,0,3686051,0
Ok,18-09-2025 14:10:00,1758184800,128.00,128.19,128.00,128.06,128.15,52243,0,3608667,0
Ok,18-09-2025 14:05:00,1758184500,127.80,128.12,127.75,128.12,128.18,49929,0,3556424,0
Ok,18-09-2025 14:00:00,1758184200,127.66,127.89,127.55,127.78,127.87,61992,0,3506495,0
Ok,18-09-2025 13:55:00,1758183900,127.55,127.66,127.55,127.66,126.74,25632,0,3444503,0
Ok,18-09-2025 13:50:00,1758183600,127.40,127.50,127.40,127.50,126.74,15869,0,3418871,0
Ok,18-09-2025 13:45:00,1758183300,127.50,127.51,127.44,127.48,128.18,23370,0,3403002,0
Ok,18-09-2025 13:40:00,1758183000,127.45,127.55,127.19,127.52,127.14,79065,0,3379632,0
Ok,18-09-2025 13:35:00,1758182700,127.60,127.60,127.50,127.58,127.58,37877,0,3300567,0
Ok,18-09-2025 13:30:00,1758182400,127.30,127.55,127.30,127.54,126.71,13633,0,3262690,0
Ok,18-09-2025 13:25:00,1758182100,127.43,127.43,127.30,127.39,131.22,7179,0,3249057,0
Ok,18-09-2025 13:20:00,1758181800,127.50,127.54,127.30,127.44,126.70,15795,0,3241878,0
Ok,18-09-2025 13:15:00,1758181500,127.40,127.55,127.40,127.54,127.96,25247,0,3226083,0
Ok,18-09-2025 13:10:00,1758181200,127.27,127.50,127.26,127.50,126.69,21297,0,3200836,0
Ok,18-09-2025 13:05:00,1758180900,127.15,127.32,127.10,127.28,126.69,20133,0,3179539,0
Ok,18-09-2025 13:00:00,1758180600,126.99,127.10,126.98,127.10,129.28,12143,0,3159406,0
Ok,18-09-2025 12:55:00,1758180300,126.90,126.98,126.87,126.98,126.68,7016,0,3147263,0
Ok,18-09-2025 12:50:00,1758180000,126.89,126.95,126.79,126.90,126.68,16885,0,3140247,0
Ok,18-09-2025 12:45:00,1758179700,126.98,126.98,126.80,126.89,126.68,10559,0,3123362,0
Ok,18-09-2025 12:40:00,1758179400,126.76,126.99,126.70,126.99,126.68,48973,0,3112803,0
Ok,18-09-2025 12:35:00,1758179100,126.57,126.78,126.45,126.78,126.68,30995,0,3063830,0
Ok,18-09-2025 12:30:00,1758178800,126.52,126.58,126.45,126.46,126.68,12451,0,3032835,0
Ok,18-09-2025 12:25:00,1758178500,126.47,126.50,126.45,126.50,126.68,5024,0,3020384,0
Ok,18-09-2025 12:20:00,1758178200,126.45,126.50,126.45,126.50,126.68,4708,0,3015360,0
Ok,18-09-2025 12:15:00,1758177900,126.48,126.55,126.45,126.50,126.68,12429,0,3010652,0
Ok,18-09-2025 12:10:00,1758177600,126.49,126.51,126.28,126.48,126.22,65316,0,2998223,0
Ok,18-09-2025 12:05:00,1758177300,126.40,126.49,126.39,126.46,126.69,6338,0,2932907,0
Ok,18-09-2025 12:00:00,1758177000,126.25,126.38,126.21,126.38,126.69,19544,0,2926569,0
Ok,18-09-2025 11:55:00,1758176700,126.20,126.27,126.13,126.27,126.69,36313,0,2907025,0
Ok,18-09-2025 11:50:00,1758176400,126.20,126.29,126.14,126.20,125.99,40847,0,2870712,0
Ok,18-09-2025 11:45:00,1758176100,126.10,126.14,125.61,126.14,125.84,157868,0,2829865,0
Ok,18-09-2025 11:40:00,1758175800,126.20,126.30,125.98,126.12,125.92,181223,0,2671997,0
Ok,18-09-2025 11:35:00,1758175500,126.36,126.38,126.18,126.30,126.48,75587,0,2490774,0
Ok,18-09-2025 11:30:00,1758175200,126.40,126.49,126.35,126.38,125.28,15701,0,2415187,0
Ok,18-09-2025 11:25:00,1758174900,126.45,126.54,126.40,126.49,126.83,32322,0,2399486,0
Ok,18-09-2025 11:20:00,1758174600,126.45,126.59,126.45,126.54,125.86,24283,0,2367164,0
Ok,18-09-2025 11:15:00,1758174300,126.53,126.62,126.45,126.55,126.84,28716,0,2342881,0
Ok,18-09-2025 11:10:00,1758174000,126.59,126.66,126.51,126.62,126.84,13858,0,2314165,0
Ok,18-09-2025 11:05:00,1758173700,126.84,126.88,126.60,126.60,126.84,26887,0,2300307,0
Ok,18-09-2025 11:00:00,1758173400,126.92,126.98,126.85,126.85,126.84,90867,0,2273420,0
Ok,18-09-2025 10:55:00,1758173100,126.88,127.00,126.88,126.94,126.84,49020,0,2182553,0
Ok,18-09-2025 10:50:00,1758172800,126.80,126.95,126.72,126.94,126.84,57278,0,2133533,0
Ok,18-09-2025 10:45:00,1758172500,126.68,126.75,126.65,126.75,126.84,17618,0,2076255,0
Ok,18-09-2025 10:40:00,1758172200,126.60,126.61,126.54,126.59,126.84,12106,0,2058637,0
Ok,18-09-2025 10:35:00,1758171900,126.52,126.67,126.50,126.62,126.84,15196,0,2046531,0
Ok,18-09-2025 10:30:00,1758171600,126.36,126.54,126.36,126.54,126.14,28683,0,2031335,0
Ok,18-09-2025 10:25:00,1758171300,126.40,126.47,126.21,126.46,126.36,40423,0,2002652,0
Ok,18-09-2025 10:20:00,1758171000,126.47,126.47,126.35,126.36,126.86,12409,0,1962229,0
Ok,18-09-2025 10:15:00,1758170700,126.39,126.50,126.30,126.47,126.06,24304,0,1949820,0
Ok,18-09-2025 10:10:00,1758170400,126.49,126.55,126.31,126.40,126.52,105914,0,1925516,0
Ok,18-09-2025 10:05:00,1758170100,126.54,126.74,126.50,126.50,126.70,94441,0,1819602,0
Ok,18-09-2025 10:00:00,1758169800,126.83,126.85,126.56,126.58,126.63,122343,0,1725161,0
Ok,18-09-2025 09:55:00,1758169500,127.01,127.01,126.80,126.85,126.92,80268,0,1602818,0
Ok,18-09-2025 09:50:00,1758169200,126.89,127.13,126.88,127.00,127.05,197554,0,1522550,0
Ok,18-09-2025 09:45:00,1758168900,127.17,127.17,126.88,126.90,126.96,298203,0,1324996,0
Ok,18-09-2025 09:40:00,1758168600,126.84,127.48,126.84,127.20,127.22,384690,0,1026793,0
Ok,18-09-2025 09:35:00,1758168300,126.48,126.98,126.45,126.87,126.76,304492,0,642103,0
Ok,18-09-2025 09:30:00,1758168000,126.50,126.50,126.40,126.45,126.44,44317,0,337611,0
Ok,18-09-2025 09:25:00,1758167700,126.39,126.60,126.38,126.49,126.40,59973,0,293294,0
Ok,18-09-2025 09:20:00,1758167400,126.43,126.50,126.39,126.40,126.42,27450,0,233321,0
Ok,18-09-2025 09:15:00,1758167100,126.80,127.11,126.42,126.44,126.67,205871,0,205871,0
