stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,18-09-2025 15:10:00,1758188400,368.15,368.15,367.90,368.00,370.16,1771,0,223438,0
Ok,18-09-2025 15:05:00,1758188100,368.30,368.50,368.00,368.00,368.54,2035,0,221667,0
Ok,18-09-2025 15:00:00,1758187800,368.10,368.50,367.95,368.00,368.31,770,0,219632,0
Ok,18-09-2025 14:55:00,1758187500,367.80,368.60,367.10,368.10,367.32,7275,0,218862,0
Ok,18-09-2025 14:50:00,1758187200,368.25,369.05,368.10,368.25,368.22,3119,0,211587,0
Ok,18-09-2025 14:45:00,1758186900,369.10,369.30,367.50,368.10,367.95,3537,0,208468,0
Ok,18-09-2025 14:40:00,1758186600,370.15,370.40,368.80,368.80,369.67,2549,0,204931,0
Ok,18-09-2025 14:35:00,1758186300,369.50,370.70,369.25,370.55,369.97,3514,0,202382,0
Ok,18-09-2025 14:30:00,1758186000,369.15,369.45,368.90,369.45,368.36,319,0,198868,0
Ok,18-09-2025 14:25:00,1758185700,369.00,369.30,369.00,369.00,370.07,438,0,198549,0
Ok,18-09-2025 14:20:00,1758185400,370.50,370.50,369.00,369.00,369.83,2863,0,198111,0
Ok,18-09-2025 14:15:00,1758185100,370.80,370.80,370.50,370.50,374.68,193,0,195248,0
Ok,18-09-2025 14:10:00,1758184800,370.50,370.65,370.15,370.50,361.96,764,0,195055,0
Ok,18-09-2025 14:05:00,1758184500,369.60,370.50,369.60,370.50,373.61,1722,0,194291,0
Ok,18-09-2025 14:00:00,1758184200,369.95,369.95,369.90,369.90,374.74,116,0,192569,0
Ok,18-09-2025 13:55:00,1758183900,369.90,369.90,369.55,369.55,360.27,133,0,192453,0
Ok,18-09-2025 13:50:00,1758183600,370.25,370.55,369.90,369.90,370.26,1280,0,192320,0
Ok,18-09-2025 13:45:00,1758183300,369.35,370.25,368.60,370.25,369.55,10049,0,191040,0
Ok,18-09-2025 13:40:00,1758183000,371.95,371.95,371.35,371.35,370.91,435,0,180991,0
Ok,18-09-2025 13:35:00,1758182700,371.35,371.95,371.35,371.95,375.08,82,0,180556,0
Ok,18-09-2025 13:30:00,1758182400,371.85,371.85,371.35,371.70,375.08,51,0,180474,0
Ok,18-09-2025 13:25:00,1758182100,371.95,372.00,371.75,371.75,371.84,558,0,180423,0
Ok,18-09-2025 13:20:00,1758181800,371.85,371.95,371.85,371.95,372.63,729,0,179865,0
Ok,18-09-2025 13:15:00,1758181500,371.45,371.90,371.45,371.85,371.39,483,0,179136,0
Ok,18-09-2025 13:10:00,1758181200,371.70,372.50,371.70,372.00,371.65,1538,0,178653,0
Ok,18-09-2025 13:05:00,1758180900,372.05,372.50,371.80,372.50,375.14,377,0,177115,0
Ok,18-09-2025 13:00:00,1758180600,373.70,373.70,372.50,372.50,372.89,4610,0,176738,0
Ok,18-09-2025 12:55:00,1758180300,373.75,373.75,373.50,373.50,375.20,796,0,172128,0
Ok,18-09-2025 12:50:00,1758180000,373.85,373.85,373.60,373.85,375.20,420,0,171332,0
Ok,18-09-2025 12:45:00,1758179700,373.85,374.20,373.80,374.20,375.20,386,0,170912,0
Ok,18-09-2025 12:40:00,1758179400,374.00,374.75,373.50,374.00,374.14,7736,0,170526,0
Ok,18-09-2025 12:35:00,1758179100,374.30,374.30,374.05,374.15,374.18,1520,0,162790,0
Ok,18-09-2025 12:30:00,1758178800,375.00,375.00,374.40,374.75,374.75,3185,0,161270,0
Ok,18-09-2025 12:25:00,1758178500,374.30,374.80,374.30,374.65,375.27,705,0,158085,0
Ok,18-09-2025 12:20:00,1758178200,374.85,374.85,374.60,374.80,374.45,5618,0,157380,0
Ok,18-09-2025 12:15:00,1758177900,374.50,374.85,374.50,374.85,372.22,492,0,151762,0
Ok,18-09-2025 12:10:00,1758177600,374.20,374.40,374.10,374.30,375.31,202,0,151270,0
Ok,18-09-2025 12:05:00,1758177300,374.30,374.30,374.25,374.25,375.31,315,0,151068,0
Ok,18-09-2025 12:00:00,1758177000,374.50,374.50,374.25,374.50,374.47,1795,0,150753,0
Ok,18-09-2025 11:55:00,1758176700,374.85,374.90,374.55,374.85,375.32,198,0,148958,0
