stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,18-09-2025 15:10:00,1758188400,285.71,285.99,285.69,285.87,285.12,2412,0,553297,0
Ok,18-09-2025 15:05:00,1758188100,285.90,285.95,285.69,285.69,286.80,3252,0,550885,0
Ok,18-09-2025 15:00:00,1758187800,285.83,286.00,285.69,285.69,285.11,5278,0,547633,0
Ok,18-09-2025 14:55:00,1758187500,285.76,286.39,285.40,286.00,285.86,7084,0,542355,0
Ok,18-09-2025 14:50:00,1758187200,285.77,285.99,285.33,285.50,287.88,1913,0,535271,0
Ok,18-09-2025 14:45:00,1758186900,285.33,286.39,285.33,285.95,285.59,10241,0,533358,0
Ok,18-09-2025 14:40:00,1758186600,285.81,286.38,285.01,285.59,285.90,18242,0,523117,0
Ok,18-09-2025 14:35:00,1758186300,286.16,286.16,285.51,285.59,285.80,6596,0,504875,0
Ok,18-09-2025 14:30:00,1758186000,286.05,286.84,285.64,286.17,286.19,12560,0,498279,0
Ok,18-09-2025 14:25:00,1758185700,285.11,286.15,285.05,286.15,285.01,5810,0,485719,0
Ok,18-09-2025 14:20:00,1758185400,285.35,285.77,285.07,285.42,285.45,10408,0,479909,0
Ok,18-09-2025 14:15:00,1758185100,284.54,286.55,284.39,285.49,286.33,49904,0,469501,0
Ok,18-09-2025 14:10:00,1758184800,284.55,284.55,284.39,284.40,284.84,2590,0,419597,0
Ok,18-09-2025 14:05:00,1758184500,284.58,284.87,284.40,284.41,284.84,2565,0,417007,0
Ok,18-09-2025 14:00:00,1758184200,284.78,284.78,284.58,284.58,284.84,631,0,414442,0
Ok,18-09-2025 13:55:00,1758183900,284.94,285.00,284.43,284.43,284.84,2682,0,413811,0
Ok,18-09-2025 13:50:00,1758183600,284.20,284.69,284.00,284.69,284.08,5375,0,411129,0
Ok,18-09-2025 13:45:00,1758183300,284.20,284.36,284.15,284.15,284.23,6531,0,405754,0
Ok,18-09-2025 13:40:00,1758183000,284.50,284.79,284.35,284.36,284.30,7126,0,399223,0
Ok,18-09-2025 13:35:00,1758182700,284.54,284.77,284.54,284.54,284.87,259,0,392097,0
Ok,18-09-2025 13:30:00,1758182400,284.60,284.90,284.54,284.54,284.87,3160,0,391838,0
Ok,18-09-2025 13:25:00,1758182100,284.99,284.99,284.54,284.55,284.87,836,0,388678,0
Ok,18-09-2025 13:20:00,1758181800,285.39,285.39,284.72,284.72,284.87,1522,0,387842,0
Ok,18-09-2025 13:15:00,1758181500,284.55,284.91,284.55,284.91,284.87,723,0,386320,0
Ok,18-09-2025 13:10:00,1758181200,284.55,284.79,284.55,284.56,284.87,727,0,385597,0
Ok,18-09-2025 13:05:00,1758180900,284.55,284.85,284.55,284.56,284.87,1498,0,384870,0
Ok,18-09-2025 13:00:00,1758180600,285.13,285.18,284.55,284.81,284.87,6807,0,383372,0
Ok,18-09-2025 12:55:00,1758180300,285.26,285.53,284.81,285.42,284.87,4950,0,376565,0
Ok,18-09-2025 12:50:00,1758180000,284.53,285.78,284.53,285.32,285.51,5622,0,371615,0
Ok,18-09-2025 12:45:00,1758179700,284.62,284.62,284.53,284.53,284.86,1426,0,365993,0
Ok,18-09-2025 12:40:00,1758179400,284.98,285.32,284.50,284.50,284.86,5604,0,364567,0
Ok,18-09-2025 12:35:00,1758179100,285.02,285.20,284.79,284.98,284.86,5077,0,358963,0
Ok,18-09-2025 12:30:00,1758178800,285.05,285.30,285.00,285.00,284.86,3558,0,353886,0
Ok,18-09-2025 12:25:00,1758178500,285.14,285.31,284.91,285.09,284.86,3955,0,350328,0
Ok,18-09-2025 12:20:00,1758178200,284.88,285.01,284.56,285.01,284.86,7536,0,346373,0
Ok,18-09-2025 12:15:00,1758177900,285.00,285.12,284.85,285.00,284.86,2537,0,338837,0
Ok,18-09-2025 12:10:00,1758177600,285.14,285.14,284.91,284.92,284.86,2972,0,336300,0
Ok,18-09-2025 12:05:00,1758177300,285.15,285.45,285.15,285.45,287.13,1460,0,333328,0
Ok,18-09-2025 12:00:00,1758177000,284.99,285.25,284.95,285.13,284.85,2512,0,331868,0
Ok,18-09-2025 11:55:00,1758176700,284.91,285.25,284.79,284.84,284.85,4018,0,329356,0
Ok,18-09-2025 11:50:00,1758176400,284.70,285.14,284.70,285.12,284.85,3804,0,325338,0
Ok,18-09-2025 11:45:00,1758176100,284.56,284.92,284.56,284.56,284.85,2702,0,321534,0
