stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,246.51,246.97,245.20,245.20,246.46,6022,0,76999,0
Ok,19-09-2025 15:20:00,1758275400,246.66,247.10,246.60,246.60,246.76,3139,0,70977,0
Ok,19-09-2025 15:15:00,1758275100,246.91,247.20,246.60,246.65,245.94,810,0,67838,0
Ok,19-09-2025 15:10:00,1758274800,247.12,247.22,246.90,247.22,249.30,247,0,67028,0
Ok,19-09-2025 15:05:00,1758274500,246.51,247.36,246.50,247.09,246.76,1292,0,66781,0
Ok,19-09-2025 15:00:00,1758274200,247.00,247.00,246.53,246.53,247.62,378,0,65489,0
Ok,19-09-2025 14:55:00,1758273900,247.17,247.59,246.78,247.00,246.34,1064,0,65111,0
Ok,19-09-2025 14:50:00,1758273600,246.51,247.48,246.51,247.35,249.41,50,0,64047,0
Ok,19-09-2025 14:45:00,1758273300,246.21,247.57,246.21,246.51,248.00,456,0,63997,0
Ok,19-09-2025 14:40:00,1758273000,247.28,247.31,246.21,246.21,246.26,599,0,63541,0
Ok,19-09-2025 14:35:00,1758272700,247.20,247.51,246.59,247.39,248.11,471,0,62942,0
Ok,19-09-2025 14:30:00,1758272400,247.48,247.48,246.02,247.45,246.57,1066,0,62471,0
Ok,19-09-2025 14:25:00,1758272100,247.17,247.95,247.00,247.00,246.86,918,0,61405,0
Ok,19-09-2025 14:20:00,1758271800,247.15,248.24,247.15,247.45,249.55,101,0,60487,0
Ok,19-09-2025 14:15:00,1758271500,247.61,247.61,247.03,247.15,247.39,1103,0,60386,0
Ok,19-09-2025 14:10:00,1758271200,247.72,248.45,247.61,247.61,247.14,242,0,59283,0
Ok,19-09-2025 14:05:00,1758270900,248.50,248.50,247.72,247.72,249.60,59,0,59041,0
Ok,19-09-2025 14:00:00,1758270600,248.50,248.50,248.50,248.50,0.00,0,0,58982,0
Ok,19-09-2025 13:55:00,1758270300,247.92,248.50,247.84,248.50,249.60,79,0,58982,0
Ok,19-09-2025 13:50:00,1758270000,247.89,248.15,247.89,248.15,249.60,65,0,58903,0
Ok,19-09-2025 13:45:00,1758269700,248.57,248.57,248.57,248.57,247.08,234,0,58838,0
Ok,19-09-2025 13:40:00,1758269400,248.26,248.57,247.83,248.57,249.61,44,0,58604,0
Ok,19-09-2025 13:35:00,1758269100,248.94,248.94,247.83,248.23,248.51,533,0,58560,0
Ok,19-09-2025 13:30:00,1758268800,248.59,248.94,248.11,248.94,247.75,615,0,58027,0
Ok,19-09-2025 13:25:00,1758268500,247.51,248.23,247.51,248.00,249.64,265,0,57412,0
Ok,19-09-2025 13:20:00,1758268200,247.51,247.51,247.51,247.51,249.64,1,0,57147,0
Ok,19-09-2025 13:15:00,1758267900,247.51,247.51,247.51,247.51,249.64,25,0,57146,0
Ok,19-09-2025 13:10:00,1758267600,247.51,247.84,247.51,247.51,249.64,18,0,57121,0
Ok,19-09-2025 13:05:00,1758267300,247.88,247.88,247.51,247.51,246.70,388,0,57103,0
Ok,19-09-2025 13:00:00,1758267000,247.88,247.88,247.88,247.88,0.00,0,0,56715,0
Ok,19-09-2025 12:55:00,1758266700,247.88,247.88,247.88,247.88,0.00,0,0,56715,0
Ok,19-09-2025 12:50:00,1758266400,247.50,247.88,247.50,247.88,249.66,57,0,56715,0
Ok,19-09-2025 12:45:00,1758266100,247.50,247.50,247.50,247.50,249.66,40,0,56658,0
Ok,19-09-2025 12:40:00,1758265800,247.80,247.80,247.50,247.50,249.66,98,0,56618,0
Ok,19-09-2025 12:35:00,1758265500,247.81,248.14,247.79,247.79,245.60,139,0,56520,0
Ok,19-09-2025 12:30:00,1758265200,248.30,248.30,247.50,247.50,247.51,519,0,56381,0
Ok,19-09-2025 12:25:00,1758264900,248.23,248.30,248.23,248.30,249.69,151,0,55862,0
Ok,19-09-2025 12:20:00,1758264600,248.25,248.25,248.18,248.18,249.69,30,0,55711,0
Ok,19-09-2025 12:15:00,1758264300,247.85,247.85,247.85,247.85,247.23,672,0,55681,0
Ok,19-09-2025 12:10:00,1758264000,248.15,248.47,247.81,247.81,249.72,81,0,55009,0
Ok,19-09-2025 12:05:00,1758263700,248.51,248.51,247.61,247.95,248.11,680,0,54928,0
Ok,19-09-2025 12:00:00,1758263400,248.29,248.29,248.20,248.20,249.74,100,0,54248,0
Ok,19-09-2025 11:55:00,1758263100,248.29,248.29,248.29,248.29,0.00,0,0,54148,0
Ok,19-09-2025 11:50:00,1758262800,248.31,248.56,248.29,248.29,232.82,32,0,54148,0
Ok,19-09-2025 11:45:00,1758262500,247.76,248.32,247.76,248.31,249.75,141,0,54116,0
Ok,19-09-2025 11:40:00,1758262200,247.68,248.00,247.68,247.76,249.75,93,0,53975,0
Ok,19-09-2025 11:35:00,1758261900,247.62,248.25,247.60,247.84,247.86,1931,0,53882,0
Ok,19-09-2025 11:30:00,1758261600,248.83,248.83,248.83,248.83,249.82,58,0,51951,0
Ok,19-09-2025 11:25:00,1758261300,248.55,248.83,248.55,248.83,247.62,236,0,51893,0
Ok,19-09-2025 11:20:00,1758261000,248.84,248.84,248.55,248.55,249.83,124,0,51657,0
Ok,19-09-2025 11:15:00,1758260700,248.84,248.84,248.84,248.84,249.83,5,0,51533,0
Ok,19-09-2025 11:10:00,1758260400,248.55,248.84,248.55,248.84,249.83,35,0,51528,0
Ok,19-09-2025 11:05:00,1758260100,247.99,248.55,247.22,248.55,247.65,1386,0,51493,0
Ok,19-09-2025 11:00:00,1758259800,247.75,247.99,247.75,247.99,246.64,154,0,50107,0
Ok,19-09-2025 10:55:00,1758259500,248.14,248.92,247.75,247.75,248.25,1765,0,49953,0
Ok,19-09-2025 10:50:00,1758259200,248.24,248.24,248.14,248.14,249.96,118,0,48188,0
Ok,19-09-2025 10:45:00,1758258900,248.81,248.81,248.25,248.27,248.42,1516,0,48070,0
Ok,19-09-2025 10:40:00,1758258600,248.37,248.81,248.29,248.81,248.75,1094,0,46554,0
Ok,19-09-2025 10:35:00,1758258300,248.52,249.09,248.52,249.09,250.04,75,0,45460,0
Ok,19-09-2025 10:30:00,1758258000,248.81,249.13,248.52,248.52,247.05,302,0,45385,0
Ok,19-09-2025 10:25:00,1758257700,249.21,249.21,248.81,248.81,250.06,198,0,45083,0
Ok,19-09-2025 10:20:00,1758257400,249.28,249.58,249.19,249.21,250.06,184,0,44885,0
Ok,19-09-2025 10:15:00,1758257100,248.81,249.75,248.81,249.28,248.61,611,0,44701,0
Ok,19-09-2025 10:10:00,1758256800,248.92,249.27,248.81,248.81,250.08,118,0,44090,0
Ok,19-09-2025 10:05:00,1758256500,248.82,249.02,248.29,248.92,249.31,567,0,43972,0
Ok,19-09-2025 10:00:00,1758256200,248.32,248.50,248.28,248.50,248.51,274,0,43405,0
Ok,19-09-2025 09:55:00,1758255900,249.71,250.02,248.22,248.53,248.77,1872,0,43131,0
Ok,19-09-2025 09:50:00,1758255600,250.25,251.80,249.30,249.59,250.43,25204,0,41259,0
Ok,19-09-2025 09:45:00,1758255300,249.50,250.60,249.50,250.37,250.42,3647,0,16055,0
Ok,19-09-2025 09:40:00,1758255000,248.85,248.85,248.73,248.75,248.81,176,0,12408,0
Ok,19-09-2025 09:35:00,1758254700,248.95,249.39,248.64,249.07,248.98,857,0,12232,0
Ok,19-09-2025 09:30:00,1758254400,250.51,250.75,249.00,249.00,249.73,2487,0,11375,0
Ok,19-09-2025 09:25:00,1758254100,248.15,250.95,248.15,250.71,249.79,3599,0,8888,0
Ok,19-09-2025 09:20:00,1758253800,248.52,249.19,248.13,248.28,248.59,589,0,5289,0
Ok,19-09-2025 09:15:00,1758253500,249.54,250.48,248.71,249.09,249.39,4700,0,4700,0
