stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,181.40,181.79,180.90,181.79,181.67,2742,0,178139,0
Ok,19-09-2025 15:20:00,1758275400,182.00,182.00,180.50,181.50,180.88,4737,0,175397,0
Ok,19-09-2025 15:15:00,1758275100,181.48,181.48,180.50,180.89,181.07,7606,0,170660,0
Ok,19-09-2025 15:10:00,1758274800,181.76,181.76,181.40,181.40,180.89,2105,0,163054,0
Ok,19-09-2025 15:05:00,1758274500,181.66,182.10,181.66,182.10,182.45,271,0,160949,0
Ok,19-09-2025 15:00:00,1758274200,181.80,182.12,181.46,182.12,182.45,1535,0,160678,0
Ok,19-09-2025 14:55:00,1758273900,181.45,182.20,181.45,181.82,182.45,515,0,159143,0
Ok,19-09-2025 14:50:00,1758273600,181.07,181.83,181.07,181.45,181.65,1972,0,158628,0
Ok,19-09-2025 14:45:00,1758273300,181.85,181.85,181.07,181.07,177.16,590,0,156656,0
Ok,19-09-2025 14:40:00,1758273000,181.10,181.85,181.07,181.85,182.48,1526,0,156066,0
Ok,19-09-2025 14:35:00,1758272700,181.00,181.60,180.95,181.07,181.25,2489,0,154540,0
Ok,19-09-2025 14:30:00,1758272400,181.60,181.60,181.14,181.14,182.50,243,0,152051,0
Ok,19-09-2025 14:25:00,1758272100,181.99,181.99,181.51,181.60,182.50,262,0,151808,0
Ok,19-09-2025 14:20:00,1758271800,181.99,181.99,181.99,181.99,0.00,0,0,151546,0
Ok,19-09-2025 14:15:00,1758271500,181.79,181.99,181.63,181.99,182.50,494,0,151546,0
Ok,19-09-2025 14:10:00,1758271200,182.23,182.23,181.47,181.50,181.46,4252,0,151052,0
Ok,19-09-2025 14:05:00,1758270900,181.98,182.28,181.65,181.65,182.53,350,0,146800,0
Ok,19-09-2025 14:00:00,1758270600,181.98,181.98,181.69,181.98,182.53,348,0,146450,0
Ok,19-09-2025 13:55:00,1758270300,182.35,182.36,181.60,181.60,180.68,792,0,146102,0
Ok,19-09-2025 13:50:00,1758270000,182.09,182.09,182.09,182.09,0.00,0,0,145310,0
Ok,19-09-2025 13:45:00,1758269700,182.58,182.58,182.04,182.09,182.54,219,0,145310,0
Ok,19-09-2025 13:40:00,1758269400,182.00,182.54,182.00,182.54,182.54,200,0,145091,0
Ok,19-09-2025 13:35:00,1758269100,182.58,182.58,181.96,182.00,182.54,1875,0,144891,0
Ok,19-09-2025 13:30:00,1758268800,182.16,182.31,181.81,182.31,182.54,299,0,143016,0
Ok,19-09-2025 13:25:00,1758268500,182.04,182.36,182.04,182.16,182.54,658,0,142717,0
Ok,19-09-2025 13:20:00,1758268200,182.42,182.42,182.38,182.38,182.54,468,0,142059,0
Ok,19-09-2025 13:15:00,1758267900,182.00,182.27,182.00,182.26,182.54,254,0,141591,0
Ok,19-09-2025 13:10:00,1758267600,181.80,182.09,181.80,182.00,182.54,108,0,141337,0
Ok,19-09-2025 13:05:00,1758267300,182.15,182.15,181.87,181.87,181.23,1073,0,141229,0
Ok,19-09-2025 13:00:00,1758267000,182.05,182.19,181.88,182.19,181.46,1282,0,140156,0
Ok,19-09-2025 12:55:00,1758266700,181.46,181.55,181.40,181.55,182.56,261,0,138874,0
Ok,19-09-2025 12:50:00,1758266400,181.40,181.54,181.15,181.47,181.38,2340,0,138613,0
Ok,19-09-2025 12:45:00,1758266100,181.76,181.98,181.58,181.58,182.58,251,0,136273,0
Ok,19-09-2025 12:40:00,1758265800,181.29,181.76,181.29,181.76,180.74,737,0,136022,0
Ok,19-09-2025 12:35:00,1758265500,181.47,181.70,181.28,181.31,181.86,3670,0,135285,0
Ok,19-09-2025 12:30:00,1758265200,181.58,181.74,181.50,181.50,182.61,425,0,131615,0
Ok,19-09-2025 12:25:00,1758264900,181.58,181.58,181.58,181.58,0.00,0,0,131190,0
Ok,19-09-2025 12:20:00,1758264600,181.86,181.86,181.58,181.58,0.00,0,0,131190,0
Ok,19-09-2025 12:15:00,1758264300,181.55,181.86,181.55,181.86,181.36,1051,0,131190,0
Ok,19-09-2025 12:10:00,1758264000,181.57,181.57,181.57,181.57,182.62,10,0,130139,0
Ok,19-09-2025 12:05:00,1758263700,181.96,182.00,181.51,181.88,182.62,736,0,130129,0
Ok,19-09-2025 12:00:00,1758263400,182.00,182.00,181.99,181.99,182.62,319,0,129393,0
Ok,19-09-2025 11:55:00,1758263100,181.99,182.00,181.99,182.00,180.78,702,0,129074,0
Ok,19-09-2025 11:50:00,1758262800,181.62,181.95,181.39,181.95,181.83,1599,0,128372,0
Ok,19-09-2025 11:45:00,1758262500,181.67,181.72,181.31,181.62,181.60,1210,0,126773,0
Ok,19-09-2025 11:40:00,1758262200,182.00,182.00,181.20,181.62,181.74,1373,0,125563,0
Ok,19-09-2025 11:35:00,1758261900,181.58,182.00,181.58,181.94,182.66,606,0,124190,0
Ok,19-09-2025 11:30:00,1758261600,181.01,181.32,181.01,181.32,180.89,2747,0,123584,0
Ok,19-09-2025 11:25:00,1758261300,181.20,181.30,180.68,181.30,180.99,4114,0,120837,0
Ok,19-09-2025 11:20:00,1758261000,182.11,182.11,181.15,181.15,181.61,2986,0,116723,0
Ok,19-09-2025 11:15:00,1758260700,182.38,182.38,182.08,182.08,182.79,43,0,113737,0
Ok,19-09-2025 11:10:00,1758260400,182.56,182.56,182.04,182.06,182.20,3802,0,113694,0
Ok,19-09-2025 11:05:00,1758260100,182.51,182.88,182.51,182.56,182.81,645,0,109892,0
Ok,19-09-2025 11:00:00,1758259800,182.08,182.81,182.08,182.81,182.81,646,0,109247,0
Ok,19-09-2025 10:55:00,1758259500,183.09,183.09,182.03,182.03,182.52,3722,0,108601,0
Ok,19-09-2025 10:50:00,1758259200,183.29,183.29,182.44,183.09,182.82,5318,0,104879,0
Ok,19-09-2025 10:45:00,1758258900,184.58,184.58,183.07,183.07,183.88,2726,0,99561,0
Ok,19-09-2025 10:40:00,1758258600,183.80,184.45,183.64,184.45,183.89,5773,0,96835,0
Ok,19-09-2025 10:35:00,1758258300,184.96,184.96,183.51,183.52,184.17,4722,0,91062,0
Ok,19-09-2025 10:30:00,1758258000,184.36,185.50,184.14,185.11,184.93,25048,0,86340,0
Ok,19-09-2025 10:25:00,1758257700,183.00,184.39,183.00,184.34,183.61,3317,0,61292,0
Ok,19-09-2025 10:20:00,1758257400,182.50,183.62,182.50,183.36,183.11,5175,0,57975,0
Ok,19-09-2025 10:15:00,1758257100,183.15,183.63,182.32,182.64,182.93,10230,0,52800,0
Ok,19-09-2025 10:10:00,1758256800,182.00,183.54,181.80,183.54,182.74,12970,0,42570,0
Ok,19-09-2025 10:05:00,1758256500,181.49,183.00,181.49,182.32,182.17,5952,0,29600,0
Ok,19-09-2025 10:00:00,1758256200,181.20,181.37,181.19,181.30,181.10,1798,0,23648,0
Ok,19-09-2025 09:55:00,1758255900,180.94,180.95,180.48,180.95,180.66,1398,0,21850,0
Ok,19-09-2025 09:50:00,1758255600,180.61,181.47,180.59,180.64,180.92,4496,0,20452,0
Ok,19-09-2025 09:45:00,1758255300,180.20,181.26,180.12,180.95,180.51,5647,0,15956,0
Ok,19-09-2025 09:40:00,1758255000,179.75,179.77,179.34,179.76,179.70,1252,0,10309,0
Ok,19-09-2025 09:35:00,1758254700,178.90,179.74,178.90,179.74,179.18,2130,0,9057,0
Ok,19-09-2025 09:30:00,1758254400,179.15,179.32,178.90,178.90,179.18,1617,0,6927,0
Ok,19-09-2025 09:25:00,1758254100,178.97,178.97,178.80,178.80,178.25,47,0,5310,0
Ok,19-09-2025 09:20:00,1758253800,178.09,178.97,178.00,178.97,178.33,1356,0,5263,0
Ok,19-09-2025 09:15:00,1758253500,178.62,178.62,178.10,178.11,178.21,3907,0,3907,0
