stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,138.68,138.68,138.55,138.68,138.66,5022,0,214999,0
Ok,19-09-2025 15:20:00,1758275400,138.66,138.69,138.50,138.52,138.66,3134,0,209977,0
Ok,19-09-2025 15:15:00,1758275100,138.60,138.70,138.51,138.69,138.66,6982,0,206843,0
Ok,19-09-2025 15:10:00,1758274800,138.50,138.58,138.40,138.58,138.66,1228,0,199861,0
Ok,19-09-2025 15:05:00,1758274500,138.59,138.60,138.25,138.36,138.66,1754,0,198633,0
Ok,19-09-2025 15:00:00,1758274200,138.95,138.95,138.60,138.60,138.66,717,0,196879,0
Ok,19-09-2025 14:55:00,1758273900,139.00,139.00,138.58,138.99,138.66,404,0,196162,0
Ok,19-09-2025 14:50:00,1758273600,138.98,139.00,138.56,138.60,138.66,806,0,195758,0
Ok,19-09-2025 14:45:00,1758273300,138.90,139.00,138.75,138.98,138.66,617,0,194952,0
Ok,19-09-2025 14:40:00,1758273000,138.82,138.89,138.82,138.89,139.14,3938,0,194335,0
Ok,19-09-2025 14:35:00,1758272700,138.82,138.82,138.78,138.82,138.65,1160,0,190397,0
Ok,19-09-2025 14:30:00,1758272400,138.82,138.82,138.79,138.82,138.65,810,0,189237,0
Ok,19-09-2025 14:25:00,1758272100,138.77,138.82,138.77,138.82,138.65,547,0,188427,0
Ok,19-09-2025 14:20:00,1758271800,138.82,138.82,138.80,138.82,138.65,338,0,187880,0
Ok,19-09-2025 14:15:00,1758271500,138.89,138.89,138.82,138.82,138.65,29,0,187542,0
Ok,19-09-2025 14:10:00,1758271200,138.78,138.89,138.78,138.89,138.65,1508,0,187513,0
Ok,19-09-2025 14:05:00,1758270900,138.88,138.88,138.77,138.77,138.65,390,0,186005,0
Ok,19-09-2025 14:00:00,1758270600,138.85,138.90,138.85,138.88,138.65,252,0,185615,0
Ok,19-09-2025 13:55:00,1758270300,138.71,138.84,138.71,138.84,138.65,467,0,185363,0
Ok,19-09-2025 13:50:00,1758270000,138.78,138.84,138.70,138.84,138.65,1015,0,184896,0
Ok,19-09-2025 13:45:00,1758269700,138.74,138.74,138.73,138.74,138.65,166,0,183881,0
Ok,19-09-2025 13:40:00,1758269400,138.72,138.75,138.72,138.75,138.65,133,0,183715,0
Ok,19-09-2025 13:35:00,1758269100,138.75,138.76,138.72,138.72,138.65,403,0,183582,0
Ok,19-09-2025 13:30:00,1758268800,138.74,138.75,138.66,138.66,138.65,2932,0,183179,0
Ok,19-09-2025 13:25:00,1758268500,138.75,138.75,138.70,138.70,138.65,1358,0,180247,0
Ok,19-09-2025 13:20:00,1758268200,138.75,138.75,138.75,138.75,138.65,251,0,178889,0
Ok,19-09-2025 13:15:00,1758267900,138.75,138.75,138.75,138.75,138.65,75,0,178638,0
Ok,19-09-2025 13:10:00,1758267600,138.75,138.75,138.74,138.75,138.65,245,0,178563,0
Ok,19-09-2025 13:05:00,1758267300,138.75,138.75,138.74,138.75,138.65,178,0,178318,0
Ok,19-09-2025 13:00:00,1758267000,138.72,138.72,138.58,138.61,138.65,610,0,178140,0
Ok,19-09-2025 12:55:00,1758266700,138.53,138.71,138.53,138.56,138.65,359,0,177530,0
Ok,19-09-2025 12:50:00,1758266400,138.60,138.72,138.50,138.60,138.65,609,0,177171,0
Ok,19-09-2025 12:45:00,1758266100,138.69,138.73,138.53,138.67,138.65,608,0,176562,0
Ok,19-09-2025 12:40:00,1758265800,138.71,138.71,138.53,138.69,138.65,1042,0,175954,0
Ok,19-09-2025 12:35:00,1758265500,138.64,138.68,138.55,138.68,138.65,1022,0,174912,0
Ok,19-09-2025 12:30:00,1758265200,138.61,138.64,138.56,138.64,138.65,243,0,173890,0
Ok,19-09-2025 12:25:00,1758264900,138.58,138.61,138.54,138.61,138.65,2464,0,173647,0
Ok,19-09-2025 12:20:00,1758264600,138.59,138.73,138.57,138.61,138.65,5568,0,171183,0
Ok,19-09-2025 12:15:00,1758264300,138.51,138.59,138.50,138.59,138.65,603,0,165615,0
Ok,19-09-2025 12:10:00,1758264000,138.58,138.71,138.58,138.61,138.65,2085,0,165012,0
Ok,19-09-2025 12:05:00,1758263700,138.55,138.58,138.55,138.58,138.65,677,0,162927,0
Ok,19-09-2025 12:00:00,1758263400,138.56,138.64,138.50,138.50,137.81,1932,0,162250,0
