stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,100.24,100.30,99.94,100.20,99.90,32067,0,1236349,0
Ok,19-09-2025 15:20:00,1758275400,100.28,100.32,100.00,100.12,100.29,33952,0,1204282,0
Ok,19-09-2025 15:15:00,1758275100,100.24,100.38,100.15,100.35,100.29,40684,0,1170330,0
Ok,19-09-2025 15:10:00,1758274800,100.24,100.36,100.15,100.36,100.29,19785,0,1129646,0
Ok,19-09-2025 15:05:00,1758274500,100.25,100.30,100.13,100.20,99.99,36412,0,1109861,0
Ok,19-09-2025 15:00:00,1758274200,99.80,100.30,99.80,100.30,100.13,62690,0,1073449,0
Ok,19-09-2025 14:55:00,1758273900,99.74,99.76,99.65,99.76,99.55,13286,0,1010759,0
Ok,19-09-2025 14:50:00,1758273600,99.75,99.75,99.66,99.74,99.70,15901,0,997473,0
Ok,19-09-2025 14:45:00,1758273300,99.89,99.89,99.67,99.70,100.01,30607,0,981572,0
Ok,19-09-2025 14:40:00,1758273000,99.81,99.92,99.81,99.81,97.42,3257,0,950965,0
Ok,19-09-2025 14:35:00,1758272700,99.92,99.99,99.80,99.80,100.35,6809,0,947708,0
Ok,19-09-2025 14:30:00,1758272400,99.85,99.99,99.79,99.99,99.62,37394,0,940899,0
Ok,19-09-2025 14:25:00,1758272100,99.90,99.90,99.77,99.85,100.38,6480,0,903505,0
Ok,19-09-2025 14:20:00,1758271800,99.85,99.88,99.75,99.87,100.38,11139,0,897025,0
Ok,19-09-2025 14:15:00,1758271500,99.94,99.94,99.88,99.91,100.38,2572,0,885886,0
Ok,19-09-2025 14:10:00,1758271200,99.98,100.00,99.75,99.95,99.66,12221,0,883314,0
Ok,19-09-2025 14:05:00,1758270900,99.89,100.00,99.80,99.90,99.92,18553,0,871093,0
Ok,19-09-2025 14:00:00,1758270600,99.95,100.00,99.86,99.99,100.40,5060,0,852540,0
Ok,19-09-2025 13:55:00,1758270300,100.09,100.19,99.75,99.85,100.01,61542,0,847480,0
Ok,19-09-2025 13:50:00,1758270000,100.10,100.16,100.01,100.02,100.07,21463,0,785938,0
Ok,19-09-2025 13:45:00,1758269700,100.21,100.22,100.10,100.16,100.44,4623,0,764475,0
Ok,19-09-2025 13:40:00,1758269400,100.12,100.18,100.12,100.18,94.43,1264,0,759852,0
Ok,19-09-2025 13:35:00,1758269100,100.16,100.20,100.01,100.12,100.18,27534,0,758588,0
Ok,19-09-2025 13:30:00,1758268800,100.28,100.28,100.01,100.13,100.46,9393,0,731054,0
Ok,19-09-2025 13:25:00,1758268500,100.22,100.27,100.15,100.27,100.46,893,0,721661,0
Ok,19-09-2025 13:20:00,1758268200,100.30,100.44,100.09,100.22,100.08,36573,0,720768,0
Ok,19-09-2025 13:15:00,1758267900,100.13,100.30,100.13,100.18,100.48,4719,0,684195,0
Ok,19-09-2025 13:10:00,1758267600,100.24,100.29,100.13,100.13,100.48,8511,0,679476,0
Ok,19-09-2025 13:05:00,1758267300,100.30,100.31,100.30,100.30,100.48,1026,0,670965,0
Ok,19-09-2025 13:00:00,1758267000,100.20,100.30,100.20,100.30,100.48,4315,0,669939,0
Ok,19-09-2025 12:55:00,1758266700,100.10,100.29,100.10,100.26,99.49,6690,0,665624,0
Ok,19-09-2025 12:50:00,1758266400,100.30,100.30,100.06,100.06,100.49,9662,0,658934,0
Ok,19-09-2025 12:45:00,1758266100,100.26,100.35,100.20,100.26,100.49,4092,0,649272,0
Ok,19-09-2025 12:40:00,1758265800,100.25,100.37,100.21,100.37,99.40,5906,0,645180,0
Ok,19-09-2025 12:35:00,1758265500,100.22,100.39,100.20,100.20,100.50,4786,0,639274,0
Ok,19-09-2025 12:30:00,1758265200,100.41,100.45,100.23,100.30,100.50,12480,0,634488,0
