stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,162.40,162.50,161.21,161.70,161.82,147236,0,11127651,0
Ok,19-09-2025 15:20:00,1758275400,163.30,164.39,161.53,162.44,163.11,407316,0,10980415,0
Ok,19-09-2025 15:15:00,1758275100,164.15,164.80,163.05,163.05,163.85,342789,0,10573099,0
Ok,19-09-2025 15:10:00,1758274800,164.90,165.70,163.15,164.29,164.21,315228,0,10230310,0
Ok,19-09-2025 15:05:00,1758274500,163.65,166.00,163.65,165.01,165.12,432986,0,9915082,0
Ok,19-09-2025 15:00:00,1758274200,164.37,164.40,162.00,163.80,163.08,336645,0,9482096,0
Ok,19-09-2025 14:55:00,1758273900,163.40,165.00,163.00,164.33,163.98,240377,0,9145451,0
Ok,19-09-2025 14:50:00,1758273600,164.75,165.10,162.00,163.27,163.28,512807,0,8905074,0
Ok,19-09-2025 14:45:00,1758273300,166.39,166.70,164.50,164.93,165.49,319517,0,8392267,0
Ok,19-09-2025 14:40:00,1758273000,166.30,166.98,164.52,166.43,165.92,377353,0,8072750,0
Ok,19-09-2025 14:35:00,1758272700,165.40,168.18,165.30,166.11,166.96,722709,0,7695397,0
Ok,19-09-2025 14:30:00,1758272400,164.34,166.47,163.92,165.42,165.12,409363,0,6972688,0
Ok,19-09-2025 14:25:00,1758272100,164.54,165.20,163.80,164.59,164.59,200813,0,6563325,0
Ok,19-09-2025 14:20:00,1758271800,164.73,166.25,163.32,164.38,164.65,560769,0,6362512,0
Ok,19-09-2025 14:15:00,1758271500,160.85,165.60,160.70,164.75,164.03,834374,0,5801743,0
Ok,19-09-2025 14:10:00,1758271200,159.70,161.65,159.67,161.15,160.90,153968,0,4967369,0
Ok,19-09-2025 14:05:00,1758270900,159.95,159.95,159.11,159.95,159.72,34150,0,4813401,0
Ok,19-09-2025 14:00:00,1758270600,158.80,159.97,158.58,159.83,158.99,69563,0,4779251,0
Ok,19-09-2025 13:55:00,1758270300,159.65,159.84,158.70,158.83,158.84,86473,0,4709688,0
Ok,19-09-2025 13:50:00,1758270000,159.90,160.10,159.51,159.51,160.07,51554,0,4623215,0
Ok,19-09-2025 13:45:00,1758269700,160.08,160.39,159.65,159.85,160.39,42745,0,4571661,0
Ok,19-09-2025 13:40:00,1758269400,159.18,160.99,159.01,160.12,159.88,108281,0,4528916,0
Ok,19-09-2025 13:35:00,1758269100,159.92,159.99,158.49,159.10,158.87,129703,0,4420635,0
Ok,19-09-2025 13:30:00,1758268800,160.00,160.55,159.62,159.93,160.08,67176,0,4290932,0
Ok,19-09-2025 13:25:00,1758268500,161.30,161.62,159.40,160.10,160.51,155905,0,4223756,0
Ok,19-09-2025 13:20:00,1758268200,161.87,162.19,160.60,161.35,161.06,194400,0,4067851,0
Ok,19-09-2025 13:15:00,1758267900,161.19,162.50,160.50,161.99,161.84,214521,0,3873451,0
Ok,19-09-2025 13:10:00,1758267600,159.92,161.60,159.80,161.25,160.95,201725,0,3658930,0
Ok,19-09-2025 13:05:00,1758267300,159.61,161.00,159.60,159.73,160.25,167576,0,3457205,0
Ok,19-09-2025 13:00:00,1758267000,159.77,160.40,158.70,159.65,159.76,156720,0,3289629,0
Ok,19-09-2025 12:55:00,1758266700,159.24,160.25,159.05,159.78,159.67,99828,0,3132909,0
Ok,19-09-2025 12:50:00,1758266400,160.93,161.65,158.65,159.21,160.18,274088,0,3033081,0
Ok,19-09-2025 12:45:00,1758266100,159.50,161.00,158.10,161.00,159.14,170517,0,2758993,0
Ok,19-09-2025 12:40:00,1758265800,160.63,160.80,158.68,159.63,159.53,163270,0,2588476,0
Ok,19-09-2025 12:35:00,1758265500,161.36,161.61,159.63,160.57,160.32,277256,0,2425206,0
Ok,19-09-2025 12:30:00,1758265200,161.21,162.90,159.88,161.32,161.50,462267,0,2147950,0
Ok,19-09-2025 12:25:00,1758264900,158.03,161.39,158.03,161.30,159.64,442498,0,1685683,0
Ok,19-09-2025 12:20:00,1758264600,155.51,158.49,155.50,157.99,157.56,205552,0,1243185,0
Ok,19-09-2025 12:15:00,1758264300,154.52,156.39,154.38,155.50,155.37,96267,0,1037633,0
Ok,19-09-2025 12:10:00,1758264000,155.52,156.70,154.30,154.61,155.60,166885,0,941366,0
Ok,19-09-2025 12:05:00,1758263700,151.59,155.90,151.17,155.53,154.05,185931,0,774481,0
Ok,19-09-2025 12:00:00,1758263400,150.56,151.52,150.46,151.36,151.01,13785,0,588550,0
Ok,19-09-2025 11:55:00,1758263100,150.00,150.79,150.00,150.70,149.95,8816,0,574765,0
Ok,19-09-2025 11:50:00,1758262800,150.23,150.38,149.85,149.85,150.73,3908,0,565949,0
Ok,19-09-2025 11:45:00,1758262500,150.13,150.70,150.02,150.23,150.38,10071,0,562041,0
Ok,19-09-2025 11:40:00,1758262200,150.42,150.44,149.97,150.16,150.04,13744,0,551970,0
Ok,19-09-2025 11:35:00,1758261900,150.61,151.23,150.25,150.41,150.59,30122,0,538226,0
Ok,19-09-2025 11:30:00,1758261600,150.00,150.79,149.85,150.62,150.37,31458,0,508104,0
Ok,19-09-2025 11:25:00,1758261300,149.99,151.20,149.99,150.36,150.67,38542,0,476646,0
Ok,19-09-2025 11:20:00,1758261000,149.30,150.67,149.07,150.07,149.82,23704,0,438104,0
Ok,19-09-2025 11:15:00,1758260700,150.93,151.00,149.02,149.24,149.99,63781,0,414400,0
Ok,19-09-2025 11:10:00,1758260400,151.45,151.76,150.34,150.70,151.16,56141,0,350619,0
Ok,19-09-2025 11:05:00,1758260100,148.62,151.79,148.62,151.79,150.26,82871,0,294478,0
Ok,19-09-2025 11:00:00,1758259800,148.36,148.70,148.36,148.70,148.46,7863,0,211607,0
Ok,19-09-2025 10:55:00,1758259500,147.79,148.39,147.79,148.39,148.05,14006,0,203744,0
Ok,19-09-2025 10:50:00,1758259200,148.03,148.05,147.71,147.79,148.09,7258,0,189738,0
Ok,19-09-2025 10:45:00,1758258900,147.95,148.00,147.75,148.00,147.70,4426,0,182480,0
Ok,19-09-2025 10:40:00,1758258600,147.82,148.09,147.70,147.81,148.09,10477,0,178054,0
Ok,19-09-2025 10:35:00,1758258300,147.64,147.89,147.51,147.71,147.25,3697,0,167577,0
Ok,19-09-2025 10:30:00,1758258000,147.50,147.90,147.50,147.76,147.78,2990,0,163880,0
Ok,19-09-2025 10:25:00,1758257700,147.61,147.69,147.20,147.60,147.24,8913,0,160890,0
Ok,19-09-2025 10:20:00,1758257400,148.79,148.79,147.65,147.69,148.08,14621,0,151977,0
Ok,19-09-2025 10:15:00,1758257100,147.95,148.86,147.80,148.67,148.42,28818,0,137356,0
Ok,19-09-2025 10:10:00,1758256800,147.94,148.25,147.51,147.72,147.93,22214,0,108538,0
Ok,19-09-2025 10:05:00,1758256500,147.10,147.90,146.92,147.89,147.38,14090,0,86324,0
Ok,19-09-2025 10:00:00,1758256200,146.08,146.95,146.08,146.95,146.53,3664,0,72234,0
Ok,19-09-2025 09:55:00,1758255900,146.49,146.50,146.20,146.20,146.34,2414,0,68570,0
Ok,19-09-2025 09:50:00,1758255600,146.74,146.77,146.50,146.50,146.91,2209,0,66156,0
Ok,19-09-2025 09:45:00,1758255300,146.60,146.68,146.52,146.54,146.49,3389,0,63947,0
Ok,19-09-2025 09:40:00,1758255000,147.25,147.25,146.50,146.67,146.92,7686,0,60558,0
Ok,19-09-2025 09:35:00,1758254700,146.31,147.45,146.13,147.20,147.03,12396,0,52872,0
