stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,188.09,188.30,187.26,187.99,187.76,8906,0,169910,0
Ok,19-09-2025 15:20:00,1758275400,187.95,188.20,187.80,188.00,188.10,2523,0,161004,0
Ok,19-09-2025 15:15:00,1758275100,187.99,188.23,187.56,187.56,187.84,3505,0,158481,0
Ok,19-09-2025 15:10:00,1758274800,187.82,188.24,187.62,187.85,187.11,8064,0,154976,0
Ok,19-09-2025 15:05:00,1758274500,187.90,188.11,187.79,187.99,188.45,7185,0,146912,0
Ok,19-09-2025 15:00:00,1758274200,187.91,188.00,187.88,188.00,187.84,2675,0,139727,0
Ok,19-09-2025 14:55:00,1758273900,188.01,188.02,187.90,188.00,188.26,2173,0,137052,0
Ok,19-09-2025 14:50:00,1758273600,188.09,188.38,188.00,188.00,187.96,6827,0,134879,0
Ok,19-09-2025 14:45:00,1758273300,188.40,188.71,187.81,188.00,188.16,7734,0,128052,0
Ok,19-09-2025 14:40:00,1758273000,188.15,188.41,188.15,188.21,189.00,1190,0,120318,0
Ok,19-09-2025 14:35:00,1758272700,188.15,188.28,188.15,188.28,186.63,502,0,119128,0
Ok,19-09-2025 14:30:00,1758272400,188.40,188.41,188.40,188.41,189.01,225,0,118626,0
Ok,19-09-2025 14:25:00,1758272100,188.38,188.40,188.30,188.30,189.01,882,0,118401,0
Ok,19-09-2025 14:20:00,1758271800,188.40,188.40,188.38,188.38,185.10,300,0,117519,0
Ok,19-09-2025 14:15:00,1758271500,188.49,188.49,188.49,188.49,189.02,300,0,117219,0
Ok,19-09-2025 14:10:00,1758271200,188.56,188.56,188.28,188.49,189.02,555,0,116919,0
Ok,19-09-2025 14:05:00,1758270900,188.46,188.57,188.23,188.56,189.02,251,0,116364,0
Ok,19-09-2025 14:00:00,1758270600,188.46,188.46,188.46,188.46,189.02,1,0,116113,0
Ok,19-09-2025 13:55:00,1758270300,188.38,188.60,188.38,188.46,187.99,1130,0,116112,0
Ok,19-09-2025 13:50:00,1758270000,188.41,188.41,188.10,188.38,188.32,9045,0,114982,0
Ok,19-09-2025 13:45:00,1758269700,188.51,188.70,188.50,188.70,184.64,238,0,105937,0
Ok,19-09-2025 13:40:00,1758269400,188.72,188.75,188.50,188.50,188.78,3290,0,105699,0
Ok,19-09-2025 13:35:00,1758269100,188.75,188.88,188.75,188.88,188.26,1202,0,102409,0
Ok,19-09-2025 13:30:00,1758268800,188.75,188.75,188.75,188.75,0.00,0,0,101207,0
Ok,19-09-2025 13:25:00,1758268500,188.75,188.75,188.75,188.75,189.12,5,0,101207,0
Ok,19-09-2025 13:20:00,1758268200,188.79,188.79,188.50,188.75,189.12,389,0,101202,0
Ok,19-09-2025 13:15:00,1758267900,188.86,188.88,188.57,188.79,189.12,855,0,100813,0
Ok,19-09-2025 13:10:00,1758267600,188.74,188.87,188.74,188.87,189.12,725,0,99958,0
Ok,19-09-2025 13:05:00,1758267300,188.52,188.74,188.52,188.74,189.12,42,0,99233,0
Ok,19-09-2025 13:00:00,1758267000,188.73,188.73,188.71,188.71,189.12,12,0,99191,0
Ok,19-09-2025 12:55:00,1758266700,188.48,188.73,188.48,188.73,189.12,190,0,99179,0
Ok,19-09-2025 12:50:00,1758266400,188.26,188.55,188.22,188.44,186.98,462,0,98989,0
Ok,19-09-2025 12:45:00,1758266100,188.60,188.60,188.30,188.30,189.13,342,0,98527,0
Ok,19-09-2025 12:40:00,1758265800,188.24,188.60,188.24,188.60,188.43,1389,0,98185,0
Ok,19-09-2025 12:35:00,1758265500,188.72,188.72,188.39,188.39,189.14,502,0,96796,0
Ok,19-09-2025 12:30:00,1758265200,188.49,188.72,188.15,188.72,188.14,1893,0,96294,0
Ok,19-09-2025 12:25:00,1758264900,189.00,189.20,188.44,188.50,188.73,23566,0,94401,0
Ok,19-09-2025 12:20:00,1758264600,188.50,188.89,188.20,188.89,188.33,4154,0,70835,0
Ok,19-09-2025 12:15:00,1758264300,188.79,188.90,188.48,188.48,188.80,3430,0,66681,0
Ok,19-09-2025 12:10:00,1758264000,188.42,189.00,188.18,189.00,188.65,4044,0,63251,0
Ok,19-09-2025 12:05:00,1758263700,188.75,188.75,188.42,188.42,188.36,1612,0,59207,0
Ok,19-09-2025 12:00:00,1758263400,188.61,188.82,188.61,188.70,188.72,762,0,57595,0
Ok,19-09-2025 11:55:00,1758263100,188.42,188.42,188.42,188.42,189.48,33,0,56833,0
Ok,19-09-2025 11:50:00,1758262800,188.50,188.50,188.18,188.18,187.74,325,0,56800,0
Ok,19-09-2025 11:45:00,1758262500,188.50,188.50,188.20,188.50,188.39,2947,0,56475,0
Ok,19-09-2025 11:40:00,1758262200,188.60,188.72,188.50,188.67,189.55,175,0,53528,0
Ok,19-09-2025 11:35:00,1758261900,188.56,188.60,188.35,188.60,188.24,406,0,53353,0
Ok,19-09-2025 11:30:00,1758261600,188.72,188.77,188.50,188.50,188.45,2301,0,52947,0
Ok,19-09-2025 11:25:00,1758261300,188.72,188.72,188.72,188.72,188.60,500,0,50646,0
Ok,19-09-2025 11:20:00,1758261000,188.69,188.73,188.62,188.72,188.78,2301,0,50146,0
Ok,19-09-2025 11:15:00,1758260700,188.88,188.89,188.82,188.88,189.66,64,0,47845,0
Ok,19-09-2025 11:10:00,1758260400,188.88,188.88,188.88,188.88,189.66,3,0,47781,0
Ok,19-09-2025 11:05:00,1758260100,188.85,188.89,188.80,188.80,187.98,284,0,47778,0
Ok,19-09-2025 11:00:00,1758259800,188.73,188.89,188.73,188.89,189.67,101,0,47494,0
Ok,19-09-2025 10:55:00,1758259500,188.74,188.90,188.72,188.73,189.03,739,0,47393,0
Ok,19-09-2025 10:50:00,1758259200,189.00,189.26,188.90,188.90,188.91,2317,0,46654,0
Ok,19-09-2025 10:45:00,1758258900,188.69,189.00,188.69,189.00,189.19,829,0,44337,0
Ok,19-09-2025 10:40:00,1758258600,189.18,189.23,188.69,188.69,189.07,4753,0,43508,0
Ok,19-09-2025 10:35:00,1758258300,189.80,189.80,189.32,189.33,189.58,3173,0,38755,0
Ok,19-09-2025 10:30:00,1758258000,189.90,190.06,189.79,189.79,189.83,1592,0,35582,0
Ok,19-09-2025 10:25:00,1758257700,189.71,189.90,189.71,189.90,189.83,174,0,33990,0
Ok,19-09-2025 10:20:00,1758257400,189.72,189.88,189.71,189.71,189.02,416,0,33816,0
Ok,19-09-2025 10:15:00,1758257100,189.89,189.91,189.71,189.71,189.84,175,0,33400,0
Ok,19-09-2025 10:10:00,1758256800,189.88,189.90,189.88,189.89,189.84,50,0,33225,0
Ok,19-09-2025 10:05:00,1758256500,190.00,190.10,189.88,189.88,189.84,358,0,33175,0
Ok,19-09-2025 10:00:00,1758256200,190.08,190.08,189.71,190.00,189.93,2865,0,32817,0
Ok,19-09-2025 09:55:00,1758255900,190.14,190.14,189.84,189.84,190.09,2061,0,29952,0
Ok,19-09-2025 09:50:00,1758255600,190.19,190.40,190.10,190.15,190.12,1633,0,27891,0
Ok,19-09-2025 09:45:00,1758255300,190.40,190.40,190.25,190.25,190.32,941,0,26258,0
Ok,19-09-2025 09:40:00,1758255000,189.99,190.40,189.99,190.40,190.17,3255,0,25317,0
Ok,19-09-2025 09:35:00,1758254700,190.09,190.40,189.99,189.99,190.24,1531,0,22062,0
Ok,19-09-2025 09:30:00,1758254400,190.03,190.10,189.77,189.86,189.67,304,0,20531,0
Ok,19-09-2025 09:25:00,1758254100,190.08,190.14,189.84,190.03,189.87,919,0,20227,0
Ok,19-09-2025 09:20:00,1758253800,188.84,190.40,188.84,189.81,189.87,14614,0,19308,0
Ok,19-09-2025 09:15:00,1758253500,189.22,189.57,188.31,188.55,188.98,4694,0,4694,0
