stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,734.70,735.00,730.50,733.90,733.18,4072,0,89213,0
Ok,19-09-2025 15:20:00,1758275400,733.45,733.90,732.10,733.55,733.69,3992,0,85141,0
Ok,19-09-2025 15:15:00,1758275100,732.45,733.90,731.35,733.90,733.26,4421,0,81149,0
Ok,19-09-2025 15:10:00,1758274800,732.00,733.65,731.60,732.50,732.04,5450,0,76728,0
Ok,19-09-2025 15:05:00,1758274500,729.00,731.50,727.55,731.10,729.53,6524,0,71278,0
Ok,19-09-2025 15:00:00,1758274200,723.90,729.25,723.90,728.05,727.47,4508,0,64754,0
Ok,19-09-2025 14:55:00,1758273900,724.25,724.40,723.60,723.95,724.17,514,0,60246,0
Ok,19-09-2025 14:50:00,1758273600,723.85,724.30,723.80,723.80,724.17,100,0,59732,0
Ok,19-09-2025 14:45:00,1758273300,724.10,724.60,723.85,723.85,724.17,170,0,59632,0
Ok,19-09-2025 14:40:00,1758273000,724.00,724.25,723.80,723.80,724.17,1169,0,59462,0
Ok,19-09-2025 14:35:00,1758272700,724.25,724.25,723.50,723.50,724.17,139,0,58293,0
Ok,19-09-2025 14:30:00,1758272400,723.90,724.00,723.75,723.75,723.75,2704,0,58154,0
Ok,19-09-2025 14:25:00,1758272100,723.80,723.90,723.50,723.90,720.55,152,0,55450,0
Ok,19-09-2025 14:20:00,1758271800,723.90,724.00,723.50,723.90,724.20,514,0,55298,0
Ok,19-09-2025 14:15:00,1758271500,723.90,724.00,723.85,724.00,724.20,357,0,54784,0
Ok,19-09-2025 14:10:00,1758271200,723.75,724.45,723.50,723.50,723.64,1891,0,54427,0
Ok,19-09-2025 14:05:00,1758270900,723.95,724.55,723.50,724.00,723.62,14166,0,52536,0
Ok,19-09-2025 14:00:00,1758270600,723.70,723.70,723.70,723.70,723.27,328,0,38370,0
Ok,19-09-2025 13:55:00,1758270300,723.65,723.70,723.65,723.70,723.44,376,0,38042,0
Ok,19-09-2025 13:50:00,1758270000,723.00,723.00,723.00,723.00,724.46,15,0,37666,0
Ok,19-09-2025 13:45:00,1758269700,723.70,723.70,723.00,723.00,723.51,1546,0,37651,0
Ok,19-09-2025 13:40:00,1758269400,723.00,724.00,723.00,723.70,723.92,621,0,36105,0
Ok,19-09-2025 13:35:00,1758269100,723.35,724.00,723.00,723.05,723.79,488,0,35484,0
