stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,579.95,580.00,579.35,579.70,579.94,15401,0,287491,0
Ok,19-09-2025 15:20:00,1758275400,582.05,582.60,579.05,579.85,580.94,26546,0,272090,0
Ok,19-09-2025 15:15:00,1758275100,582.15,582.80,581.85,582.15,582.02,18749,0,245544,0
Ok,19-09-2025 15:10:00,1758274800,582.10,582.25,581.35,582.10,582.06,18784,0,226795,0
Ok,19-09-2025 15:05:00,1758274500,580.30,582.85,580.10,582.25,581.56,26264,0,208011,0
Ok,19-09-2025 15:00:00,1758274200,576.45,582.20,576.35,580.50,580.12,41907,0,181747,0
Ok,19-09-2025 14:55:00,1758273900,573.10,576.55,573.10,576.30,574.68,7153,0,139840,0
Ok,19-09-2025 14:50:00,1758273600,573.05,573.50,573.00,573.05,573.71,1654,0,132687,0
Ok,19-09-2025 14:45:00,1758273300,573.65,573.80,573.10,573.10,572.91,1631,0,131033,0
Ok,19-09-2025 14:40:00,1758273000,573.95,573.95,573.50,573.60,573.72,879,0,129402,0
Ok,19-09-2025 14:35:00,1758272700,573.55,573.95,573.40,573.55,573.72,436,0,128523,0
Ok,19-09-2025 14:30:00,1758272400,573.65,573.85,573.25,573.55,573.72,891,0,128087,0
Ok,19-09-2025 14:25:00,1758272100,573.40,573.60,573.20,573.35,573.72,690,0,127196,0
Ok,19-09-2025 14:20:00,1758271800,573.95,574.40,573.25,573.30,573.72,1226,0,126506,0
Ok,19-09-2025 14:15:00,1758271500,573.50,574.05,573.50,573.80,573.72,893,0,125280,0
Ok,19-09-2025 14:10:00,1758271200,573.70,573.95,573.50,573.55,573.72,415,0,124387,0
Ok,19-09-2025 14:05:00,1758270900,574.15,574.20,573.60,573.85,574.88,1053,0,123972,0
Ok,19-09-2025 14:00:00,1758270600,573.55,574.20,573.55,574.00,573.71,809,0,122919,0
Ok,19-09-2025 13:55:00,1758270300,573.10,573.75,573.10,573.50,573.71,302,0,122110,0
Ok,19-09-2025 13:50:00,1758270000,573.50,573.80,573.00,573.10,573.71,1552,0,121808,0
Ok,19-09-2025 13:45:00,1758269700,573.75,573.75,573.20,573.50,571.23,483,0,120256,0
Ok,19-09-2025 13:40:00,1758269400,573.30,574.35,573.30,574.10,573.72,606,0,119773,0
Ok,19-09-2025 13:35:00,1758269100,574.00,574.40,573.40,573.50,574.47,1551,0,119167,0
Ok,19-09-2025 13:30:00,1758268800,574.10,574.10,574.00,574.00,573.71,1651,0,117616,0
Ok,19-09-2025 13:25:00,1758268500,574.10,574.40,573.75,574.05,573.71,180,0,115965,0
Ok,19-09-2025 13:20:00,1758268200,574.50,574.60,573.25,573.80,574.03,3481,0,115785,0
Ok,19-09-2025 13:15:00,1758267900,574.10,574.45,574.10,574.15,573.70,688,0,112304,0
Ok,19-09-2025 13:10:00,1758267600,574.05,574.50,574.05,574.05,573.70,443,0,111616,0
Ok,19-09-2025 13:05:00,1758267300,574.10,574.50,574.05,574.05,575.54,600,0,111173,0
Ok,19-09-2025 13:00:00,1758267000,574.10,574.45,574.10,574.15,573.69,278,0,110573,0
Ok,19-09-2025 12:55:00,1758266700,574.25,574.30,574.05,574.10,573.69,528,0,110295,0
Ok,19-09-2025 12:50:00,1758266400,574.30,574.50,574.05,574.05,573.69,476,0,109767,0
Ok,19-09-2025 12:45:00,1758266100,574.45,574.50,574.05,574.10,574.39,1520,0,109291,0
Ok,19-09-2025 12:40:00,1758265800,574.40,574.45,574.05,574.40,574.32,1641,0,107771,0
Ok,19-09-2025 12:35:00,1758265500,574.50,574.70,574.20,574.35,574.37,1471,0,106130,0
Ok,19-09-2025 12:30:00,1758265200,574.90,574.90,574.45,574.60,575.54,4762,0,104659,0
Ok,19-09-2025 12:25:00,1758264900,574.30,574.85,574.30,574.55,573.57,239,0,99897,0
Ok,19-09-2025 12:20:00,1758264600,574.15,574.50,574.05,574.30,573.57,303,0,99658,0
Ok,19-09-2025 12:15:00,1758264300,574.40,574.50,574.05,574.05,573.57,490,0,99355,0
Ok,19-09-2025 12:10:00,1758264000,574.45,575.00,574.35,574.50,573.57,898,0,98865,0
Ok,19-09-2025 12:05:00,1758263700,574.25,575.20,574.25,575.20,575.52,1480,0,97967,0
Ok,19-09-2025 12:00:00,1758263400,574.30,574.85,574.00,574.15,574.15,1535,0,96487,0
Ok,19-09-2025 11:55:00,1758263100,574.15,574.30,574.00,574.30,574.47,989,0,94952,0
Ok,19-09-2025 11:50:00,1758262800,575.20,575.20,574.10,574.10,574.63,3234,0,93963,0
Ok,19-09-2025 11:45:00,1758262500,575.00,575.20,575.00,575.15,574.91,3040,0,90729,0
Ok,19-09-2025 11:40:00,1758262200,574.90,575.20,574.60,575.00,575.38,887,0,87689,0
Ok,19-09-2025 11:35:00,1758261900,574.60,575.00,574.50,574.70,574.42,1678,0,86802,0
Ok,19-09-2025 11:30:00,1758261600,574.30,575.00,574.30,574.60,574.97,2092,0,85124,0
Ok,19-09-2025 11:25:00,1758261300,574.10,574.40,574.00,574.30,574.32,1654,0,83032,0
Ok,19-09-2025 11:20:00,1758261000,574.00,574.40,574.00,574.20,574.08,1058,0,81378,0
Ok,19-09-2025 11:15:00,1758260700,574.05,574.40,574.05,574.05,573.32,466,0,80320,0
Ok,19-09-2025 11:10:00,1758260400,573.75,574.05,573.75,574.05,573.89,1354,0,79854,0
Ok,19-09-2025 11:05:00,1758260100,573.85,574.10,573.70,573.70,573.84,1432,0,78500,0
Ok,19-09-2025 11:00:00,1758259800,574.35,574.55,573.80,573.80,574.32,2871,0,77068,0
Ok,19-09-2025 10:55:00,1758259500,574.00,574.40,573.95,574.05,574.45,1818,0,74197,0
Ok,19-09-2025 10:50:00,1758259200,573.95,574.30,573.95,574.05,576.69,415,0,72379,0
Ok,19-09-2025 10:45:00,1758258900,573.95,574.40,573.55,573.90,573.84,2191,0,71964,0
Ok,19-09-2025 10:40:00,1758258600,573.85,573.90,573.55,573.55,573.19,509,0,69773,0
Ok,19-09-2025 10:35:00,1758258300,573.60,573.95,573.45,573.55,573.19,830,0,69264,0
Ok,19-09-2025 10:30:00,1758258000,573.75,574.40,573.45,573.60,574.03,2334,0,68434,0
Ok,19-09-2025 10:25:00,1758257700,573.45,573.80,573.45,573.45,573.83,963,0,66100,0
Ok,19-09-2025 10:20:00,1758257400,573.00,573.40,572.75,573.40,573.15,417,0,65137,0
Ok,19-09-2025 10:15:00,1758257100,573.85,574.40,573.00,573.05,573.43,2183,0,64720,0
Ok,19-09-2025 10:10:00,1758256800,574.10,574.40,573.80,573.80,574.35,2466,0,62537,0
Ok,19-09-2025 10:05:00,1758256500,573.60,574.20,573.30,573.80,573.29,5198,0,60071,0
Ok,19-09-2025 10:00:00,1758256200,572.25,573.35,572.25,573.30,573.07,2195,0,54873,0
Ok,19-09-2025 09:55:00,1758255900,574.50,574.50,572.20,572.30,573.06,3221,0,52678,0
Ok,19-09-2025 09:50:00,1758255600,574.55,574.75,573.40,574.75,574.14,6750,0,49457,0
Ok,19-09-2025 09:45:00,1758255300,573.45,575.00,573.45,574.50,574.26,3166,0,42707,0
Ok,19-09-2025 09:40:00,1758255000,571.45,573.80,571.45,573.40,572.79,1959,0,39541,0
Ok,19-09-2025 09:35:00,1758254700,572.05,572.45,571.20,571.50,571.78,3105,0,37582,0
Ok,19-09-2025 09:30:00,1758254400,571.95,572.55,571.20,572.45,572.00,3860,0,34477,0
Ok,19-09-2025 09:25:00,1758254100,571.95,572.20,571.20,571.70,571.56,7726,0,30617,0
