stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,608.00,609.00,607.05,608.95,608.70,3071,0,60332,0
Ok,19-09-2025 15:20:00,1758275400,607.30,609.75,607.00,608.05,607.41,3729,0,57261,0
Ok,19-09-2025 15:15:00,1758275100,607.10,608.90,607.10,608.00,608.11,1734,0,53532,0
Ok,19-09-2025 15:10:00,1758274800,607.75,608.95,607.05,607.10,607.27,521,0,51798,0
Ok,19-09-2025 15:05:00,1758274500,608.15,609.00,607.00,607.50,607.60,694,0,51277,0
Ok,19-09-2025 15:00:00,1758274200,608.00,608.90,607.00,608.00,608.04,5545,0,50583,0
Ok,19-09-2025 14:55:00,1758273900,609.10,609.70,609.10,609.70,611.70,154,0,45038,0
Ok,19-09-2025 14:50:00,1758273600,609.50,609.65,608.80,608.80,608.50,418,0,44884,0
Ok,19-09-2025 14:45:00,1758273300,609.85,610.00,609.50,609.50,610.42,337,0,44466,0
Ok,19-09-2025 14:40:00,1758273000,610.00,610.00,609.85,609.85,611.74,8,0,44129,0
Ok,19-09-2025 14:35:00,1758272700,608.80,610.00,608.80,610.00,607.91,115,0,44121,0
Ok,19-09-2025 14:30:00,1758272400,609.30,609.30,608.80,608.80,609.10,1297,0,44006,0
Ok,19-09-2025 14:25:00,1758272100,609.95,610.60,609.65,610.60,610.71,379,0,42709,0
Ok,19-09-2025 14:20:00,1758271800,610.80,610.85,609.75,609.75,609.55,369,0,42330,0
Ok,19-09-2025 14:15:00,1758271500,610.10,610.80,609.90,610.80,608.80,137,0,41961,0
Ok,19-09-2025 14:10:00,1758271200,610.00,611.00,610.00,611.00,611.87,120,0,41824,0
Ok,19-09-2025 14:05:00,1758270900,611.35,611.35,610.10,610.10,610.06,230,0,41704,0
Ok,19-09-2025 14:00:00,1758270600,611.30,611.30,610.00,610.00,611.88,178,0,41474,0
Ok,19-09-2025 13:55:00,1758270300,610.50,611.30,610.50,611.30,610.33,265,0,41296,0
Ok,19-09-2025 13:50:00,1758270000,610.00,610.50,609.90,610.50,608.06,107,0,41031,0
Ok,19-09-2025 13:45:00,1758269700,610.55,610.85,610.50,610.50,610.47,285,0,40924,0
Ok,19-09-2025 13:40:00,1758269400,611.50,611.90,611.50,611.65,611.91,15,0,40639,0
Ok,19-09-2025 13:35:00,1758269100,610.75,611.50,610.75,611.50,611.91,36,0,40624,0
Ok,19-09-2025 13:30:00,1758268800,610.60,611.40,610.60,611.40,611.91,34,0,40588,0
Ok,19-09-2025 13:25:00,1758268500,610.60,610.60,610.55,610.55,611.91,110,0,40554,0
Ok,19-09-2025 13:20:00,1758268200,611.50,611.50,610.80,610.80,610.75,690,0,40444,0
Ok,19-09-2025 13:15:00,1758267900,611.50,611.50,611.50,611.50,611.93,100,0,39754,0
Ok,19-09-2025 13:10:00,1758267600,611.15,611.50,611.15,611.50,611.93,24,0,39654,0
Ok,19-09-2025 13:05:00,1758267300,611.00,611.00,610.80,611.00,611.93,94,0,39630,0
Ok,19-09-2025 13:00:00,1758267000,610.85,612.00,610.85,611.00,611.93,440,0,39536,0
Ok,19-09-2025 12:55:00,1758266700,610.15,611.20,610.15,610.70,611.93,46,0,39096,0
Ok,19-09-2025 12:50:00,1758266400,609.90,610.80,609.90,610.80,610.08,211,0,39050,0
Ok,19-09-2025 12:45:00,1758266100,609.90,609.90,609.90,609.90,611.94,18,0,38839,0
Ok,19-09-2025 12:40:00,1758265800,610.60,610.65,610.00,610.00,611.94,31,0,38821,0
Ok,19-09-2025 12:35:00,1758265500,610.00,610.60,610.00,610.60,610.44,1496,0,38790,0
Ok,19-09-2025 12:30:00,1758265200,610.55,610.60,610.55,610.60,0.00,0,0,37294,0
Ok,19-09-2025 12:25:00,1758264900,610.60,610.60,609.90,610.55,612.00,12,0,37294,0
Ok,19-09-2025 12:20:00,1758264600,610.75,610.75,610.60,610.60,612.00,47,0,37282,0
