stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,715.60,725.00,715.40,725.00,720.59,43357,0,539063,0
Ok,19-09-2025 15:20:00,1758275400,715.55,716.85,715.00,716.10,715.80,32104,0,495706,0
Ok,19-09-2025 15:15:00,1758275100,716.00,717.75,715.00,715.35,715.94,35434,0,463602,0
Ok,19-09-2025 15:10:00,1758274800,718.00,718.80,716.10,716.20,716.95,27518,0,428168,0
Ok,19-09-2025 15:05:00,1758274500,716.05,719.15,715.80,718.20,717.47,24454,0,400650,0
Ok,19-09-2025 15:00:00,1758274200,720.25,720.25,715.60,715.95,717.40,29281,0,376196,0
Ok,19-09-2025 14:55:00,1758273900,720.05,721.25,720.00,720.45,720.65,5600,0,346915,0
Ok,19-09-2025 14:50:00,1758273600,720.05,721.20,719.80,720.30,720.11,15255,0,341315,0
Ok,19-09-2025 14:45:00,1758273300,719.40,720.80,719.30,719.80,720.39,4553,0,326060,0
Ok,19-09-2025 14:40:00,1758273000,719.10,720.25,719.00,719.30,719.24,4693,0,321507,0
Ok,19-09-2025 14:35:00,1758272700,719.55,720.45,719.10,719.20,719.36,4666,0,316814,0
Ok,19-09-2025 14:30:00,1758272400,720.10,721.05,719.40,719.50,720.23,4754,0,312148,0
Ok,19-09-2025 14:25:00,1758272100,720.90,722.00,720.00,720.05,720.19,19521,0,307394,0
Ok,19-09-2025 14:20:00,1758271800,720.85,722.95,720.75,720.85,721.46,3813,0,287873,0
Ok,19-09-2025 14:15:00,1758271500,720.35,722.00,720.20,721.25,720.91,5463,0,284060,0
Ok,19-09-2025 14:10:00,1758271200,721.10,721.80,720.20,720.40,720.92,13845,0,278597,0
Ok,19-09-2025 14:05:00,1758270900,720.95,720.95,720.00,720.75,720.43,5409,0,264752,0
Ok,19-09-2025 14:00:00,1758270600,720.25,722.00,719.60,720.80,721.58,8473,0,259343,0
Ok,19-09-2025 13:55:00,1758270300,719.55,720.85,719.55,719.60,719.69,4224,0,250870,0
Ok,19-09-2025 13:50:00,1758270000,720.85,721.95,719.25,719.60,720.27,12312,0,246646,0
Ok,19-09-2025 13:45:00,1758269700,720.65,721.60,720.05,721.20,720.01,3070,0,234334,0
Ok,19-09-2025 13:40:00,1758269400,720.00,721.85,720.00,720.20,720.63,5269,0,231264,0
Ok,19-09-2025 13:35:00,1758269100,724.45,724.95,718.25,720.05,721.19,27890,0,225995,0
Ok,19-09-2025 13:30:00,1758268800,724.25,724.90,724.10,724.75,726.07,431,0,198105,0
Ok,19-09-2025 13:25:00,1758268500,724.90,724.95,724.10,724.20,726.07,430,0,197674,0
Ok,19-09-2025 13:20:00,1758268200,724.50,724.95,724.10,724.50,724.34,8778,0,197244,0
Ok,19-09-2025 13:15:00,1758267900,724.70,725.00,724.50,724.85,724.95,3103,0,188466,0
Ok,19-09-2025 13:10:00,1758267600,724.45,724.70,724.20,724.25,726.17,420,0,185363,0
Ok,19-09-2025 13:05:00,1758267300,724.55,724.80,724.00,724.20,724.44,2124,0,184943,0
Ok,19-09-2025 13:00:00,1758267000,724.70,724.90,724.00,724.40,722.42,484,0,182819,0
Ok,19-09-2025 12:55:00,1758266700,724.50,724.95,724.05,724.35,726.20,533,0,182335,0
Ok,19-09-2025 12:50:00,1758266400,724.00,724.95,724.00,724.65,721.61,396,0,181802,0
Ok,19-09-2025 12:45:00,1758266100,724.70,725.00,723.90,724.15,724.49,9990,0,181406,0
Ok,19-09-2025 12:40:00,1758265800,724.10,725.00,723.95,724.55,724.70,3151,0,171416,0
Ok,19-09-2025 12:35:00,1758265500,724.05,724.95,723.80,723.80,724.88,1151,0,168265,0
Ok,19-09-2025 12:30:00,1758265200,724.10,724.10,724.00,724.00,720.95,309,0,167114,0
Ok,19-09-2025 12:25:00,1758264900,724.40,724.75,724.00,724.00,724.59,942,0,166805,0
Ok,19-09-2025 12:20:00,1758264600,724.20,724.55,724.00,724.00,726.37,463,0,165863,0
Ok,19-09-2025 12:15:00,1758264300,724.35,724.75,724.15,724.65,720.85,598,0,165400,0
Ok,19-09-2025 12:10:00,1758264000,724.30,724.95,724.30,724.55,726.39,552,0,164802,0
Ok,19-09-2025 12:05:00,1758263700,724.85,724.85,724.30,724.75,726.39,263,0,164250,0
Ok,19-09-2025 12:00:00,1758263400,724.65,725.00,724.30,724.60,724.47,8153,0,163987,0
Ok,19-09-2025 11:55:00,1758263100,724.20,724.70,724.10,724.30,724.73,881,0,155834,0
Ok,19-09-2025 11:50:00,1758262800,724.50,724.95,724.00,724.70,724.07,1901,0,154953,0
Ok,19-09-2025 11:45:00,1758262500,724.90,725.20,724.50,724.90,724.97,3852,0,153052,0
Ok,19-09-2025 11:40:00,1758262200,725.90,726.05,724.70,725.00,725.16,2099,0,149200,0
Ok,19-09-2025 11:35:00,1758261900,725.00,725.75,724.75,725.50,724.98,4450,0,147101,0
Ok,19-09-2025 11:30:00,1758261600,724.85,725.00,724.70,724.80,725.51,1262,0,142651,0
Ok,19-09-2025 11:25:00,1758261300,723.85,725.00,723.85,724.70,724.54,8839,0,141389,0
Ok,19-09-2025 11:20:00,1758261000,724.35,725.00,723.85,724.15,723.84,2649,0,132550,0
Ok,19-09-2025 11:15:00,1758260700,724.55,725.00,723.95,724.85,724.54,2762,0,129901,0
Ok,19-09-2025 11:10:00,1758260400,724.40,725.50,723.95,724.80,724.46,5504,0,127139,0
