stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,537.95,540.00,537.40,540.00,538.47,3292,0,61487,0
Ok,19-09-2025 15:20:00,1758275400,537.30,539.30,535.50,537.90,536.83,5932,0,58195,0
Ok,19-09-2025 15:15:00,1758275100,537.50,539.25,536.80,537.20,537.84,2614,0,52263,0
Ok,19-09-2025 15:10:00,1758274800,537.55,537.70,536.20,537.25,537.12,2548,0,49649,0
Ok,19-09-2025 15:05:00,1758274500,535.85,537.50,535.85,536.65,536.56,2251,0,47101,0
Ok,19-09-2025 15:00:00,1758274200,537.60,538.20,535.00,536.25,536.51,2545,0,44850,0
Ok,19-09-2025 14:55:00,1758273900,535.20,538.20,534.15,537.40,536.39,2925,0,42305,0
Ok,19-09-2025 14:50:00,1758273600,535.20,535.20,534.80,535.20,535.39,183,0,39380,0
Ok,19-09-2025 14:45:00,1758273300,535.00,535.75,534.65,535.20,535.39,615,0,39197,0
Ok,19-09-2025 14:40:00,1758273000,534.60,535.00,534.30,534.80,533.96,270,0,38582,0
Ok,19-09-2025 14:35:00,1758272700,533.90,535.00,533.55,534.50,534.14,897,0,38312,0
Ok,19-09-2025 14:30:00,1758272400,533.75,534.40,533.75,534.35,535.43,65,0,37415,0
Ok,19-09-2025 14:25:00,1758272100,533.75,533.80,533.35,533.60,533.63,207,0,37350,0
Ok,19-09-2025 14:20:00,1758271800,532.85,533.95,532.25,533.30,532.73,1200,0,37143,0
Ok,19-09-2025 14:15:00,1758271500,533.50,533.80,533.10,533.10,535.53,49,0,35943,0
Ok,19-09-2025 14:10:00,1758271200,533.60,533.80,533.40,533.80,535.53,31,0,35894,0
Ok,19-09-2025 14:05:00,1758270900,532.70,533.80,532.50,533.60,532.63,369,0,35863,0
Ok,19-09-2025 14:00:00,1758270600,532.45,533.25,532.25,533.25,533.05,559,0,35494,0
Ok,19-09-2025 13:55:00,1758270300,532.90,533.15,532.55,532.65,531.02,152,0,34935,0
Ok,19-09-2025 13:50:00,1758270000,532.25,532.85,532.25,532.85,532.89,127,0,34783,0
Ok,19-09-2025 13:45:00,1758269700,532.75,533.05,532.10,532.65,532.47,648,0,34656,0
Ok,19-09-2025 13:40:00,1758269400,532.50,533.25,532.35,533.25,533.54,315,0,34008,0
Ok,19-09-2025 13:35:00,1758269100,533.25,533.25,532.50,532.95,531.20,149,0,33693,0
Ok,19-09-2025 13:30:00,1758268800,533.00,533.25,533.00,533.00,535.73,25,0,33544,0
Ok,19-09-2025 13:25:00,1758268500,532.80,533.45,532.70,532.85,532.71,331,0,33519,0
Ok,19-09-2025 13:20:00,1758268200,532.95,534.55,532.50,533.55,533.98,2273,0,33188,0
Ok,19-09-2025 13:15:00,1758267900,532.80,533.35,532.50,532.70,533.68,140,0,30915,0
Ok,19-09-2025 13:10:00,1758267600,533.70,533.70,532.70,533.10,531.91,230,0,30775,0
Ok,19-09-2025 13:05:00,1758267300,533.20,533.60,532.80,532.95,533.31,461,0,30545,0
Ok,19-09-2025 13:00:00,1758267000,533.15,533.60,533.05,533.20,532.80,95,0,30084,0
Ok,19-09-2025 12:55:00,1758266700,533.70,533.70,533.10,533.65,535.98,73,0,29989,0
Ok,19-09-2025 12:50:00,1758266400,533.55,533.70,533.05,533.20,531.01,180,0,29916,0
Ok,19-09-2025 12:45:00,1758266100,534.05,534.05,533.10,533.10,536.01,66,0,29736,0
Ok,19-09-2025 12:40:00,1758265800,533.25,534.05,533.25,533.65,533.75,261,0,29670,0
Ok,19-09-2025 12:35:00,1758265500,534.05,534.25,533.25,533.25,534.96,275,0,29409,0
Ok,19-09-2025 12:30:00,1758265200,534.45,534.75,534.05,534.40,532.69,87,0,29134,0
