stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,840.85,841.50,840.00,840.25,840.11,38515,0,147627,0
Ok,19-09-2025 15:20:00,1758275400,840.45,843.75,840.00,840.80,840.10,22950,0,109112,0
Ok,19-09-2025 15:15:00,1758275100,840.55,843.75,840.20,840.30,840.88,9451,0,86162,0
Ok,19-09-2025 15:10:00,1758274800,843.05,844.00,840.35,841.00,843.08,6794,0,76711,0
Ok,19-09-2025 15:05:00,1758274500,841.20,843.60,840.15,843.60,841.77,6859,0,69917,0
Ok,19-09-2025 15:00:00,1758274200,836.80,841.20,836.80,840.30,840.19,4811,0,63058,0
Ok,19-09-2025 14:55:00,1758273900,836.10,839.60,836.10,836.85,838.24,3625,0,58247,0
Ok,19-09-2025 14:50:00,1758273600,836.05,836.50,834.80,834.80,834.89,627,0,54622,0
Ok,19-09-2025 14:45:00,1758273300,835.20,837.00,835.20,836.45,836.77,432,0,53995,0
Ok,19-09-2025 14:40:00,1758273000,836.60,836.65,835.00,835.20,835.17,646,0,53563,0
Ok,19-09-2025 14:35:00,1758272700,835.00,837.15,835.00,836.60,836.08,1117,0,52917,0
Ok,19-09-2025 14:30:00,1758272400,834.15,836.25,833.40,835.00,834.04,575,0,51800,0
Ok,19-09-2025 14:25:00,1758272100,835.35,835.70,833.05,833.05,835.06,1474,0,51225,0
Ok,19-09-2025 14:20:00,1758271800,839.75,839.75,834.10,834.10,837.14,604,0,49751,0
Ok,19-09-2025 14:15:00,1758271500,841.70,841.90,838.00,839.75,839.12,3677,0,49147,0
Ok,19-09-2025 14:10:00,1758271200,843.50,843.50,841.35,842.30,842.35,664,0,45470,0
Ok,19-09-2025 14:05:00,1758270900,840.75,843.45,840.00,843.45,841.12,876,0,44806,0
Ok,19-09-2025 14:00:00,1758270600,840.90,840.90,839.55,840.85,839.59,194,0,43930,0
Ok,19-09-2025 13:55:00,1758270300,841.35,842.00,839.95,840.80,841.57,219,0,43736,0
Ok,19-09-2025 13:50:00,1758270000,842.20,842.55,841.05,842.15,841.80,194,0,43517,0
Ok,19-09-2025 13:45:00,1758269700,842.85,843.45,841.00,842.20,841.39,2670,0,43323,0
Ok,19-09-2025 13:40:00,1758269400,841.65,842.85,839.95,842.85,842.11,152,0,40653,0
Ok,19-09-2025 13:35:00,1758269100,841.95,843.90,839.65,841.90,842.03,913,0,40501,0
Ok,19-09-2025 13:30:00,1758268800,840.50,842.35,840.50,841.95,841.56,359,0,39588,0
Ok,19-09-2025 13:25:00,1758268500,842.00,842.30,840.15,841.75,840.66,297,0,39229,0
Ok,19-09-2025 13:20:00,1758268200,840.10,842.30,840.10,841.65,841.11,436,0,38932,0
Ok,19-09-2025 13:15:00,1758267900,839.70,841.45,839.55,840.30,839.33,366,0,38496,0
Ok,19-09-2025 13:10:00,1758267600,840.40,841.45,839.50,840.40,840.48,326,0,38130,0
Ok,19-09-2025 13:05:00,1758267300,840.30,841.85,839.40,840.00,841.04,218,0,37804,0
Ok,19-09-2025 13:00:00,1758267000,841.30,841.45,839.45,839.60,839.31,357,0,37586,0
Ok,19-09-2025 12:55:00,1758266700,840.80,842.45,839.95,841.30,840.96,442,0,37229,0
Ok,19-09-2025 12:50:00,1758266400,841.00,841.50,839.05,841.10,840.34,346,0,36787,0
Ok,19-09-2025 12:45:00,1758266100,840.75,841.65,839.55,840.40,840.58,550,0,36441,0
Ok,19-09-2025 12:40:00,1758265800,842.00,842.60,839.65,839.70,841.90,1924,0,35891,0
Ok,19-09-2025 12:35:00,1758265500,840.85,842.90,840.05,841.35,840.02,365,0,33967,0
Ok,19-09-2025 12:30:00,1758265200,841.30,841.30,838.80,839.85,840.45,488,0,33602,0
Ok,19-09-2025 12:25:00,1758264900,839.50,844.35,839.50,840.75,842.36,3588,0,33114,0
Ok,19-09-2025 12:20:00,1758264600,839.65,840.00,839.10,840.00,839.45,378,0,29526,0
Ok,19-09-2025 12:15:00,1758264300,838.85,840.05,838.75,839.90,839.46,360,0,29148,0
Ok,19-09-2025 12:10:00,1758264000,839.80,841.00,838.40,840.15,840.31,1002,0,28788,0
Ok,19-09-2025 12:05:00,1758263700,839.85,840.95,839.35,840.90,840.06,372,0,27786,0
Ok,19-09-2025 12:00:00,1758263400,840.45,841.40,839.60,841.00,840.60,268,0,27414,0
Ok,19-09-2025 11:55:00,1758263100,840.90,842.00,840.00,840.80,840.62,513,0,27146,0
Ok,19-09-2025 11:50:00,1758262800,840.55,841.85,839.75,840.90,840.25,597,0,26633,0
Ok,19-09-2025 11:45:00,1758262500,842.00,843.65,840.00,841.35,841.67,787,0,26036,0
Ok,19-09-2025 11:40:00,1758262200,841.55,842.70,841.30,842.55,842.42,247,0,25249,0
Ok,19-09-2025 11:35:00,1758261900,841.55,842.05,841.15,842.05,841.47,314,0,25002,0
Ok,19-09-2025 11:30:00,1758261600,840.80,842.35,840.80,842.20,841.28,326,0,24688,0
Ok,19-09-2025 11:25:00,1758261300,841.45,841.85,839.75,840.95,840.84,370,0,24362,0
