stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,112.35,112.39,112.01,112.20,112.21,13348,0,273970,0
Ok,19-09-2025 15:20:00,1758275400,112.26,112.39,112.26,112.39,112.41,11819,0,260622,0
Ok,19-09-2025 15:15:00,1758275100,112.33,112.35,112.02,112.30,112.20,13189,0,248803,0
Ok,19-09-2025 15:10:00,1758274800,112.39,112.40,112.12,112.35,112.32,17739,0,235614,0
Ok,19-09-2025 15:05:00,1758274500,112.40,112.40,112.23,112.35,112.42,8847,0,217875,0
Ok,19-09-2025 15:00:00,1758274200,112.00,112.35,111.91,112.31,112.18,10968,0,209028,0
Ok,19-09-2025 14:55:00,1758273900,112.00,112.03,111.91,112.03,112.18,2405,0,198060,0
Ok,19-09-2025 14:50:00,1758273600,111.95,111.99,111.81,111.99,112.18,798,0,195655,0
Ok,19-09-2025 14:45:00,1758273300,111.97,111.97,111.77,111.94,112.18,1568,0,194857,0
Ok,19-09-2025 14:40:00,1758273000,111.72,111.84,111.69,111.80,111.59,3282,0,193289,0
Ok,19-09-2025 14:35:00,1758272700,111.73,111.91,111.71,111.86,112.19,1341,0,190007,0
Ok,19-09-2025 14:30:00,1758272400,111.86,111.96,111.70,111.80,111.29,2100,0,188666,0
Ok,19-09-2025 14:25:00,1758272100,111.86,111.99,111.86,111.88,112.20,605,0,186566,0
Ok,19-09-2025 14:20:00,1758271800,111.99,111.99,111.86,111.86,112.20,1470,0,185961,0
Ok,19-09-2025 14:15:00,1758271500,111.90,111.99,111.90,111.99,112.20,43,0,184491,0
Ok,19-09-2025 14:10:00,1758271200,111.95,111.99,111.95,111.99,112.20,222,0,184448,0
Ok,19-09-2025 14:05:00,1758270900,111.90,111.99,111.90,111.99,112.20,170,0,184226,0
Ok,19-09-2025 14:00:00,1758270600,111.97,111.99,111.85,111.90,112.20,665,0,184056,0
Ok,19-09-2025 13:55:00,1758270300,111.98,111.98,111.83,111.83,111.51,2653,0,183391,0
Ok,19-09-2025 13:50:00,1758270000,111.99,111.99,111.90,111.90,112.21,775,0,180738,0
