stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,114.94,114.94,114.11,114.11,114.20,4685,0,495871,0
Ok,19-09-2025 15:20:00,1758275400,114.43,114.94,114.41,114.94,114.20,1570,0,491186,0
Ok,19-09-2025 15:15:00,1758275100,114.80,114.99,114.50,114.79,114.78,8172,0,489616,0
Ok,19-09-2025 15:10:00,1758274800,114.50,114.89,114.50,114.85,114.19,14445,0,481444,0
Ok,19-09-2025 15:05:00,1758274500,114.00,114.77,114.00,114.21,114.19,61063,0,466999,0
Ok,19-09-2025 15:00:00,1758274200,114.21,114.66,114.00,114.01,114.06,56079,0,405936,0
Ok,19-09-2025 14:55:00,1758273900,114.16,114.55,114.00,114.35,114.11,63776,0,349857,0
Ok,19-09-2025 14:50:00,1758273600,114.01,114.46,114.00,114.19,114.06,57248,0,286081,0
Ok,19-09-2025 14:45:00,1758273300,113.93,114.00,113.93,114.00,114.27,30,0,228833,0
Ok,19-09-2025 14:40:00,1758273000,113.99,114.00,113.93,113.93,114.27,1866,0,228803,0
Ok,19-09-2025 14:35:00,1758272700,114.20,114.49,113.99,113.99,113.97,27074,0,226937,0
Ok,19-09-2025 14:30:00,1758272400,114.00,114.00,113.96,114.00,114.31,6353,0,199863,0
Ok,19-09-2025 14:25:00,1758272100,114.00,114.00,113.96,114.00,114.31,181,0,193510,0
Ok,19-09-2025 14:20:00,1758271800,114.00,114.00,114.00,114.00,114.31,505,0,193329,0
Ok,19-09-2025 14:15:00,1758271500,114.05,114.05,114.00,114.00,114.31,50,0,192824,0
Ok,19-09-2025 14:10:00,1758271200,114.00,114.05,113.96,114.05,113.91,13782,0,192774,0
Ok,19-09-2025 14:05:00,1758270900,113.96,114.00,113.96,114.00,114.34,291,0,178992,0
Ok,19-09-2025 14:00:00,1758270600,114.00,114.00,113.96,113.96,114.34,1986,0,178701,0
Ok,19-09-2025 13:55:00,1758270300,114.00,114.00,114.00,114.00,0.00,0,0,176715,0
Ok,19-09-2025 13:50:00,1758270000,114.00,114.00,114.00,114.00,114.34,500,0,176715,0
Ok,19-09-2025 13:45:00,1758269700,114.00,114.00,114.00,114.00,112.32,870,0,176215,0
Ok,19-09-2025 13:40:00,1758269400,114.00,114.00,113.95,114.00,114.35,476,0,175345,0
Ok,19-09-2025 13:35:00,1758269100,114.00,114.05,113.89,114.00,114.35,1422,0,174869,0
Ok,19-09-2025 13:30:00,1758268800,114.00,114.00,114.00,114.00,114.35,1,0,173447,0
Ok,19-09-2025 13:25:00,1758268500,114.00,114.00,114.00,114.00,114.35,1489,0,173446,0
Ok,19-09-2025 13:20:00,1758268200,113.99,114.09,113.88,114.06,112.94,2425,0,171957,0
Ok,19-09-2025 13:15:00,1758267900,114.00,114.09,114.00,114.00,114.37,3721,0,169532,0
Ok,19-09-2025 13:10:00,1758267600,114.00,114.12,113.97,114.00,114.37,2508,0,165811,0
Ok,19-09-2025 13:05:00,1758267300,114.00,114.00,114.00,114.00,113.33,1571,0,163303,0
Ok,19-09-2025 13:00:00,1758267000,114.00,114.00,113.90,114.00,114.38,1884,0,161732,0
Ok,19-09-2025 12:55:00,1758266700,114.12,114.12,114.00,114.00,114.38,134,0,159848,0
Ok,19-09-2025 12:50:00,1758266400,113.99,114.12,113.99,114.12,114.38,1196,0,159714,0
Ok,19-09-2025 12:45:00,1758266100,114.00,114.00,113.99,114.00,114.38,218,0,158518,0
Ok,19-09-2025 12:40:00,1758265800,113.99,114.00,113.99,114.00,113.59,2000,0,158300,0
Ok,19-09-2025 12:35:00,1758265500,113.84,113.84,113.84,113.84,114.39,500,0,156300,0
Ok,19-09-2025 12:30:00,1758265200,113.98,113.98,113.82,113.84,114.39,229,0,155800,0
Ok,19-09-2025 12:25:00,1758264900,113.91,114.00,113.91,113.98,114.00,3951,0,155571,0
Ok,19-09-2025 12:20:00,1758264600,113.91,114.12,113.91,114.00,113.65,2020,0,151620,0
Ok,19-09-2025 12:15:00,1758264300,114.06,114.31,113.91,113.91,114.03,3934,0,149600,0
Ok,19-09-2025 12:10:00,1758264000,114.00,114.20,114.00,114.13,114.02,10333,0,145666,0
Ok,19-09-2025 12:05:00,1758263700,114.18,114.28,114.02,114.02,114.18,9538,0,135333,0
Ok,19-09-2025 12:00:00,1758263400,114.00,114.28,114.00,114.28,114.04,5658,0,125795,0
Ok,19-09-2025 11:55:00,1758263100,114.01,114.50,114.00,114.50,114.49,1000,0,120137,0
Ok,19-09-2025 11:50:00,1758262800,114.01,114.01,114.01,114.01,0.00,0,0,119137,0
Ok,19-09-2025 11:45:00,1758262500,113.82,114.01,113.82,114.01,113.50,1200,0,119137,0
Ok,19-09-2025 11:40:00,1758262200,113.84,113.84,113.84,113.84,0.00,0,0,117937,0
Ok,19-09-2025 11:35:00,1758261900,113.99,114.00,113.84,113.84,113.74,1551,0,117937,0
Ok,19-09-2025 11:30:00,1758261600,113.98,114.02,113.83,114.00,114.08,2719,0,116386,0
Ok,19-09-2025 11:25:00,1758261300,113.98,113.98,113.98,113.98,114.52,100,0,113667,0
Ok,19-09-2025 11:20:00,1758261000,113.96,113.98,113.80,113.98,114.52,161,0,113567,0
Ok,19-09-2025 11:15:00,1758260700,113.78,113.96,113.78,113.96,113.80,6018,0,113406,0
Ok,19-09-2025 11:10:00,1758260400,113.50,113.73,113.50,113.64,113.52,5937,0,107388,0
Ok,19-09-2025 11:05:00,1758260100,114.00,114.00,113.70,113.70,114.05,1770,0,101451,0
Ok,19-09-2025 11:00:00,1758259800,114.10,114.23,114.00,114.00,113.99,8652,0,99681,0
Ok,19-09-2025 10:55:00,1758259500,114.00,114.26,114.00,114.11,114.05,7988,0,91029,0
Ok,19-09-2025 10:50:00,1758259200,113.85,113.90,113.85,113.90,107.13,109,0,83041,0
Ok,19-09-2025 10:45:00,1758258900,114.00,114.00,114.00,114.00,114.02,1128,0,82932,0
Ok,19-09-2025 10:40:00,1758258600,113.95,114.15,113.95,114.00,114.77,627,0,81804,0
Ok,19-09-2025 10:35:00,1758258300,114.03,114.31,114.00,114.10,114.16,6297,0,81177,0
Ok,19-09-2025 10:30:00,1758258000,114.32,114.32,113.81,113.81,114.11,17355,0,74880,0
Ok,19-09-2025 10:25:00,1758257700,114.60,114.60,114.30,114.30,114.44,9798,0,57525,0
Ok,19-09-2025 10:20:00,1758257400,114.69,114.69,114.60,114.60,114.84,1500,0,47727,0
Ok,19-09-2025 10:15:00,1758257100,114.59,114.69,114.59,114.69,114.43,1250,0,46227,0
Ok,19-09-2025 10:10:00,1758256800,114.60,114.70,114.47,114.51,114.64,834,0,44977,0
Ok,19-09-2025 10:05:00,1758256500,114.48,114.70,114.48,114.60,114.76,2020,0,44143,0
Ok,19-09-2025 10:00:00,1758256200,114.62,114.76,114.39,114.48,113.86,923,0,42123,0
Ok,19-09-2025 09:55:00,1758255900,114.97,114.97,114.61,114.61,114.99,1639,0,41200,0
Ok,19-09-2025 09:50:00,1758255600,114.97,114.97,114.85,114.96,114.60,604,0,39561,0
Ok,19-09-2025 09:45:00,1758255300,115.00,115.00,114.90,114.97,115.06,1864,0,38957,0
Ok,19-09-2025 09:40:00,1758255000,115.42,115.42,115.00,115.00,115.07,4903,0,37093,0
Ok,19-09-2025 09:35:00,1758254700,115.59,115.70,115.41,115.47,115.61,1903,0,32190,0
Ok,19-09-2025 09:30:00,1758254400,115.60,115.71,115.50,115.51,115.52,5086,0,30287,0
Ok,19-09-2025 09:25:00,1758254100,115.47,115.94,115.47,115.60,115.67,1067,0,25201,0
Ok,19-09-2025 09:20:00,1758253800,115.03,115.67,115.03,115.67,115.67,1458,0,24134,0
Ok,19-09-2025 09:15:00,1758253500,115.90,117.99,114.31,115.03,115.17,22676,0,22676,0
