stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,278.45,279.65,278.45,278.80,278.63,159744,0,2714029,0
Ok,19-09-2025 15:20:00,1758275400,278.55,278.55,278.45,278.50,278.47,179146,0,2554285,0
Ok,19-09-2025 15:15:00,1758275100,278.35,278.65,278.30,278.50,278.47,174590,0,2375139,0
Ok,19-09-2025 15:10:00,1758274800,278.35,278.45,278.10,278.45,278.34,169492,0,2200549,0
Ok,19-09-2025 15:05:00,1758274500,278.10,278.55,278.05,278.45,278.28,187958,0,2031057,0
Ok,19-09-2025 15:00:00,1758274200,278.40,278.55,278.10,278.15,278.27,220622,0,1843099,0
Ok,19-09-2025 14:55:00,1758273900,278.50,278.60,278.25,278.30,278.20,48765,0,1622477,0
Ok,19-09-2025 14:50:00,1758273600,278.45,278.45,278.30,278.40,278.54,28472,0,1573712,0
Ok,19-09-2025 14:45:00,1758273300,278.55,278.60,278.35,278.45,278.54,22171,0,1545240,0
Ok,19-09-2025 14:40:00,1758273000,278.40,278.60,278.35,278.60,278.54,31359,0,1523069,0
Ok,19-09-2025 14:35:00,1758272700,278.40,278.45,278.15,278.25,277.65,16736,0,1491710,0
Ok,19-09-2025 14:30:00,1758272400,278.15,278.45,278.15,278.45,278.55,20246,0,1474974,0
Ok,19-09-2025 14:25:00,1758272100,278.05,278.10,278.00,278.10,277.95,24276,0,1454728,0
Ok,19-09-2025 14:20:00,1758271800,278.30,278.30,278.05,278.10,277.87,20463,0,1430452,0
Ok,19-09-2025 14:15:00,1758271500,278.35,278.45,278.20,278.35,278.57,21063,0,1409989,0
Ok,19-09-2025 14:10:00,1758271200,278.30,278.40,278.25,278.35,278.57,20414,0,1388926,0
Ok,19-09-2025 14:05:00,1758270900,278.55,278.55,278.25,278.40,278.04,25590,0,1368512,0
Ok,19-09-2025 14:00:00,1758270600,278.50,278.55,278.35,278.50,278.58,15814,0,1342922,0
Ok,19-09-2025 13:55:00,1758270300,278.50,278.70,278.35,278.35,278.58,21143,0,1327108,0
Ok,19-09-2025 13:50:00,1758270000,278.55,278.60,278.35,278.45,278.58,20732,0,1305965,0
Ok,19-09-2025 13:45:00,1758269700,278.85,278.90,278.55,278.60,278.58,16980,0,1285233,0
Ok,19-09-2025 13:40:00,1758269400,278.95,279.05,278.75,278.90,279.17,20902,0,1268253,0
Ok,19-09-2025 13:35:00,1758269100,279.15,279.30,278.90,279.05,279.12,21879,0,1247351,0
Ok,19-09-2025 13:30:00,1758268800,279.05,279.25,279.00,279.25,279.17,19560,0,1225472,0
Ok,19-09-2025 13:25:00,1758268500,279.00,279.00,278.75,279.00,278.55,16629,0,1205912,0
Ok,19-09-2025 13:20:00,1758268200,278.95,279.00,278.80,278.95,279.08,21564,0,1189283,0
Ok,19-09-2025 13:15:00,1758267900,278.85,279.10,278.80,279.00,278.54,17706,0,1167719,0
Ok,19-09-2025 13:10:00,1758267600,279.00,279.10,278.80,279.05,279.17,17795,0,1150013,0
Ok,19-09-2025 13:05:00,1758267300,279.10,279.20,278.75,278.75,279.40,12830,0,1132218,0
Ok,19-09-2025 13:00:00,1758267000,279.05,279.45,279.05,279.30,279.09,37220,0,1119388,0
Ok,19-09-2025 12:55:00,1758266700,278.85,278.95,278.65,278.95,278.50,18045,0,1082168,0
Ok,19-09-2025 12:50:00,1758266400,278.60,278.95,278.50,278.75,278.99,21125,0,1064123,0
Ok,19-09-2025 12:45:00,1758266100,278.75,278.75,278.40,278.50,278.49,7453,0,1042998,0
Ok,19-09-2025 12:40:00,1758265800,278.55,278.90,278.55,278.70,278.83,28583,0,1035545,0
Ok,19-09-2025 12:35:00,1758265500,278.55,278.60,278.35,278.60,278.48,15807,0,1006962,0
Ok,19-09-2025 12:30:00,1758265200,278.75,278.80,278.45,278.60,278.48,12132,0,991155,0
Ok,19-09-2025 12:25:00,1758264900,278.60,278.90,278.60,278.80,278.48,19272,0,979023,0
Ok,19-09-2025 12:20:00,1758264600,278.60,278.70,278.55,278.70,279.13,14332,0,959751,0
Ok,19-09-2025 12:15:00,1758264300,278.65,278.85,278.60,278.70,278.47,15331,0,945419,0
Ok,19-09-2025 12:10:00,1758264000,278.50,278.60,278.50,278.60,278.47,12455,0,930088,0
Ok,19-09-2025 12:05:00,1758263700,278.30,278.40,278.15,278.40,278.47,16968,0,917633,0
Ok,19-09-2025 12:00:00,1758263400,278.25,278.35,278.20,278.30,278.47,7248,0,900665,0
Ok,19-09-2025 11:55:00,1758263100,278.40,278.40,278.10,278.35,277.89,15292,0,893417,0
Ok,19-09-2025 11:50:00,1758262800,278.50,278.55,278.25,278.30,278.48,15467,0,878125,0
Ok,19-09-2025 11:45:00,1758262500,278.60,278.85,278.50,278.55,278.79,26441,0,862658,0
Ok,19-09-2025 11:40:00,1758262200,278.70,278.75,278.55,278.75,278.47,12099,0,836217,0
Ok,19-09-2025 11:35:00,1758261900,278.65,278.90,278.50,278.75,278.47,15908,0,824118,0
Ok,19-09-2025 11:30:00,1758261600,279.00,279.10,278.50,278.50,279.25,10112,0,808210,0
Ok,19-09-2025 11:25:00,1758261300,278.95,279.25,278.85,279.10,279.09,24199,0,798098,0
Ok,19-09-2025 11:20:00,1758261000,278.00,278.85,278.00,278.85,278.20,31155,0,773899,0
Ok,19-09-2025 11:15:00,1758260700,278.05,278.15,277.95,278.15,278.45,14889,0,742744,0
Ok,19-09-2025 11:10:00,1758260400,278.25,278.25,278.00,278.10,277.74,10225,0,727855,0
Ok,19-09-2025 11:05:00,1758260100,278.10,278.30,278.00,278.20,278.01,15787,0,717630,0
Ok,19-09-2025 11:00:00,1758259800,278.40,278.45,278.15,278.20,278.47,10692,0,701843,0
Ok,19-09-2025 10:55:00,1758259500,278.55,278.70,278.50,278.50,278.77,22142,0,691151,0
Ok,19-09-2025 10:50:00,1758259200,278.25,278.70,278.20,278.65,278.46,20969,0,669009,0
Ok,19-09-2025 10:45:00,1758258900,278.10,278.30,278.00,278.15,278.09,17280,0,648040,0
Ok,19-09-2025 10:40:00,1758258600,278.05,278.15,277.95,278.05,278.01,26658,0,630760,0
Ok,19-09-2025 10:35:00,1758258300,278.15,278.25,278.00,278.10,278.02,12627,0,604102,0
Ok,19-09-2025 10:30:00,1758258000,278.45,278.55,278.10,278.25,278.26,24320,0,591475,0
Ok,19-09-2025 10:25:00,1758257700,278.20,278.70,278.20,278.50,278.51,36651,0,567155,0
Ok,19-09-2025 10:20:00,1758257400,278.25,278.30,278.10,278.30,278.22,18019,0,530504,0
Ok,19-09-2025 10:15:00,1758257100,278.25,278.35,277.95,278.15,278.09,23334,0,512485,0
Ok,19-09-2025 10:10:00,1758256800,278.15,278.35,278.10,278.15,278.34,23878,0,489151,0
Ok,19-09-2025 10:05:00,1758256500,278.30,278.30,278.10,278.20,278.06,18722,0,465273,0
Ok,19-09-2025 10:00:00,1758256200,277.95,278.25,277.80,278.25,277.92,49128,0,446551,0
Ok,19-09-2025 09:55:00,1758255900,278.40,278.40,277.80,277.85,278.10,66802,0,397423,0
Ok,19-09-2025 09:50:00,1758255600,278.60,278.75,278.30,278.45,278.47,31965,0,330621,0
Ok,19-09-2025 09:45:00,1758255300,278.75,279.10,278.50,278.70,278.86,36819,0,298656,0
Ok,19-09-2025 09:40:00,1758255000,278.55,279.50,278.45,278.80,278.86,67787,0,261837,0
Ok,19-09-2025 09:35:00,1758254700,278.60,278.75,278.50,278.60,278.60,24172,0,194050,0
Ok,19-09-2025 09:30:00,1758254400,278.80,278.90,278.50,278.50,278.74,49104,0,169878,0
Ok,19-09-2025 09:25:00,1758254100,278.10,278.95,278.05,278.90,278.36,27180,0,120774,0
Ok,19-09-2025 09:20:00,1758253800,278.95,279.15,278.05,278.20,278.53,56563,0,93594,0
Ok,19-09-2025 09:15:00,1758253500,279.20,279.80,279.00,279.00,279.44,37031,0,37031,0
