stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,680.05,681.00,679.00,680.00,680.27,11239,0,332729,0
Ok,19-09-2025 15:20:00,1758275400,680.10,681.00,678.15,680.00,679.84,12471,0,321490,0
Ok,19-09-2025 15:15:00,1758275100,663.25,685.50,663.25,680.05,674.04,23033,0,309019,0
Ok,19-09-2025 15:10:00,1758274800,662.40,663.00,660.15,661.70,662.14,2558,0,285986,0
Ok,19-09-2025 15:05:00,1758274500,663.35,665.00,661.30,662.60,663.56,2690,0,283428,0
Ok,19-09-2025 15:00:00,1758274200,662.10,665.90,661.65,664.10,664.22,2724,0,280738,0
Ok,19-09-2025 14:55:00,1758273900,654.30,662.75,654.00,662.75,657.80,3232,0,278014,0
Ok,19-09-2025 14:50:00,1758273600,655.60,655.60,653.80,654.00,655.03,843,0,274782,0
Ok,19-09-2025 14:45:00,1758273300,654.85,655.80,654.50,655.60,660.33,320,0,273939,0
Ok,19-09-2025 14:40:00,1758273000,654.25,654.85,653.45,654.50,651.77,139,0,273619,0
Ok,19-09-2025 14:35:00,1758272700,654.50,654.50,654.00,654.20,651.77,204,0,273480,0
Ok,19-09-2025 14:30:00,1758272400,653.90,654.75,653.90,654.75,651.77,42,0,273276,0
Ok,19-09-2025 14:25:00,1758272100,655.90,657.50,653.30,653.90,655.24,3102,0,273234,0
Ok,19-09-2025 14:20:00,1758271800,656.50,657.00,655.05,655.70,655.70,1351,0,270132,0
Ok,19-09-2025 14:15:00,1758271500,656.60,657.10,656.50,656.85,651.71,101,0,268781,0
Ok,19-09-2025 14:10:00,1758271200,657.10,657.10,656.30,656.30,656.48,561,0,268680,0
Ok,19-09-2025 14:05:00,1758270900,658.55,658.55,656.20,656.20,657.40,937,0,268119,0
Ok,19-09-2025 14:00:00,1758270600,657.50,659.15,657.50,658.70,664.86,606,0,267182,0
Ok,19-09-2025 13:55:00,1758270300,658.00,658.35,657.50,657.50,651.65,323,0,266576,0
Ok,19-09-2025 13:50:00,1758270000,658.55,658.65,657.60,657.60,651.65,368,0,266253,0
Ok,19-09-2025 13:45:00,1758269700,659.00,659.50,658.85,658.90,664.82,604,0,265885,0
Ok,19-09-2025 13:40:00,1758269400,660.45,660.45,658.90,658.90,656.66,525,0,265281,0
Ok,19-09-2025 13:35:00,1758269100,662.65,662.70,660.00,660.45,659.64,657,0,264756,0
Ok,19-09-2025 13:30:00,1758268800,666.00,666.00,662.70,662.70,664.00,1270,0,264099,0
Ok,19-09-2025 13:25:00,1758268500,664.40,665.65,663.05,664.05,665.08,1542,0,262829,0
Ok,19-09-2025 13:20:00,1758268200,665.50,667.00,664.95,664.95,665.25,2992,0,261287,0
Ok,19-09-2025 13:15:00,1758267900,664.55,666.95,664.25,665.45,665.70,1779,0,258295,0
Ok,19-09-2025 13:10:00,1758267600,663.00,666.95,661.80,666.90,664.54,5633,0,256516,0
Ok,19-09-2025 13:05:00,1758267300,665.35,666.00,662.55,663.75,664.71,6366,0,250883,0
Ok,19-09-2025 13:00:00,1758267000,663.40,666.00,660.05,666.00,663.42,8947,0,244517,0
Ok,19-09-2025 12:55:00,1758266700,651.35,662.70,651.35,661.35,657.99,8552,0,235570,0
Ok,19-09-2025 12:50:00,1758266400,651.35,651.40,651.00,651.35,651.62,1196,0,227018,0
Ok,19-09-2025 12:45:00,1758266100,651.20,651.45,650.65,651.40,651.02,1732,0,225822,0
Ok,19-09-2025 12:40:00,1758265800,649.20,651.35,649.05,650.60,649.98,201822,0,224090,0
Ok,19-09-2025 12:35:00,1758265500,648.75,650.95,648.40,649.25,650.10,1773,0,22268,0
Ok,19-09-2025 12:30:00,1758265200,649.05,649.05,648.15,648.75,649.13,461,0,20495,0
Ok,19-09-2025 12:25:00,1758264900,648.90,649.25,648.50,648.55,647.61,283,0,20034,0
Ok,19-09-2025 12:20:00,1758264600,649.15,649.15,648.90,648.90,660.06,15,0,19751,0
Ok,19-09-2025 12:15:00,1758264300,648.85,649.15,648.85,649.15,646.90,53,0,19736,0
Ok,19-09-2025 12:10:00,1758264000,649.85,649.85,648.20,648.85,648.94,283,0,19683,0
Ok,19-09-2025 12:05:00,1758263700,650.20,650.85,649.85,650.20,650.74,198,0,19400,0
Ok,19-09-2025 12:00:00,1758263400,650.55,650.80,650.20,650.20,648.83,95,0,19202,0
Ok,19-09-2025 11:55:00,1758263100,650.55,650.55,650.20,650.55,656.36,20,0,19107,0
Ok,19-09-2025 11:50:00,1758262800,650.55,650.55,650.55,650.55,646.81,16,0,19087,0
Ok,19-09-2025 11:45:00,1758262500,650.05,651.50,650.05,650.55,649.90,183,0,19071,0
Ok,19-09-2025 11:40:00,1758262200,649.70,652.40,649.05,651.25,651.12,629,0,18888,0
Ok,19-09-2025 11:35:00,1758261900,649.45,649.85,649.05,649.80,648.90,159,0,18259,0
Ok,19-09-2025 11:30:00,1758261600,649.00,649.45,649.00,649.45,649.69,345,0,18100,0
Ok,19-09-2025 11:25:00,1758261300,649.15,649.15,649.15,649.15,646.55,35,0,17755,0
Ok,19-09-2025 11:20:00,1758261000,649.15,649.15,649.15,649.15,650.96,40,0,17720,0
Ok,19-09-2025 11:15:00,1758260700,648.15,649.25,648.15,649.20,648.81,154,0,17680,0
Ok,19-09-2025 11:10:00,1758260400,648.30,648.90,648.00,648.90,646.52,40,0,17526,0
