stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,240.30,244.00,240.10,243.50,242.69,44742,0,716845,0
Ok,19-09-2025 15:20:00,1758275400,240.30,242.63,240.00,240.51,241.24,50563,0,672103,0
Ok,19-09-2025 15:15:00,1758275100,239.25,240.50,239.25,240.05,240.11,18117,0,621540,0
Ok,19-09-2025 15:10:00,1758274800,239.84,240.00,238.81,239.22,239.47,41602,0,603423,0
Ok,19-09-2025 15:05:00,1758274500,237.81,239.90,237.57,239.63,238.61,26220,0,561821,0
Ok,19-09-2025 15:00:00,1758274200,237.50,237.72,236.91,237.72,237.54,6690,0,535601,0
Ok,19-09-2025 14:55:00,1758273900,238.15,238.15,237.35,237.49,237.54,8885,0,528911,0
Ok,19-09-2025 14:50:00,1758273600,237.55,238.04,237.49,237.50,237.54,6064,0,520026,0
Ok,19-09-2025 14:45:00,1758273300,237.31,237.82,237.08,237.76,237.54,2489,0,513962,0
Ok,19-09-2025 14:40:00,1758273000,237.80,238.08,237.20,237.20,238.72,4271,0,511473,0
Ok,19-09-2025 14:35:00,1758272700,237.69,238.09,237.55,237.90,237.53,2006,0,507202,0
Ok,19-09-2025 14:30:00,1758272400,237.51,238.17,237.04,237.87,237.53,5446,0,505196,0
Ok,19-09-2025 14:25:00,1758272100,237.35,237.68,237.09,237.26,237.53,1634,0,499750,0
Ok,19-09-2025 14:20:00,1758271800,236.52,237.51,236.38,237.04,237.53,2571,0,498116,0
Ok,19-09-2025 14:15:00,1758271500,237.06,237.06,236.66,236.88,237.53,116,0,495545,0
Ok,19-09-2025 14:10:00,1758271200,237.06,237.06,237.06,237.06,0.00,0,0,495429,0
Ok,19-09-2025 14:05:00,1758270900,237.27,237.27,236.50,237.06,234.71,1755,0,495429,0
Ok,19-09-2025 14:00:00,1758270600,237.07,237.45,236.95,237.27,237.54,2028,0,493674,0
Ok,19-09-2025 13:55:00,1758270300,237.81,237.81,237.15,237.15,237.54,1536,0,491646,0
Ok,19-09-2025 13:50:00,1758270000,237.61,238.30,237.61,237.89,237.54,3110,0,490110,0
Ok,19-09-2025 13:45:00,1758269700,237.00,237.90,237.00,237.86,237.54,2254,0,487000,0
Ok,19-09-2025 13:40:00,1758269400,237.86,237.86,237.02,237.50,237.54,1181,0,484746,0
Ok,19-09-2025 13:35:00,1758269100,237.70,237.86,237.26,237.48,237.54,512,0,483565,0
Ok,19-09-2025 13:30:00,1758268800,237.90,237.90,237.25,237.43,237.54,2415,0,483053,0
Ok,19-09-2025 13:25:00,1758268500,236.85,237.40,236.70,237.40,237.54,3054,0,480638,0
Ok,19-09-2025 13:20:00,1758268200,236.75,236.88,236.54,236.83,237.54,1960,0,477584,0
Ok,19-09-2025 13:15:00,1758267900,237.00,237.00,236.75,236.75,233.90,1307,0,475624,0
Ok,19-09-2025 13:10:00,1758267600,236.73,237.16,236.73,237.16,236.51,4572,0,474317,0
Ok,19-09-2025 13:05:00,1758267300,237.14,237.41,236.70,236.73,237.56,2597,0,469745,0
Ok,19-09-2025 13:00:00,1758267000,236.52,237.01,236.51,237.01,237.56,1710,0,467148,0
Ok,19-09-2025 12:55:00,1758266700,237.14,237.14,236.00,236.52,236.69,5315,0,465438,0
Ok,19-09-2025 12:50:00,1758266400,236.59,236.94,236.35,236.93,237.57,796,0,460123,0
Ok,19-09-2025 12:45:00,1758266100,236.50,236.92,236.28,236.46,236.51,4346,0,459327,0
Ok,19-09-2025 12:40:00,1758265800,237.39,237.39,236.43,236.43,236.80,5807,0,454981,0
Ok,19-09-2025 12:35:00,1758265500,237.31,237.39,237.13,237.39,237.59,1064,0,449174,0
Ok,19-09-2025 12:30:00,1758265200,237.29,237.51,237.08,237.50,237.59,1667,0,448110,0
Ok,19-09-2025 12:25:00,1758264900,238.00,239.40,237.39,237.54,238.49,23240,0,446443,0
Ok,19-09-2025 12:20:00,1758264600,235.81,237.91,235.69,237.74,237.17,11431,0,423203,0
Ok,19-09-2025 12:15:00,1758264300,236.16,236.16,235.00,235.80,235.68,6543,0,411772,0
Ok,19-09-2025 12:10:00,1758264000,236.30,236.58,236.30,236.49,237.58,1542,0,405229,0
Ok,19-09-2025 12:05:00,1758263700,235.50,236.31,235.50,236.30,235.95,2472,0,403687,0
Ok,19-09-2025 12:00:00,1758263400,235.78,235.87,235.51,235.56,237.59,215,0,401215,0
Ok,19-09-2025 11:55:00,1758263100,235.77,235.78,235.77,235.78,0.00,0,0,401000,0
Ok,19-09-2025 11:50:00,1758262800,235.79,235.79,235.76,235.77,237.59,114,0,401000,0
Ok,19-09-2025 11:45:00,1758262500,235.90,235.90,234.59,235.79,235.54,11468,0,400886,0
Ok,19-09-2025 11:40:00,1758262200,236.10,236.42,236.09,236.34,237.65,695,0,389418,0
Ok,19-09-2025 11:35:00,1758261900,236.00,236.50,236.00,236.42,234.85,2766,0,388723,0
Ok,19-09-2025 11:30:00,1758261600,236.44,236.49,236.00,236.11,237.67,1343,0,385957,0
Ok,19-09-2025 11:25:00,1758261300,236.16,236.88,235.71,236.24,235.25,4731,0,384614,0
Ok,19-09-2025 11:20:00,1758261000,236.79,236.97,236.50,236.50,237.70,2592,0,379883,0
Ok,19-09-2025 11:15:00,1758260700,238.51,238.52,236.57,236.57,237.69,17016,0,377291,0
Ok,19-09-2025 11:10:00,1758260400,239.65,239.92,238.42,238.56,239.29,13077,0,360275,0
Ok,19-09-2025 11:05:00,1758260100,238.63,239.75,238.20,239.75,238.58,7156,0,347198,0
Ok,19-09-2025 11:00:00,1758259800,238.02,240.36,238.02,238.42,239.43,39635,0,340042,0
Ok,19-09-2025 10:55:00,1758259500,237.98,238.30,237.52,237.63,237.38,4852,0,300407,0
Ok,19-09-2025 10:50:00,1758259200,237.87,238.87,237.56,237.98,238.48,7810,0,295555,0
Ok,19-09-2025 10:45:00,1758258900,236.01,240.17,236.00,237.98,238.88,61736,0,287745,0
