stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:29:00,1758275940,254.40,254.40,253.55,253.55,254.80,4294,0,631784,0
Ok,19-09-2025 15:28:00,1758275880,254.40,254.45,254.15,254.25,253.33,2039,0,627490,0
Ok,19-09-2025 15:27:00,1758275820,254.45,254.45,254.15,254.45,253.33,1675,0,625451,0
Ok,19-09-2025 15:26:00,1758275760,254.15,254.50,254.15,254.50,257.22,1598,0,623776,0
Ok,19-09-2025 15:25:00,1758275700,254.80,254.90,254.45,254.45,254.40,5696,0,622178,0
Ok,19-09-2025 15:24:00,1758275640,254.30,254.80,254.05,254.50,255.38,2961,0,616482,0
Ok,19-09-2025 15:23:00,1758275580,255.30,255.40,254.50,254.50,254.18,6833,0,613521,0
Ok,19-09-2025 15:22:00,1758275520,255.55,255.55,255.20,255.40,253.29,391,0,606688,0
Ok,19-09-2025 15:21:00,1758275460,255.15,255.60,255.10,255.60,256.67,1788,0,606297,0
Ok,19-09-2025 15:20:00,1758275400,255.40,255.45,255.10,255.30,255.63,2556,0,604509,0
Ok,19-09-2025 15:19:00,1758275340,255.75,255.80,255.35,255.50,256.52,1845,0,601953,0
Ok,19-09-2025 15:18:00,1758275280,255.35,255.75,255.20,255.45,254.46,4956,0,600108,0
Ok,19-09-2025 15:17:00,1758275220,255.55,255.60,255.25,255.60,257.21,1497,0,595152,0
Ok,19-09-2025 15:16:00,1758275160,255.60,255.60,255.10,255.20,253.24,1585,0,593655,0
Ok,19-09-2025 15:15:00,1758275100,255.85,255.85,255.45,255.80,257.50,1385,0,592070,0
Ok,19-09-2025 15:14:00,1758275040,255.50,255.80,255.45,255.50,255.05,3225,0,590685,0
Ok,19-09-2025 15:13:00,1758274980,255.85,256.15,255.55,255.55,256.15,3974,0,587460,0
Ok,19-09-2025 15:12:00,1758274920,256.70,256.80,256.00,256.00,256.78,4844,0,583486,0
Ok,19-09-2025 15:11:00,1758274860,255.45,256.85,255.00,256.65,255.73,4480,0,578642,0
Ok,19-09-2025 15:10:00,1758274800,254.30,255.30,254.30,255.25,254.76,7030,0,574162,0
Ok,19-09-2025 15:09:00,1758274740,254.55,254.70,254.35,254.60,253.13,1116,0,567132,0
Ok,19-09-2025 15:08:00,1758274680,254.30,254.45,254.10,254.25,255.37,2508,0,566016,0
Ok,19-09-2025 15:07:00,1758274620,254.20,254.50,254.10,254.15,253.12,2329,0,563508,0
Ok,19-09-2025 15:06:00,1758274560,255.50,255.50,254.15,254.30,254.70,3511,0,561179,0
Ok,19-09-2025 15:05:00,1758274500,256.95,256.95,255.45,255.95,256.11,47573,0,557668,0
Ok,19-09-2025 15:04:00,1758274440,253.10,254.00,253.00,253.50,254.32,6746,0,510095,0
Ok,19-09-2025 15:03:00,1758274380,252.85,253.20,252.85,253.20,252.81,1148,0,503349,0
Ok,19-09-2025 15:02:00,1758274320,253.00,253.25,253.00,253.05,252.81,176,0,502201,0
Ok,19-09-2025 15:01:00,1758274260,253.20,253.40,253.05,253.10,252.81,1326,0,502025,0
Ok,19-09-2025 15:00:00,1758274200,253.45,253.50,253.15,253.15,252.81,2362,0,500699,0
Ok,19-09-2025 14:59:00,1758274140,253.75,253.75,253.20,253.50,252.81,562,0,498337,0
