stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,19-09-2025 15:25:00,1758275700,314.55,315.00,314.50,314.95,314.73,2579,0,204391,0
Ok,19-09-2025 15:20:00,1758275400,314.50,315.00,314.50,315.00,312.81,575,0,201812,0
Ok,19-09-2025 15:15:00,1758275100,314.60,316.00,314.50,315.00,315.44,4453,0,201237,0
Ok,19-09-2025 15:10:00,1758274800,315.05,315.15,314.50,314.65,316.35,170,0,196784,0
Ok,19-09-2025 15:05:00,1758274500,315.35,316.00,314.50,314.95,313.88,793,0,196614,0
Ok,19-09-2025 15:00:00,1758274200,314.55,315.35,314.55,315.35,316.36,42,0,195821,0
Ok,19-09-2025 14:55:00,1758273900,315.90,315.90,314.55,314.55,315.94,4581,0,195779,0
Ok,19-09-2025 14:50:00,1758273600,316.45,316.45,316.10,316.10,316.37,52,0,191198,0
Ok,19-09-2025 14:45:00,1758273300,316.05,316.05,316.00,316.00,0.00,0,0,191146,0
Ok,19-09-2025 14:40:00,1758273000,316.90,316.90,316.05,316.05,316.37,91,0,191146,0
Ok,19-09-2025 14:35:00,1758272700,315.90,316.40,315.90,316.40,307.57,217,0,191055,0
Ok,19-09-2025 14:30:00,1758272400,314.90,315.90,314.90,315.90,316.38,550,0,190838,0
Ok,19-09-2025 14:25:00,1758272100,315.30,315.35,314.90,314.90,316.38,453,0,190288,0
Ok,19-09-2025 14:20:00,1758271800,315.00,315.40,314.95,314.95,316.38,123,0,189835,0
Ok,19-09-2025 14:15:00,1758271500,314.65,314.90,314.20,314.90,316.38,198,0,189712,0
Ok,19-09-2025 14:10:00,1758271200,314.20,314.65,314.20,314.65,316.38,10,0,189514,0
Ok,19-09-2025 14:05:00,1758270900,314.55,314.65,314.05,314.20,316.38,62,0,189504,0
Ok,19-09-2025 14:00:00,1758270600,314.15,315.00,314.05,314.05,316.38,125,0,189442,0
Ok,19-09-2025 13:55:00,1758270300,314.05,314.80,314.05,314.80,301.12,124,0,189317,0
Ok,19-09-2025 13:50:00,1758270000,315.55,315.60,314.05,314.05,315.32,1762,0,189193,0
Ok,19-09-2025 13:45:00,1758269700,314.85,314.95,314.85,314.95,316.40,241,0,187431,0
Ok,19-09-2025 13:40:00,1758269400,315.00,315.00,314.20,314.50,316.40,248,0,187190,0
Ok,19-09-2025 13:35:00,1758269100,316.05,316.75,314.00,315.00,315.10,2859,0,186942,0
Ok,19-09-2025 13:30:00,1758268800,318.30,318.50,315.50,316.25,316.42,1404,0,184083,0
Ok,19-09-2025 13:25:00,1758268500,319.00,319.00,317.30,318.40,318.04,3298,0,182679,0
Ok,19-09-2025 13:20:00,1758268200,317.60,321.50,316.65,319.15,319.11,26338,0,179381,0
Ok,19-09-2025 13:15:00,1758267900,315.85,318.50,314.35,318.25,316.37,20481,0,153043,0
Ok,19-09-2025 13:10:00,1758267600,313.90,316.65,313.40,315.90,315.34,29034,0,132562,0
Ok,19-09-2025 13:05:00,1758267300,316.55,317.85,314.00,314.60,315.84,31312,0,103528,0
Ok,19-09-2025 13:00:00,1758267000,317.90,318.00,314.00,316.00,315.93,41256,0,72216,0
Ok,19-09-2025 12:55:00,1758266700,315.25,317.70,315.25,317.30,316.55,8583,0,30960,0
Ok,19-09-2025 12:50:00,1758266400,315.00,315.60,314.70,315.25,315.00,3875,0,22377,0
Ok,19-09-2025 12:45:00,1758266100,314.95,315.00,314.95,314.95,315.01,3264,0,18502,0
Ok,19-09-2025 12:40:00,1758265800,314.95,314.95,314.85,314.95,314.54,151,0,15238,0
Ok,19-09-2025 12:35:00,1758265500,317.00,317.00,314.80,314.95,315.32,5424,0,15087,0
Ok,19-09-2025 12:30:00,1758265200,317.00,317.00,317.00,317.00,317.27,124,0,9663,0
Ok,19-09-2025 12:25:00,1758264900,317.15,317.15,317.15,317.15,0.00,0,0,9539,0
Ok,19-09-2025 12:20:00,1758264600,317.65,317.65,317.15,317.15,317.27,11,0,9539,0
Ok,19-09-2025 12:15:00,1758264300,318.00,318.00,317.05,317.65,317.27,177,0,9528,0
Ok,19-09-2025 12:10:00,1758264000,318.05,318.05,317.70,318.00,317.27,27,0,9351,0
Ok,19-09-2025 12:05:00,1758263700,317.85,318.05,317.85,318.05,317.95,263,0,9324,0
Ok,19-09-2025 12:00:00,1758263400,317.00,317.85,317.00,317.85,317.73,182,0,9061,0
Ok,19-09-2025 11:55:00,1758263100,316.95,317.00,316.95,317.00,316.33,97,0,8879,0
Ok,19-09-2025 11:50:00,1758262800,316.50,316.95,316.50,316.95,317.25,77,0,8782,0
Ok,19-09-2025 11:45:00,1758262500,317.35,317.35,316.55,316.55,317.25,32,0,8705,0
Ok,19-09-2025 11:40:00,1758262200,317.25,317.35,316.75,317.35,312.84,78,0,8673,0
Ok,19-09-2025 11:35:00,1758261900,317.55,317.55,317.25,317.25,317.29,117,0,8595,0
Ok,19-09-2025 11:30:00,1758261600,316.75,317.25,316.75,317.25,317.29,602,0,8478,0
Ok,19-09-2025 11:25:00,1758261300,316.70,316.75,316.70,316.75,0.00,0,0,7876,0
Ok,19-09-2025 11:20:00,1758261000,316.70,316.70,316.70,316.70,316.51,100,0,7876,0
Ok,19-09-2025 11:15:00,1758260700,316.85,317.15,316.70,316.70,316.60,110,0,7776,0
Ok,19-09-2025 11:10:00,1758260400,317.20,317.45,317.15,317.15,317.31,63,0,7666,0
Ok,19-09-2025 11:05:00,1758260100,316.85,317.15,316.85,316.85,317.31,44,0,7603,0
Ok,19-09-2025 11:00:00,1758259800,317.20,317.35,316.85,316.85,317.31,14,0,7559,0
Ok,19-09-2025 10:55:00,1758259500,316.85,317.20,316.75,317.20,316.88,176,0,7545,0
Ok,19-09-2025 10:50:00,1758259200,317.55,317.70,316.85,316.85,317.32,184,0,7369,0
