stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,22-09-2025 15:25:00,1758534900,129.18,129.39,129.02,129.33,129.07,24452,0,794697,0
Ok,22-09-2025 15:20:00,1758534600,129.20,129.28,129.08,129.19,129.02,20056,0,770245,0
Ok,22-09-2025 15:15:00,1758534300,129.15,129.25,129.00,129.18,128.95,16034,0,750189,0
Ok,22-09-2025 15:10:00,1758534000,129.24,129.25,129.08,129.25,129.42,16926,0,734155,0
Ok,22-09-2025 15:05:00,1758533700,129.25,129.36,129.20,129.31,129.42,4071,0,717229,0
Ok,22-09-2025 15:00:00,1758533400,129.40,129.46,129.23,129.34,129.42,6145,0,713158,0
Ok,22-09-2025 14:55:00,1758533100,129.47,129.47,129.28,129.34,129.42,6479,0,707013,0
Ok,22-09-2025 14:50:00,1758532800,129.44,129.49,129.20,129.48,129.42,13280,0,700534,0
Ok,22-09-2025 14:45:00,1758532500,129.43,129.70,129.27,129.45,129.42,20990,0,687254,0
Ok,22-09-2025 14:40:00,1758532200,129.52,129.55,129.32,129.47,129.41,12603,0,666264,0
Ok,22-09-2025 14:35:00,1758531900,129.81,129.81,129.44,129.54,129.42,2755,0,653661,0
Ok,22-09-2025 14:30:00,1758531600,129.55,129.96,129.32,129.90,129.42,19675,0,650906,0
Ok,22-09-2025 14:25:00,1758531300,129.71,129.71,129.40,129.42,129.42,7069,0,631231,0
Ok,22-09-2025 14:20:00,1758531000,129.65,129.80,129.58,129.62,130.37,6443,0,624162,0
Ok,22-09-2025 14:15:00,1758530700,129.66,129.66,129.47,129.61,129.41,4523,0,617719,0
Ok,22-09-2025 14:10:00,1758530400,129.76,129.78,129.44,129.63,129.41,4201,0,613196,0
Ok,22-09-2025 14:05:00,1758530100,129.60,129.90,129.55,129.65,129.41,10678,0,608995,0
Ok,22-09-2025 14:00:00,1758529800,129.06,129.77,128.62,129.68,129.27,112483,0,598317,0
Ok,22-09-2025 13:55:00,1758529500,128.31,128.31,128.08,128.08,128.16,18442,0,485834,0
Ok,22-09-2025 13:50:00,1758529200,128.35,128.39,128.35,128.35,129.49,741,0,467392,0
Ok,22-09-2025 13:45:00,1758528900,128.46,128.46,128.32,128.36,128.10,3359,0,466651,0
Ok,22-09-2025 13:40:00,1758528600,128.52,128.52,128.41,128.41,129.50,1959,0,463292,0
Ok,22-09-2025 13:35:00,1758528300,128.54,128.54,128.41,128.50,128.13,3363,0,461333,0
Ok,22-09-2025 13:30:00,1758528000,128.41,128.54,128.41,128.50,129.51,1031,0,457970,0
Ok,22-09-2025 13:25:00,1758527700,128.60,128.61,128.41,128.41,128.47,17089,0,456939,0
Ok,22-09-2025 13:20:00,1758527400,128.50,128.65,128.50,128.64,129.55,1336,0,439850,0
Ok,22-09-2025 13:15:00,1758527100,128.60,128.65,128.50,128.60,125.75,1154,0,438514,0
Ok,22-09-2025 13:10:00,1758526800,128.68,128.68,128.60,128.65,128.55,4316,0,437360,0
Ok,22-09-2025 13:05:00,1758526500,128.67,128.71,128.62,128.65,129.57,2526,0,433044,0
Ok,22-09-2025 13:00:00,1758526200,128.62,128.68,128.62,128.68,129.57,1065,0,430518,0
Ok,22-09-2025 12:55:00,1758525900,128.68,128.70,128.52,128.67,128.22,6302,0,429453,0
Ok,22-09-2025 12:50:00,1758525600,128.62,128.94,128.61,128.69,128.95,6580,0,423151,0
Ok,22-09-2025 12:45:00,1758525300,128.75,128.75,128.61,128.69,128.11,2795,0,416571,0
Ok,22-09-2025 12:40:00,1758525000,128.77,128.79,128.70,128.79,129.61,909,0,413776,0
Ok,22-09-2025 12:35:00,1758524700,128.88,128.89,128.61,128.73,128.81,10087,0,412867,0
Ok,22-09-2025 12:30:00,1758524400,128.87,128.88,128.80,128.80,129.63,403,0,402780,0
Ok,22-09-2025 12:25:00,1758524100,128.82,128.92,128.80,128.80,129.63,1588,0,402377,0
Ok,22-09-2025 12:20:00,1758523800,128.95,128.95,128.82,128.90,125.87,1064,0,400789,0
Ok,22-09-2025 12:15:00,1758523500,128.99,128.99,128.90,128.94,129.64,2658,0,399725,0
Ok,22-09-2025 12:10:00,1758523200,128.90,129.05,128.85,128.90,129.64,1456,0,397067,0
Ok,22-09-2025 12:05:00,1758522900,128.88,129.09,128.82,128.90,127.99,2393,0,395611,0
