stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,22-09-2025 15:25:00,1758534900,172.69,172.85,172.29,172.85,172.48,7302,0,124648,0
Ok,22-09-2025 15:20:00,1758534600,172.59,172.74,172.50,172.69,172.18,2440,0,117346,0
Ok,22-09-2025 15:15:00,1758534300,172.87,172.88,172.51,172.52,173.71,1306,0,114906,0
Ok,22-09-2025 15:10:00,1758534000,172.88,172.88,172.50,172.50,172.65,580,0,113600,0
Ok,22-09-2025 15:05:00,1758533700,172.88,172.90,172.57,172.90,173.09,743,0,113020,0
Ok,22-09-2025 15:00:00,1758533400,172.78,172.90,172.50,172.75,172.34,980,0,112277,0
Ok,22-09-2025 14:55:00,1758533100,173.30,173.30,172.25,172.80,172.28,10736,0,111297,0
Ok,22-09-2025 14:50:00,1758532800,173.04,173.50,173.04,173.50,171.89,2616,0,100561,0
Ok,22-09-2025 14:45:00,1758532500,173.50,173.74,173.01,173.28,174.97,2697,0,97945,0
Ok,22-09-2025 14:40:00,1758532200,173.66,173.89,173.50,173.50,173.46,628,0,95248,0
Ok,22-09-2025 14:35:00,1758531900,173.80,173.81,173.66,173.66,173.69,3556,0,94620,0
Ok,22-09-2025 14:30:00,1758531600,173.84,173.92,173.65,173.92,175.03,224,0,91064,0
Ok,22-09-2025 14:25:00,1758531300,173.91,173.91,173.65,173.84,175.03,60,0,90840,0
Ok,22-09-2025 14:20:00,1758531000,173.62,173.95,173.62,173.91,169.32,159,0,90780,0
Ok,22-09-2025 14:15:00,1758530700,173.60,173.74,173.56,173.74,175.04,44,0,90621,0
Ok,22-09-2025 14:10:00,1758530400,173.70,173.70,173.70,173.70,175.04,29,0,90577,0
Ok,22-09-2025 14:05:00,1758530100,173.78,173.78,173.45,173.70,173.37,542,0,90548,0
Ok,22-09-2025 14:00:00,1758529800,173.68,173.79,173.05,173.79,173.37,2616,0,90006,0
Ok,22-09-2025 13:55:00,1758529500,173.68,173.69,173.68,173.69,175.10,303,0,87390,0
Ok,22-09-2025 13:50:00,1758529200,174.06,174.06,173.80,173.80,175.10,17,0,87087,0
Ok,22-09-2025 13:45:00,1758528900,173.75,174.06,173.75,174.06,173.10,435,0,87070,0
Ok,22-09-2025 13:40:00,1758528600,174.01,174.01,173.75,173.75,174.09,2486,0,86635,0
Ok,22-09-2025 13:35:00,1758528300,174.05,174.05,174.01,174.01,175.14,212,0,84149,0
Ok,22-09-2025 13:30:00,1758528000,174.08,174.20,174.01,174.01,175.14,32,0,83937,0
Ok,22-09-2025 13:25:00,1758527700,174.00,174.08,173.68,174.08,173.37,474,0,83905,0
Ok,22-09-2025 13:20:00,1758527400,173.20,174.00,173.20,174.00,173.16,420,0,83431,0
Ok,22-09-2025 13:15:00,1758527100,174.02,174.02,173.80,173.93,174.14,815,0,83011,0
Ok,22-09-2025 13:10:00,1758526800,174.67,174.67,172.71,174.08,173.32,10166,0,82196,0
Ok,22-09-2025 13:05:00,1758526500,174.73,174.87,174.54,174.87,174.62,1771,0,72030,0
Ok,22-09-2025 13:00:00,1758526200,174.87,174.87,174.73,174.73,175.45,59,0,70259,0
Ok,22-09-2025 12:55:00,1758525900,174.60,174.89,174.60,174.60,175.45,409,0,70200,0
Ok,22-09-2025 12:50:00,1758525600,174.83,174.83,174.60,174.60,173.78,416,0,69791,0
Ok,22-09-2025 12:45:00,1758525300,174.50,175.00,174.50,175.00,174.95,6315,0,69375,0
Ok,22-09-2025 12:40:00,1758525000,175.78,175.78,173.76,174.48,174.36,20017,0,63060,0
Ok,22-09-2025 12:35:00,1758524700,175.74,175.74,175.31,175.31,174.90,375,0,43043,0
Ok,22-09-2025 12:30:00,1758524400,175.74,175.74,175.36,175.74,176.05,22,0,42668,0
Ok,22-09-2025 12:25:00,1758524100,176.50,176.80,175.20,175.80,176.37,12062,0,42646,0
Ok,22-09-2025 12:20:00,1758523800,175.89,175.89,175.86,175.86,175.92,336,0,30584,0
Ok,22-09-2025 12:15:00,1758523500,175.69,175.70,175.69,175.69,175.73,9861,0,30248,0
Ok,22-09-2025 12:10:00,1758523200,175.64,175.70,175.64,175.69,175.62,1489,0,20387,0
Ok,22-09-2025 12:05:00,1758522900,175.70,175.70,175.40,175.70,175.63,1314,0,18898,0
Ok,22-09-2025 12:00:00,1758522600,175.77,175.77,175.77,175.77,176.07,100,0,17584,0
Ok,22-09-2025 11:55:00,1758522300,175.75,175.77,175.75,175.77,176.07,22,0,17484,0
Ok,22-09-2025 11:50:00,1758522000,175.80,176.23,175.75,175.82,175.72,981,0,17462,0
Ok,22-09-2025 11:45:00,1758521700,175.71,175.80,175.71,175.80,175.47,264,0,16481,0
Ok,22-09-2025 11:40:00,1758521400,175.42,175.64,175.20,175.63,175.27,387,0,16217,0
Ok,22-09-2025 11:35:00,1758521100,175.71,175.71,175.15,175.15,175.38,1009,0,15830,0
