stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,22-09-2025 15:25:00,1758534900,277.85,281.90,277.60,277.60,277.55,21044,0,380378,0
Ok,22-09-2025 15:20:00,1758534600,278.55,278.75,277.60,278.00,277.94,32842,0,359334,0
Ok,22-09-2025 15:15:00,1758534300,279.15,279.15,278.25,278.65,278.85,15434,0,326492,0
Ok,22-09-2025 15:10:00,1758534000,278.95,279.55,278.95,279.00,279.23,8201,0,311058,0
Ok,22-09-2025 15:05:00,1758533700,279.05,279.30,278.45,278.80,278.62,8614,0,302857,0
Ok,22-09-2025 15:00:00,1758533400,279.40,279.60,278.65,279.10,279.43,4921,0,294243,0
Ok,22-09-2025 14:55:00,1758533100,279.75,279.75,278.65,279.45,279.11,15788,0,289322,0
Ok,22-09-2025 14:50:00,1758532800,280.20,280.30,279.50,279.50,279.64,4450,0,273534,0
Ok,22-09-2025 14:45:00,1758532500,280.60,280.60,280.00,280.00,280.15,15404,0,269084,0
Ok,22-09-2025 14:40:00,1758532200,280.75,280.80,280.40,280.40,279.78,576,0,253680,0
Ok,22-09-2025 14:35:00,1758531900,280.80,281.00,280.50,280.80,281.31,2619,0,253104,0
Ok,22-09-2025 14:30:00,1758531600,281.10,281.20,280.65,280.85,280.41,1961,0,250485,0
Ok,22-09-2025 14:25:00,1758531300,281.10,281.20,280.80,281.10,280.91,2945,0,248524,0
Ok,22-09-2025 14:20:00,1758531000,280.65,281.40,280.60,281.15,281.49,2608,0,245579,0
Ok,22-09-2025 14:15:00,1758530700,281.45,281.45,280.60,280.60,280.79,4736,0,242971,0
Ok,22-09-2025 14:10:00,1758530400,281.30,281.45,281.05,281.40,281.09,3567,0,238235,0
Ok,22-09-2025 14:05:00,1758530100,281.40,281.80,281.25,281.80,281.79,1762,0,234668,0
Ok,22-09-2025 14:00:00,1758529800,281.80,281.80,281.35,281.55,282.51,1191,0,232906,0
Ok,22-09-2025 13:55:00,1758529500,281.60,282.10,281.25,281.50,281.10,3398,0,231715,0
