stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,22-09-2025 15:25:00,1758534900,388.60,390.00,388.55,388.80,388.44,2404,0,136138,0
Ok,22-09-2025 15:20:00,1758534600,388.25,388.55,387.55,388.55,388.08,6809,0,133734,0
Ok,22-09-2025 15:15:00,1758534300,388.25,390.35,387.55,388.20,388.44,8773,0,126925,0
Ok,22-09-2025 15:10:00,1758534000,389.45,389.45,388.20,388.65,389.27,4746,0,118152,0
Ok,22-09-2025 15:05:00,1758533700,388.50,390.00,388.35,389.95,389.31,7164,0,113406,0
Ok,22-09-2025 15:00:00,1758533400,387.85,388.40,387.55,388.05,388.10,3042,0,106242,0
Ok,22-09-2025 14:55:00,1758533100,388.20,388.20,387.85,387.85,387.80,5283,0,103200,0
Ok,22-09-2025 14:50:00,1758532800,388.15,388.45,387.75,388.45,388.25,2255,0,97917,0
Ok,22-09-2025 14:45:00,1758532500,388.35,388.35,388.00,388.00,388.00,2345,0,95662,0
Ok,22-09-2025 14:40:00,1758532200,388.05,388.40,388.05,388.40,388.03,460,0,93317,0
Ok,22-09-2025 14:35:00,1758531900,388.60,388.90,388.45,388.45,390.06,372,0,92857,0
Ok,22-09-2025 14:30:00,1758531600,388.90,388.90,388.00,388.35,388.10,15433,0,92485,0
Ok,22-09-2025 14:25:00,1758531300,388.95,388.95,388.75,388.95,390.45,324,0,77052,0
Ok,22-09-2025 14:20:00,1758531000,388.70,389.15,388.60,388.60,390.45,579,0,76728,0
Ok,22-09-2025 14:15:00,1758530700,388.80,389.05,388.80,388.80,390.45,44,0,76149,0
Ok,22-09-2025 14:10:00,1758530400,389.00,389.25,388.80,388.80,388.95,1004,0,76105,0
Ok,22-09-2025 14:05:00,1758530100,388.60,389.00,388.60,388.85,390.47,332,0,75101,0
Ok,22-09-2025 14:00:00,1758529800,388.85,388.85,388.60,388.80,388.24,998,0,74769,0
Ok,22-09-2025 13:55:00,1758529500,389.00,389.00,388.55,388.60,389.03,994,0,73771,0
Ok,22-09-2025 13:50:00,1758529200,389.05,389.40,389.00,389.05,388.93,3506,0,72777,0
Ok,22-09-2025 13:45:00,1758528900,389.20,389.35,389.00,389.35,389.36,1107,0,69271,0
Ok,22-09-2025 13:40:00,1758528600,389.35,389.60,389.20,389.20,387.82,243,0,68164,0
Ok,22-09-2025 13:35:00,1758528300,389.60,389.60,389.35,389.60,390.63,168,0,67921,0
Ok,22-09-2025 13:30:00,1758528000,389.70,389.95,389.00,389.40,389.17,5170,0,67753,0
