stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,22-09-2025 15:25:00,1758534900,167.20,167.30,167.12,167.15,167.38,7639,0,507508,0
Ok,22-09-2025 15:20:00,1758534600,167.25,167.65,167.12,167.17,167.32,19910,0,499869,0
Ok,22-09-2025 15:15:00,1758534300,167.15,167.27,167.00,167.16,166.94,8321,0,479959,0
Ok,22-09-2025 15:10:00,1758534000,167.12,167.32,167.00,167.19,167.27,11195,0,471638,0
Ok,22-09-2025 15:05:00,1758533700,167.23,167.49,167.13,167.13,166.75,6659,0,460443,0
Ok,22-09-2025 15:00:00,1758533400,167.20,167.35,167.10,167.11,168.14,3060,0,453784,0
Ok,22-09-2025 14:55:00,1758533100,167.10,167.25,167.10,167.12,168.14,687,0,450724,0
Ok,22-09-2025 14:50:00,1758532800,167.07,167.11,167.06,167.11,168.14,267,0,450037,0
Ok,22-09-2025 14:45:00,1758532500,167.07,167.16,167.05,167.07,166.61,8684,0,449770,0
Ok,22-09-2025 14:40:00,1758532200,167.78,167.85,167.05,167.09,167.62,15848,0,441086,0
Ok,22-09-2025 14:35:00,1758531900,167.60,167.79,167.60,167.60,165.03,1344,0,425238,0
Ok,22-09-2025 14:30:00,1758531600,167.51,167.95,167.51,167.72,168.20,3908,0,423894,0
Ok,22-09-2025 14:25:00,1758531300,167.78,167.80,167.50,167.50,168.20,2347,0,419986,0
Ok,22-09-2025 14:20:00,1758531000,167.41,167.91,167.38,167.76,167.06,3652,0,417639,0
Ok,22-09-2025 14:15:00,1758530700,167.08,167.63,167.08,167.59,166.76,2862,0,413987,0
Ok,22-09-2025 14:10:00,1758530400,167.70,167.83,167.16,167.25,168.22,2496,0,411125,0
Ok,22-09-2025 14:05:00,1758530100,167.47,167.93,167.41,167.93,168.22,1778,0,408629,0
Ok,22-09-2025 14:00:00,1758529800,167.19,167.59,167.07,167.49,167.34,4592,0,406851,0
Ok,22-09-2025 13:55:00,1758529500,167.05,167.21,167.00,167.20,166.90,6011,0,402259,0
Ok,22-09-2025 13:50:00,1758529200,167.19,167.32,167.01,167.32,167.30,4142,0,396248,0
Ok,22-09-2025 13:45:00,1758528900,167.10,167.29,167.00,167.16,166.93,24930,0,392106,0
Ok,22-09-2025 13:40:00,1758528600,167.52,167.66,167.20,167.30,167.30,6928,0,367176,0
Ok,22-09-2025 13:35:00,1758528300,167.51,167.72,167.51,167.72,168.37,1400,0,360248,0
Ok,22-09-2025 13:30:00,1758528000,167.36,167.40,167.25,167.40,168.37,1222,0,358848,0
Ok,22-09-2025 13:25:00,1758527700,167.55,167.55,167.35,167.36,165.47,1233,0,357626,0
Ok,22-09-2025 13:20:00,1758527400,167.26,167.42,167.26,167.41,168.38,334,0,356393,0
Ok,22-09-2025 13:15:00,1758527100,167.54,167.60,167.20,167.25,167.59,4460,0,356059,0
Ok,22-09-2025 13:10:00,1758526800,167.26,167.54,167.26,167.54,166.54,5661,0,351599,0
Ok,22-09-2025 13:05:00,1758526500,167.70,167.70,167.40,167.40,168.42,312,0,345938,0
Ok,22-09-2025 13:00:00,1758526200,167.61,167.72,167.61,167.70,168.42,3187,0,345626,0
Ok,22-09-2025 12:55:00,1758525900,167.64,167.64,167.61,167.61,168.42,91,0,342439,0
Ok,22-09-2025 12:50:00,1758525600,167.48,167.66,167.48,167.66,168.42,1049,0,342348,0
Ok,22-09-2025 12:45:00,1758525300,167.70,167.76,167.42,167.42,168.42,631,0,341299,0
Ok,22-09-2025 12:40:00,1758525000,167.29,167.70,167.26,167.70,166.83,2143,0,340668,0
Ok,22-09-2025 12:35:00,1758524700,167.40,167.47,167.26,167.47,168.43,551,0,338525,0
Ok,22-09-2025 12:30:00,1758524400,167.51,167.52,167.33,167.33,167.80,5322,0,337974,0
Ok,22-09-2025 12:25:00,1758524100,167.70,167.70,167.51,167.51,168.44,1,0,332652,0
Ok,22-09-2025 12:20:00,1758523800,167.55,167.71,167.44,167.70,166.36,1594,0,332651,0
Ok,22-09-2025 12:15:00,1758523500,168.11,168.17,167.55,167.55,168.00,7432,0,331057,0
Ok,22-09-2025 12:10:00,1758523200,167.64,168.17,167.53,168.08,167.89,5650,0,323625,0
Ok,22-09-2025 12:05:00,1758522900,167.69,167.69,167.44,167.65,167.29,5322,0,317975,0
Ok,22-09-2025 12:00:00,1758522600,167.71,167.87,167.69,167.69,167.63,3630,0,312653,0
Ok,22-09-2025 11:55:00,1758522300,167.95,168.00,167.90,167.90,168.50,170,0,309023,0
Ok,22-09-2025 11:50:00,1758522000,167.77,167.96,167.69,167.95,167.83,4571,0,308853,0
Ok,22-09-2025 11:45:00,1758521700,168.15,168.28,168.00,168.15,168.51,2447,0,304282,0
Ok,22-09-2025 11:40:00,1758521400,168.15,168.30,168.00,168.15,168.02,6113,0,301835,0
Ok,22-09-2025 11:35:00,1758521100,168.12,168.12,167.91,167.91,168.52,268,0,295722,0
Ok,22-09-2025 11:30:00,1758520800,167.90,168.10,167.90,167.92,166.76,1672,0,295454,0
Ok,22-09-2025 11:25:00,1758520500,167.70,167.90,167.70,167.90,168.53,62,0,293782,0
Ok,22-09-2025 11:20:00,1758520200,167.69,167.89,167.69,167.70,168.53,2221,0,293720,0
Ok,22-09-2025 11:15:00,1758519900,167.88,167.98,167.83,167.92,168.53,652,0,291499,0
