stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,22-09-2025 15:25:00,1758534900,274.40,275.45,273.80,275.00,274.81,1103,0,76728,0
Ok,22-09-2025 15:20:00,1758534600,274.00,274.90,274.00,274.00,274.58,748,0,75625,0
Ok,22-09-2025 15:15:00,1758534300,275.00,275.45,273.80,274.00,274.22,3367,0,74877,0
Ok,22-09-2025 15:10:00,1758534000,275.80,275.80,275.00,275.40,275.09,1815,0,71510,0
Ok,22-09-2025 15:05:00,1758533700,275.00,275.85,275.00,275.00,275.07,1234,0,69695,0
Ok,22-09-2025 15:00:00,1758533400,275.35,275.60,275.00,275.00,274.60,617,0,68461,0
Ok,22-09-2025 14:55:00,1758533100,275.70,275.70,275.35,275.35,277.94,1,0,67844,0
Ok,22-09-2025 14:50:00,1758532800,275.80,275.80,275.70,275.70,277.94,17,0,67843,0
Ok,22-09-2025 14:45:00,1758532500,275.50,275.90,275.45,275.80,275.42,536,0,67826,0
Ok,22-09-2025 14:40:00,1758532200,275.50,275.65,275.35,275.35,271.96,335,0,67290,0
Ok,22-09-2025 14:35:00,1758531900,275.50,275.50,275.40,275.50,277.99,549,0,66955,0
Ok,22-09-2025 14:30:00,1758531600,275.50,275.50,275.50,275.50,0.00,0,0,66406,0
Ok,22-09-2025 14:25:00,1758531300,275.50,276.00,275.50,275.50,275.33,1227,0,66406,0
Ok,22-09-2025 14:20:00,1758531000,275.50,275.50,275.50,275.50,278.04,250,0,65179,0
Ok,22-09-2025 14:15:00,1758530700,275.50,275.50,275.50,275.50,0.00,0,0,64929,0
Ok,22-09-2025 14:10:00,1758530400,275.45,275.50,275.45,275.50,274.30,517,0,64929,0
Ok,22-09-2025 14:05:00,1758530100,275.50,275.50,275.45,275.45,278.07,22,0,64412,0
Ok,22-09-2025 14:00:00,1758529800,275.50,276.00,275.50,276.00,278.07,202,0,64390,0
Ok,22-09-2025 13:55:00,1758529500,275.30,275.95,275.30,275.70,278.07,28,0,64188,0
Ok,22-09-2025 13:50:00,1758529200,276.00,276.00,275.25,275.30,278.07,21,0,64160,0
Ok,22-09-2025 13:45:00,1758528900,276.00,276.00,276.00,276.00,260.26,36,0,64139,0
Ok,22-09-2025 13:40:00,1758528600,276.15,276.15,275.95,276.00,278.08,172,0,64103,0
Ok,22-09-2025 13:35:00,1758528300,275.95,276.15,275.95,276.15,0.00,0,0,63931,0
Ok,22-09-2025 13:30:00,1758528000,276.20,276.20,275.95,275.95,278.08,16,0,63931,0
Ok,22-09-2025 13:25:00,1758527700,275.80,276.00,275.75,275.95,278.08,90,0,63915,0
Ok,22-09-2025 13:20:00,1758527400,275.50,275.85,275.50,275.85,271.44,96,0,63825,0
Ok,22-09-2025 13:15:00,1758527100,275.25,275.65,275.10,275.55,278.09,55,0,63729,0
Ok,22-09-2025 13:10:00,1758526800,275.80,275.80,275.35,275.80,278.09,2,0,63674,0
Ok,22-09-2025 13:05:00,1758526500,275.25,275.85,275.25,275.80,278.09,2,0,63672,0
Ok,22-09-2025 13:00:00,1758526200,276.15,276.20,275.25,275.25,273.12,128,0,63670,0
Ok,22-09-2025 12:55:00,1758525900,275.70,276.20,275.70,276.00,278.10,102,0,63542,0
Ok,22-09-2025 12:50:00,1758525600,275.05,275.70,275.05,275.70,275.23,874,0,63440,0
Ok,22-09-2025 12:45:00,1758525300,275.20,275.20,275.00,275.00,275.03,201,0,62566,0
