stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,23-09-2025 15:25:00,1758621300,602.00,603.10,601.30,602.30,601.84,12267,0,986067,0
Ok,23-09-2025 15:20:00,1758621000,601.65,603.15,600.10,602.35,601.33,32241,0,973800,0
Ok,23-09-2025 15:15:00,1758620700,604.35,604.35,601.35,601.85,602.41,38871,0,941559,0
Ok,23-09-2025 15:10:00,1758620400,605.25,605.90,603.75,603.90,604.18,33819,0,902688,0
Ok,23-09-2025 15:05:00,1758620100,605.65,606.25,605.25,605.80,606.51,5039,0,868869,0
Ok,23-09-2025 15:00:00,1758619800,605.90,606.20,605.05,605.25,604.64,6094,0,863830,0
Ok,23-09-2025 14:55:00,1758619500,607.00,608.00,605.80,606.00,607.02,5431,0,857736,0
Ok,23-09-2025 14:50:00,1758619200,606.10,607.85,605.25,606.15,606.55,20781,0,852305,0
Ok,23-09-2025 14:45:00,1758618900,609.70,609.80,605.60,605.60,608.53,35594,0,831524,0
Ok,23-09-2025 14:40:00,1758618600,609.00,609.90,608.40,609.25,608.75,27984,0,795930,0
Ok,23-09-2025 14:35:00,1758618300,607.30,609.35,607.00,608.10,608.35,34636,0,767946,0
Ok,23-09-2025 14:30:00,1758618000,607.55,608.50,606.05,608.15,606.78,10406,0,733310,0
Ok,23-09-2025 14:25:00,1758617700,606.80,609.80,605.40,607.70,608.02,12908,0,722904,0
Ok,23-09-2025 14:20:00,1758617400,606.00,606.80,605.20,606.45,605.41,2993,0,709996,0
Ok,23-09-2025 14:15:00,1758617100,605.70,606.80,604.35,605.60,605.41,9796,0,707003,0
Ok,23-09-2025 14:10:00,1758616800,605.70,606.25,605.00,605.15,606.70,2342,0,697207,0
Ok,23-09-2025 14:05:00,1758616500,606.30,606.85,605.25,605.70,604.07,2421,0,694865,0
Ok,23-09-2025 14:00:00,1758616200,604.00,607.50,604.00,606.35,605.67,39130,0,692444,0
Ok,23-09-2025 13:55:00,1758615900,603.65,604.55,603.10,604.55,603.83,5590,0,653314,0
Ok,23-09-2025 13:50:00,1758615600,604.25,605.05,604.00,604.00,604.34,1461,0,647724,0
Ok,23-09-2025 13:45:00,1758615300,603.30,604.60,603.30,604.10,603.51,2655,0,646263,0
Ok,23-09-2025 13:40:00,1758615000,603.90,603.90,602.90,603.10,602.55,7729,0,643608,0
Ok,23-09-2025 13:35:00,1758614700,604.15,604.25,603.40,604.10,606.13,877,0,635879,0
Ok,23-09-2025 13:30:00,1758614400,604.00,604.75,603.60,604.15,605.16,771,0,635002,0
Ok,23-09-2025 13:25:00,1758614100,604.20,604.75,603.60,604.25,604.27,4146,0,634231,0
Ok,23-09-2025 13:20:00,1758613800,603.60,604.10,602.25,604.00,602.78,6432,0,630085,0
Ok,23-09-2025 13:15:00,1758613500,603.85,604.30,603.25,603.30,604.08,3273,0,623653,0
Ok,23-09-2025 13:10:00,1758613200,604.50,604.85,603.15,603.60,604.26,3299,0,620380,0
Ok,23-09-2025 13:05:00,1758612900,605.05,605.50,604.50,604.80,605.97,2399,0,617081,0
Ok,23-09-2025 13:00:00,1758612600,604.20,605.15,604.05,605.10,599.76,881,0,614682,0
Ok,23-09-2025 12:55:00,1758612300,605.55,605.55,604.05,604.10,605.09,7034,0,613801,0
Ok,23-09-2025 12:50:00,1758612000,605.25,605.95,604.50,605.15,604.35,3823,0,606767,0
Ok,23-09-2025 12:45:00,1758611700,605.75,606.70,605.20,605.55,606.63,3315,0,602944,0
Ok,23-09-2025 12:40:00,1758611400,606.40,606.95,605.10,605.10,605.19,12130,0,599629,0
Ok,23-09-2025 12:35:00,1758611100,607.65,608.00,605.50,606.35,607.06,10676,0,587499,0
Ok,23-09-2025 12:30:00,1758610800,609.00,609.50,607.15,607.15,608.46,3976,0,576823,0
Ok,23-09-2025 12:25:00,1758610500,608.80,609.60,608.20,609.15,606.49,2934,0,572847,0
Ok,23-09-2025 12:20:00,1758610200,609.00,609.30,608.50,608.55,614.31,1108,0,569913,0
Ok,23-09-2025 12:15:00,1758609900,610.40,610.55,609.00,609.10,609.95,16490,0,568805,0
Ok,23-09-2025 12:10:00,1758609600,610.90,611.05,610.40,610.45,610.30,1335,0,552315,0
Ok,23-09-2025 12:05:00,1758609300,610.50,611.15,610.00,610.10,610.07,9908,0,550980,0
Ok,23-09-2025 12:00:00,1758609000,610.55,613.85,610.55,610.60,612.31,7236,0,541072,0
Ok,23-09-2025 11:55:00,1758608700,610.65,610.65,610.00,610.00,611.04,4520,0,533836,0
Ok,23-09-2025 11:50:00,1758608400,610.85,611.50,609.85,610.55,610.15,5904,0,529316,0
Ok,23-09-2025 11:45:00,1758608100,610.50,611.95,610.45,611.00,610.85,4118,0,523412,0
Ok,23-09-2025 11:40:00,1758607800,608.00,610.30,606.55,610.30,608.87,16500,0,519294,0
Ok,23-09-2025 11:35:00,1758607500,606.45,609.30,606.45,608.55,608.05,2939,0,502794,0
Ok,23-09-2025 11:30:00,1758607200,608.80,609.00,606.35,606.80,608.35,3791,0,499855,0
Ok,23-09-2025 11:25:00,1758606900,608.10,609.25,608.00,608.85,608.66,4691,0,496064,0
Ok,23-09-2025 11:20:00,1758606600,605.85,608.95,605.25,608.05,606.97,3644,0,491373,0
Ok,23-09-2025 11:15:00,1758606300,607.05,607.10,605.25,606.15,605.68,8185,0,487729,0
Ok,23-09-2025 11:10:00,1758606000,607.85,607.90,606.20,606.55,606.60,3314,0,479544,0
Ok,23-09-2025 11:05:00,1758605700,606.10,607.80,606.05,607.35,606.55,3787,0,476230,0
Ok,23-09-2025 11:00:00,1758605400,607.00,608.65,606.00,606.95,606.80,23625,0,472443,0
Ok,23-09-2025 10:55:00,1758605100,609.00,609.60,607.05,607.05,608.31,11108,0,448818,0
Ok,23-09-2025 10:50:00,1758604800,609.55,609.90,608.50,608.55,609.30,3245,0,437710,0
Ok,23-09-2025 10:45:00,1758604500,609.80,611.00,609.05,609.05,610.22,10926,0,434465,0
Ok,23-09-2025 10:40:00,1758604200,609.60,610.50,608.40,610.40,609.23,6004,0,423539,0
Ok,23-09-2025 10:35:00,1758603900,608.30,609.75,608.00,609.15,609.10,9092,0,417535,0
Ok,23-09-2025 10:30:00,1758603600,610.45,610.90,608.00,608.40,608.25,3946,0,408443,0
Ok,23-09-2025 10:25:00,1758603300,608.95,612.25,608.40,610.40,610.70,12111,0,404497,0
Ok,23-09-2025 10:20:00,1758603000,610.95,610.95,608.40,608.40,608.70,20874,0,392386,0
Ok,23-09-2025 10:15:00,1758602700,612.00,612.00,610.50,610.70,610.31,4289,0,371512,0
Ok,23-09-2025 10:10:00,1758602400,613.55,613.70,611.40,611.60,612.76,3250,0,367223,0
Ok,23-09-2025 10:05:00,1758602100,613.40,614.30,613.00,613.00,613.76,6102,0,363973,0
Ok,23-09-2025 10:00:00,1758601800,612.00,614.50,612.00,614.00,612.86,8581,0,357871,0
Ok,23-09-2025 09:55:00,1758601500,612.10,613.45,611.00,612.40,612.33,13121,0,349290,0
Ok,23-09-2025 09:50:00,1758601200,614.40,614.60,612.15,612.55,613.22,10298,0,336169,0
Ok,23-09-2025 09:45:00,1758600900,616.35,616.75,613.05,614.50,615.17,33448,0,325871,0
Ok,23-09-2025 09:40:00,1758600600,622.65,624.00,616.20,616.60,620.47,58811,0,292423,0
