stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,23-09-2025 15:25:00,1758621300,780.75,780.80,780.00,780.20,780.13,5233,0,166817,0
Ok,23-09-2025 15:20:00,1758621000,780.80,780.90,780.00,780.85,779.95,3743,0,161584,0
Ok,23-09-2025 15:15:00,1758620700,780.15,781.00,780.00,780.85,780.77,2304,0,157841,0
Ok,23-09-2025 15:10:00,1758620400,780.20,781.00,780.00,780.75,780.15,2222,0,155537,0
Ok,23-09-2025 15:05:00,1758620100,780.55,781.00,780.00,780.75,780.30,1478,0,153315,0
Ok,23-09-2025 15:00:00,1758619800,780.40,781.85,780.20,780.60,780.91,1957,0,151837,0
Ok,23-09-2025 14:55:00,1758619500,780.75,781.00,780.20,780.80,779.39,697,0,149880,0
Ok,23-09-2025 14:50:00,1758619200,780.25,781.70,780.00,781.70,779.99,4099,0,149183,0
Ok,23-09-2025 14:45:00,1758618900,783.05,784.25,779.80,780.45,783.82,6965,0,145084,0
Ok,23-09-2025 14:40:00,1758618600,780.50,783.90,779.90,783.90,781.87,3695,0,138119,0
Ok,23-09-2025 14:35:00,1758618300,780.50,781.80,780.00,780.75,780.65,3186,0,134424,0
Ok,23-09-2025 14:30:00,1758618000,780.80,781.00,780.05,781.00,780.32,1059,0,131238,0
Ok,23-09-2025 14:25:00,1758617700,780.60,780.85,780.60,780.85,780.14,237,0,130179,0
Ok,23-09-2025 14:20:00,1758617400,779.85,781.00,779.85,780.85,783.01,374,0,129942,0
Ok,23-09-2025 14:15:00,1758617100,780.10,781.00,780.10,780.60,779.09,2171,0,129568,0
Ok,23-09-2025 14:10:00,1758616800,780.65,780.80,780.00,780.20,791.39,170,0,127397,0
Ok,23-09-2025 14:05:00,1758616500,780.70,781.00,779.70,780.50,778.38,933,0,127227,0
Ok,23-09-2025 14:00:00,1758616200,780.95,781.00,780.00,780.80,785.05,1081,0,126294,0
Ok,23-09-2025 13:55:00,1758615900,780.70,781.55,780.40,781.00,771.03,536,0,125213,0
Ok,23-09-2025 13:50:00,1758615600,784.25,785.00,781.00,781.00,783.76,2035,0,124677,0
Ok,23-09-2025 13:45:00,1758615300,783.00,785.00,780.70,785.00,782.75,9999,0,122642,0
Ok,23-09-2025 13:40:00,1758615000,777.90,783.00,777.40,782.70,779.43,7782,0,112643,0
Ok,23-09-2025 13:35:00,1758614700,777.00,777.65,777.00,777.65,778.19,263,0,104861,0
Ok,23-09-2025 13:30:00,1758614400,777.65,778.00,776.80,777.45,778.12,786,0,104598,0
Ok,23-09-2025 13:25:00,1758614100,775.10,778.00,775.10,778.00,776.38,4556,0,103812,0
Ok,23-09-2025 13:20:00,1758613800,774.00,776.00,774.00,776.00,775.21,2038,0,99256,0
Ok,23-09-2025 13:15:00,1758613500,774.50,774.55,774.35,774.55,781.94,59,0,97218,0
Ok,23-09-2025 13:10:00,1758613200,775.00,775.00,774.15,774.50,774.48,215,0,97159,0
Ok,23-09-2025 13:05:00,1758612900,773.65,775.00,773.65,774.55,774.20,4834,0,96944,0
Ok,23-09-2025 13:00:00,1758612600,768.10,773.00,768.00,773.00,769.92,3758,0,92110,0
