stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,23-09-2025 15:25:00,1758621300,114.95,115.90,114.95,115.75,114.87,5580,0,540154,0
Ok,23-09-2025 15:20:00,1758621000,115.35,115.45,114.85,114.95,114.87,1358,0,534574,0
Ok,23-09-2025 15:15:00,1758620700,115.00,115.30,114.85,115.30,114.87,90454,0,533216,0
Ok,23-09-2025 15:10:00,1758620400,115.00,115.75,115.00,115.55,114.99,401199,0,442762,0
Ok,23-09-2025 15:05:00,1758620100,114.70,114.85,114.45,114.85,119.15,76,0,41563,0
Ok,23-09-2025 15:00:00,1758619800,114.35,114.70,114.35,114.70,113.69,192,0,41487,0
Ok,23-09-2025 14:55:00,1758619500,114.65,114.65,114.35,114.35,113.69,48,0,41295,0
Ok,23-09-2025 14:50:00,1758619200,114.35,114.65,114.30,114.35,114.77,376,0,41247,0
Ok,23-09-2025 14:45:00,1758618900,114.60,114.60,114.60,114.60,114.91,327,0,40871,0
Ok,23-09-2025 14:40:00,1758618600,114.35,114.35,114.35,114.35,113.67,50,0,40544,0
Ok,23-09-2025 14:35:00,1758618300,114.50,114.50,114.50,114.50,0.00,0,0,40494,0
Ok,23-09-2025 14:30:00,1758618000,114.50,114.50,114.50,114.50,113.67,2,0,40494,0
Ok,23-09-2025 14:25:00,1758617700,114.00,114.20,114.00,114.20,114.05,2867,0,40492,0
Ok,23-09-2025 14:20:00,1758617400,114.05,114.05,114.05,114.05,0.00,0,0,37625,0
Ok,23-09-2025 14:15:00,1758617100,114.10,114.10,114.05,114.05,113.64,184,0,37625,0
Ok,23-09-2025 14:10:00,1758616800,114.10,114.10,114.10,114.10,0.00,0,0,37441,0
Ok,23-09-2025 14:05:00,1758616500,114.00,114.10,114.00,114.10,113.64,131,0,37441,0
Ok,23-09-2025 14:00:00,1758616200,113.80,114.00,113.80,114.00,0.00,0,0,37310,0
Ok,23-09-2025 13:55:00,1758615900,113.80,113.80,113.80,113.80,0.00,0,0,37310,0
Ok,23-09-2025 13:50:00,1758615600,114.00,114.00,113.80,113.80,113.64,68,0,37310,0
Ok,23-09-2025 13:45:00,1758615300,113.80,113.80,113.80,113.80,0.00,0,0,37242,0
Ok,23-09-2025 13:40:00,1758615000,113.90,113.90,113.80,113.80,113.64,10,0,37242,0
Ok,23-09-2025 13:35:00,1758614700,113.90,113.90,113.90,113.90,0.00,0,0,37232,0
Ok,23-09-2025 13:30:00,1758614400,114.10,114.10,113.80,113.90,113.64,213,0,37232,0
Ok,23-09-2025 13:25:00,1758614100,114.10,114.10,114.10,114.10,0.00,0,0,37019,0
Ok,23-09-2025 13:20:00,1758613800,114.10,114.10,114.10,114.10,114.26,1700,0,37019,0
Ok,23-09-2025 13:15:00,1758613500,114.10,114.10,114.10,114.10,0.00,0,0,35319,0
Ok,23-09-2025 13:10:00,1758613200,114.10,114.10,114.10,114.10,113.61,13,0,35319,0
Ok,23-09-2025 13:05:00,1758612900,114.10,114.10,114.10,114.10,113.61,24,0,35306,0
Ok,23-09-2025 13:00:00,1758612600,114.10,114.10,114.10,114.10,113.61,201,0,35282,0
Ok,23-09-2025 12:55:00,1758612300,114.10,114.10,114.10,114.10,0.00,0,0,35081,0
Ok,23-09-2025 12:50:00,1758612000,114.10,114.10,114.10,114.10,113.61,1,0,35081,0
Ok,23-09-2025 12:45:00,1758611700,114.10,114.10,114.10,114.10,113.61,28,0,35080,0
Ok,23-09-2025 12:40:00,1758611400,114.00,114.10,114.00,114.10,114.21,564,0,35052,0
Ok,23-09-2025 12:35:00,1758611100,114.00,114.00,114.00,114.00,113.60,2,0,34488,0
