stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,23-09-2025 15:25:00,1758621300,156.90,157.05,156.50,156.50,156.62,16316,0,603140,0
Ok,23-09-2025 15:20:00,1758621000,156.91,157.02,156.80,156.88,157.12,9468,0,586824,0
Ok,23-09-2025 15:15:00,1758620700,156.50,157.04,156.41,157.04,156.91,20143,0,577356,0
Ok,23-09-2025 15:10:00,1758620400,156.70,156.75,156.61,156.61,157.78,1079,0,557213,0
Ok,23-09-2025 15:05:00,1758620100,156.83,157.02,156.40,156.40,155.65,5187,0,556134,0
Ok,23-09-2025 15:00:00,1758619800,156.52,156.72,156.51,156.72,156.57,4465,0,550947,0
Ok,23-09-2025 14:55:00,1758619500,156.43,156.50,156.43,156.45,156.88,11701,0,546482,0
Ok,23-09-2025 14:50:00,1758619200,156.64,156.64,156.41,156.54,156.46,7761,0,534781,0
Ok,23-09-2025 14:45:00,1758618900,156.88,156.88,156.40,156.50,156.15,12167,0,527020,0
Ok,23-09-2025 14:40:00,1758618600,156.88,156.97,156.75,156.75,157.89,663,0,514853,0
Ok,23-09-2025 14:35:00,1758618300,156.78,156.80,156.71,156.71,157.89,1584,0,514190,0
Ok,23-09-2025 14:30:00,1758618000,156.67,156.85,156.57,156.57,157.07,6224,0,512606,0
Ok,23-09-2025 14:25:00,1758617700,156.69,156.86,156.61,156.86,154.88,1673,0,506382,0
Ok,23-09-2025 14:20:00,1758617400,157.00,157.00,156.55,156.55,156.54,3682,0,504709,0
Ok,23-09-2025 14:15:00,1758617100,156.90,157.06,156.72,157.00,157.92,1243,0,501027,0
Ok,23-09-2025 14:10:00,1758616800,157.19,157.19,156.99,157.00,157.92,303,0,499784,0
Ok,23-09-2025 14:05:00,1758616500,156.75,157.18,156.75,157.18,157.92,1801,0,499481,0
Ok,23-09-2025 14:00:00,1758616200,156.47,156.80,156.40,156.75,156.25,2971,0,497680,0
Ok,23-09-2025 13:55:00,1758615900,157.00,157.00,156.00,156.36,156.34,17997,0,494709,0
Ok,23-09-2025 13:50:00,1758615600,157.19,157.19,157.00,157.10,149.03,532,0,476712,0
Ok,23-09-2025 13:45:00,1758615300,157.19,157.19,157.19,157.19,158.00,709,0,476180,0
Ok,23-09-2025 13:40:00,1758615000,157.30,157.31,157.11,157.11,158.00,231,0,475471,0
Ok,23-09-2025 13:35:00,1758614700,157.30,157.30,157.00,157.30,157.33,7067,0,475240,0
Ok,23-09-2025 13:30:00,1758614400,158.08,158.32,157.50,157.51,158.01,15363,0,468173,0
Ok,23-09-2025 13:25:00,1758614100,157.89,158.07,157.68,157.91,158.01,2225,0,452810,0
Ok,23-09-2025 13:20:00,1758613800,159.36,159.36,158.20,158.20,158.70,12515,0,450585,0
Ok,23-09-2025 13:15:00,1758613500,158.64,159.48,158.49,159.36,159.03,16074,0,438070,0
Ok,23-09-2025 13:10:00,1758613200,158.20,158.90,158.20,158.62,158.48,22314,0,421996,0
