stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,23-09-2025 15:25:00,1758621300,122.29,123.80,122.02,123.80,122.90,24439,0,179075,0
Ok,23-09-2025 15:20:00,1758621000,121.37,122.22,121.19,122.01,121.19,5287,0,154636,0
Ok,23-09-2025 15:15:00,1758620700,121.09,121.40,120.85,121.37,121.71,3083,0,149349,0
Ok,23-09-2025 15:10:00,1758620400,121.24,121.49,120.85,121.40,121.08,913,0,146266,0
Ok,23-09-2025 15:05:00,1758620100,121.38,121.50,120.93,120.96,121.29,3076,0,145353,0
Ok,23-09-2025 15:00:00,1758619800,121.45,121.50,121.24,121.24,120.28,583,0,142277,0
Ok,23-09-2025 14:55:00,1758619500,121.40,121.50,121.40,121.45,122.73,212,0,141694,0
Ok,23-09-2025 14:50:00,1758619200,122.38,122.38,121.40,121.40,121.75,4244,0,141482,0
Ok,23-09-2025 14:45:00,1758618900,122.02,122.47,122.02,122.47,121.71,1305,0,137238,0
Ok,23-09-2025 14:40:00,1758618600,121.33,122.02,121.20,122.02,121.74,1319,0,135933,0
Ok,23-09-2025 14:35:00,1758618300,121.20,121.33,121.20,121.33,122.78,6,0,134614,0
Ok,23-09-2025 14:30:00,1758618000,121.11,121.40,121.00,121.20,121.35,944,0,134608,0
Ok,23-09-2025 14:25:00,1758617700,121.12,121.31,121.12,121.31,122.79,380,0,133664,0
Ok,23-09-2025 14:20:00,1758617400,121.23,121.49,120.70,120.96,120.16,3471,0,133284,0
Ok,23-09-2025 14:15:00,1758617100,121.51,121.52,121.23,121.23,122.86,1704,0,129813,0
Ok,23-09-2025 14:10:00,1758616800,121.51,121.65,121.51,121.51,122.86,291,0,128109,0
Ok,23-09-2025 14:05:00,1758616500,121.36,121.65,121.36,121.51,120.24,488,0,127818,0
Ok,23-09-2025 14:00:00,1758616200,121.30,121.36,121.30,121.36,122.87,1,0,127330,0
Ok,23-09-2025 13:55:00,1758615900,121.55,121.55,121.30,121.30,121.65,1044,0,127329,0
Ok,23-09-2025 13:50:00,1758615600,121.67,121.67,121.55,121.55,122.88,509,0,126285,0
