stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,23-09-2025 15:25:00,1758621300,256.05,256.15,252.00,252.00,254.45,1277,0,63455,0
Ok,23-09-2025 15:20:00,1758621000,256.00,256.15,255.95,256.15,256.91,210,0,62178,0
Ok,23-09-2025 15:15:00,1758620700,256.40,257.55,255.90,256.30,255.48,400,0,61968,0
Ok,23-09-2025 15:10:00,1758620400,256.05,256.55,256.05,256.45,257.86,312,0,61568,0
Ok,23-09-2025 15:05:00,1758620100,256.05,257.20,255.85,255.95,256.33,1238,0,61256,0
Ok,23-09-2025 15:00:00,1758619800,253.45,260.60,253.45,256.10,259.05,10418,0,60018,0
Ok,23-09-2025 14:55:00,1758619500,254.80,254.80,253.45,253.45,252.78,99,0,49600,0
Ok,23-09-2025 14:50:00,1758619200,254.50,254.80,254.50,254.80,252.78,5,0,49501,0
Ok,23-09-2025 14:45:00,1758618900,254.80,254.80,253.55,254.50,253.62,572,0,49496,0
Ok,23-09-2025 14:40:00,1758618600,254.40,254.90,254.30,254.80,252.77,53,0,48924,0
Ok,23-09-2025 14:35:00,1758618300,254.95,254.95,254.95,254.95,0.00,0,0,48871,0
Ok,23-09-2025 14:30:00,1758618000,254.95,254.95,254.55,254.95,252.77,43,0,48871,0
Ok,23-09-2025 14:25:00,1758617700,255.00,255.00,254.95,254.95,0.00,0,0,48828,0
Ok,23-09-2025 14:20:00,1758617400,255.00,255.00,255.00,255.00,255.01,217,0,48828,0
Ok,23-09-2025 14:15:00,1758617100,255.00,255.00,255.00,255.00,0.00,0,0,48611,0
Ok,23-09-2025 14:10:00,1758616800,254.00,255.00,254.00,255.00,254.37,300,0,48611,0
Ok,23-09-2025 14:05:00,1758616500,256.05,256.05,256.00,256.00,266.94,34,0,48311,0
Ok,23-09-2025 14:00:00,1758616200,256.30,258.00,256.05,256.05,256.55,500,0,48277,0
Ok,23-09-2025 13:55:00,1758615900,255.70,255.70,255.00,255.00,252.70,47,0,47777,0
Ok,23-09-2025 13:50:00,1758615600,254.55,255.70,254.55,255.70,262.23,50,0,47730,0
Ok,23-09-2025 13:45:00,1758615300,254.60,254.60,254.15,254.55,252.69,59,0,47680,0
Ok,23-09-2025 13:40:00,1758615000,254.20,255.00,254.20,254.60,252.69,53,0,47621,0
Ok,23-09-2025 13:35:00,1758614700,254.55,254.55,254.15,254.25,252.69,40,0,47568,0
Ok,23-09-2025 13:30:00,1758614400,254.75,255.50,254.65,254.75,252.69,58,0,47528,0
Ok,23-09-2025 13:25:00,1758614100,254.50,256.00,254.00,254.85,254.62,960,0,47470,0
Ok,23-09-2025 13:20:00,1758613800,252.00,254.15,251.70,254.00,253.34,29588,0,46510,0
Ok,23-09-2025 13:15:00,1758613500,252.55,252.55,252.00,252.00,251.42,7,0,16922,0
Ok,23-09-2025 13:10:00,1758613200,252.55,252.55,252.55,252.55,0.00,0,0,16915,0
Ok,23-09-2025 13:05:00,1758612900,252.55,252.55,252.55,252.55,0.00,0,0,16915,0
Ok,23-09-2025 13:00:00,1758612600,252.55,252.55,252.55,252.55,251.42,5,0,16915,0
Ok,23-09-2025 12:55:00,1758612300,252.50,252.55,252.50,252.55,251.42,18,0,16910,0
Ok,23-09-2025 12:50:00,1758612000,252.50,252.65,252.50,252.65,251.42,1,0,16892,0
Ok,23-09-2025 12:45:00,1758611700,252.50,252.50,252.50,252.50,0.00,0,0,16891,0
Ok,23-09-2025 12:40:00,1758611400,253.10,253.10,252.50,252.50,253.30,89,0,16891,0
Ok,23-09-2025 12:35:00,1758611100,252.55,253.70,252.30,253.10,253.08,392,0,16802,0
Ok,23-09-2025 12:30:00,1758610800,252.20,252.95,252.20,252.50,251.37,84,0,16410,0
Ok,23-09-2025 12:25:00,1758610500,253.10,253.10,251.95,252.20,252.09,223,0,16326,0
Ok,23-09-2025 12:20:00,1758610200,252.45,253.10,252.45,253.10,251.36,19,0,16103,0
Ok,23-09-2025 12:15:00,1758609900,252.65,252.65,252.65,252.65,0.00,0,0,16084,0
Ok,23-09-2025 12:10:00,1758609600,253.25,253.65,252.65,252.65,251.36,27,0,16084,0
Ok,23-09-2025 12:05:00,1758609300,252.35,254.45,252.35,253.20,253.18,259,0,16057,0
Ok,23-09-2025 12:00:00,1758609000,252.70,253.20,252.25,252.50,252.80,313,0,15798,0
Ok,23-09-2025 11:55:00,1758608700,252.60,252.60,251.90,251.90,258.32,22,0,15485,0
Ok,23-09-2025 11:50:00,1758608400,252.60,252.60,252.60,252.60,0.00,0,0,15463,0
Ok,23-09-2025 11:45:00,1758608100,252.35,252.60,252.05,252.60,251.29,10,0,15463,0
Ok,23-09-2025 11:40:00,1758607800,252.00,252.35,252.00,252.35,251.29,9,0,15453,0
Ok,23-09-2025 11:35:00,1758607500,251.85,252.00,251.60,252.00,251.29,4,0,15444,0
Ok,23-09-2025 11:30:00,1758607200,252.20,252.20,251.35,251.85,251.29,104,0,15440,0
Ok,23-09-2025 11:25:00,1758606900,252.40,253.35,252.00,252.20,252.60,229,0,15336,0
Ok,23-09-2025 11:20:00,1758606600,252.30,252.35,252.30,252.30,251.27,4,0,15107,0
Ok,23-09-2025 11:15:00,1758606300,252.20,252.25,251.85,252.25,252.07,185,0,15103,0
Ok,23-09-2025 11:10:00,1758606000,252.10,253.00,252.10,253.00,251.26,60,0,14918,0
Ok,23-09-2025 11:05:00,1758605700,251.35,252.55,251.35,252.55,253.72,60,0,14858,0
Ok,23-09-2025 11:00:00,1758605400,252.55,252.55,249.00,251.00,252.10,5766,0,14798,0
Ok,23-09-2025 10:55:00,1758605100,248.60,251.00,248.00,251.00,248.81,3783,0,9032,0
