stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,23-09-2025 15:25:00,1758621300,106.00,106.49,106.00,106.00,106.08,21536,0,220431,0
Ok,23-09-2025 15:20:00,1758621000,106.15,106.43,106.10,106.10,106.01,4457,0,198895,0
Ok,23-09-2025 15:15:00,1758620700,106.00,106.48,106.00,106.12,106.63,3553,0,194438,0
Ok,23-09-2025 15:10:00,1758620400,106.50,106.50,106.00,106.50,105.55,1459,0,190885,0
Ok,23-09-2025 15:05:00,1758620100,106.50,106.54,106.00,106.00,106.92,2720,0,189426,0
Ok,23-09-2025 15:00:00,1758619800,106.38,106.54,106.38,106.40,106.06,6674,0,186706,0
Ok,23-09-2025 14:55:00,1758619500,106.20,106.48,106.20,106.48,106.63,7633,0,180032,0
Ok,23-09-2025 14:50:00,1758619200,106.00,106.49,106.00,106.49,106.07,2712,0,172399,0
Ok,23-09-2025 14:45:00,1758618900,105.90,106.39,105.90,106.00,106.02,15778,0,169687,0
Ok,23-09-2025 14:40:00,1758618600,105.20,105.99,105.00,105.99,105.39,4501,0,153909,0
Ok,23-09-2025 14:35:00,1758618300,106.00,106.00,106.00,106.00,105.39,40,0,149408,0
Ok,23-09-2025 14:30:00,1758618000,105.20,106.00,105.20,105.20,105.39,1550,0,149368,0
Ok,23-09-2025 14:25:00,1758617700,105.15,105.20,105.15,105.20,105.39,50,0,147818,0
Ok,23-09-2025 14:20:00,1758617400,105.15,106.00,105.15,105.15,105.39,2068,0,147768,0
Ok,23-09-2025 14:15:00,1758617100,105.50,105.50,105.00,105.50,105.39,1542,0,145700,0
Ok,23-09-2025 14:10:00,1758616800,106.50,106.50,106.00,106.00,107.14,1623,0,144158,0
Ok,23-09-2025 14:05:00,1758616500,106.50,106.88,106.50,106.50,106.06,2016,0,142535,0
Ok,23-09-2025 14:00:00,1758616200,106.69,106.90,106.50,106.89,107.23,2207,0,140519,0
Ok,23-09-2025 13:55:00,1758615900,106.00,106.80,106.00,106.00,105.33,1009,0,138312,0
Ok,23-09-2025 13:50:00,1758615600,106.90,106.90,106.00,106.00,106.45,1211,0,137303,0
Ok,23-09-2025 13:45:00,1758615300,106.80,106.94,106.00,106.00,106.87,8956,0,136092,0
Ok,23-09-2025 13:40:00,1758615000,106.20,106.90,105.50,106.75,106.53,12918,0,127136,0
Ok,23-09-2025 13:35:00,1758614700,106.00,106.00,105.50,106.00,105.96,13240,0,114218,0
Ok,23-09-2025 13:30:00,1758614400,105.55,106.00,105.55,106.00,105.99,6277,0,100978,0
Ok,23-09-2025 13:25:00,1758614100,105.43,105.50,105.43,105.50,105.51,1441,0,94701,0
Ok,23-09-2025 13:20:00,1758613800,105.23,105.44,105.22,105.44,105.26,4350,0,93260,0
Ok,23-09-2025 13:15:00,1758613500,105.23,105.25,105.22,105.23,105.18,4874,0,88910,0
Ok,23-09-2025 13:10:00,1758613200,105.25,105.25,105.23,105.23,104.82,273,0,84036,0
Ok,23-09-2025 13:05:00,1758612900,105.25,105.25,105.25,105.25,105.31,3202,0,83763,0
Ok,23-09-2025 13:00:00,1758612600,105.20,105.25,105.16,105.25,105.24,8083,0,80561,0
Ok,23-09-2025 12:55:00,1758612300,105.19,105.19,105.17,105.17,104.75,533,0,72478,0
Ok,23-09-2025 12:50:00,1758612000,104.50,105.19,104.50,105.19,105.06,4250,0,71945,0
Ok,23-09-2025 12:45:00,1758611700,104.50,104.50,104.50,104.50,0.00,0,0,67695,0
Ok,23-09-2025 12:40:00,1758611400,104.20,104.50,104.20,104.50,101.66,220,0,67695,0
Ok,23-09-2025 12:35:00,1758611100,105.00,105.00,104.20,104.20,104.74,10,0,67475,0
Ok,23-09-2025 12:30:00,1758610800,105.00,105.00,105.00,105.00,0.00,0,0,67465,0
Ok,23-09-2025 12:25:00,1758610500,105.00,105.00,105.00,105.00,0.00,0,0,67465,0
Ok,23-09-2025 12:20:00,1758610200,105.00,105.00,105.00,105.00,105.84,605,0,67465,0
Ok,23-09-2025 12:15:00,1758609900,105.00,105.00,105.00,105.00,104.73,395,0,66860,0
Ok,23-09-2025 12:10:00,1758609600,105.00,105.00,105.00,105.00,104.73,10,0,66465,0
Ok,23-09-2025 12:05:00,1758609300,105.20,105.20,105.00,105.00,104.73,973,0,66455,0
Ok,23-09-2025 12:00:00,1758609000,104.00,105.20,104.00,105.20,104.73,179,0,65482,0
Ok,23-09-2025 11:55:00,1758608700,104.00,104.00,104.00,104.00,0.00,0,0,65303,0
Ok,23-09-2025 11:50:00,1758608400,105.00,105.00,104.00,104.00,104.73,10,0,65303,0
Ok,23-09-2025 11:45:00,1758608100,105.10,105.10,103.55,105.00,104.99,6598,0,65293,0
Ok,23-09-2025 11:40:00,1758607800,105.00,105.10,105.00,105.10,105.14,3645,0,58695,0
Ok,23-09-2025 11:35:00,1758607500,105.00,105.00,105.00,105.00,104.89,2322,0,55050,0
Ok,23-09-2025 11:30:00,1758607200,105.00,105.23,105.00,105.23,104.95,1720,0,52728,0
Ok,23-09-2025 11:25:00,1758606900,105.00,105.25,105.00,105.00,105.07,8056,0,51008,0
Ok,23-09-2025 11:20:00,1758606600,105.19,105.25,105.16,105.23,105.24,3454,0,42952,0
Ok,23-09-2025 11:15:00,1758606300,105.00,105.20,105.00,105.18,104.97,2397,0,39498,0
Ok,23-09-2025 11:10:00,1758606000,104.00,105.20,103.05,105.00,104.85,12215,0,37101,0
Ok,23-09-2025 11:05:00,1758605700,103.06,104.00,103.05,104.00,103.21,680,0,24886,0
Ok,23-09-2025 11:00:00,1758605400,103.50,104.00,103.06,103.06,104.32,154,0,24206,0
