stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
Ok,24-09-2025 12:45:00,1758698100,136.90,137.00,136.83,136.90,136.49,9274,0,710522,0
Ok,24-09-2025 12:40:00,1758697800,136.92,136.92,136.73,136.89,136.73,10711,0,701248,0
Ok,24-09-2025 12:35:00,1758697500,137.00,137.00,136.95,137.00,137.46,11576,0,690537,0
Ok,24-09-2025 12:30:00,1758697200,136.99,137.00,136.70,137.00,136.65,18911,0,678961,0
Ok,24-09-2025 12:25:00,1758696900,136.98,137.11,136.87,137.00,136.92,11062,0,660050,0
Ok,24-09-2025 12:20:00,1758696600,137.00,137.37,136.96,137.00,137.07,46201,0,648988,0
Ok,24-09-2025 12:15:00,1758696300,137.00,137.05,136.99,137.00,137.33,6912,0,602787,0
Ok,24-09-2025 12:10:00,1758696000,136.95,137.03,136.95,137.03,136.80,20555,0,595875,0
Ok,24-09-2025 12:05:00,1758695700,136.85,136.97,136.85,136.95,137.26,5732,0,575320,0
Ok,24-09-2025 12:00:00,1758695400,136.91,136.97,136.83,136.86,136.91,24136,0,569588,0
Ok,24-09-2025 11:55:00,1758695100,137.00,137.05,136.84,136.95,136.89,14820,0,545452,0
Ok,24-09-2025 11:50:00,1758694800,137.48,137.48,136.70,136.98,136.99,15044,0,530632,0
Ok,24-09-2025 11:45:00,1758694500,137.54,137.55,137.22,137.46,137.25,4444,0,515588,0
Ok,24-09-2025 11:40:00,1758694200,137.64,137.65,137.45,137.49,137.59,6149,0,511144,0
Ok,24-09-2025 11:35:00,1758693900,137.26,137.66,137.18,137.65,138.43,2655,0,504995,0
Ok,24-09-2025 11:30:00,1758693600,137.50,137.55,137.00,137.25,137.18,41014,0,502340,0
Ok,24-09-2025 11:25:00,1758693300,137.65,137.74,137.50,137.50,137.65,5200,0,461326,0
Ok,24-09-2025 11:20:00,1758693000,137.50,137.73,137.43,137.73,137.53,8872,0,456126,0
Ok,24-09-2025 11:15:00,1758692700,136.93,137.65,136.91,137.60,137.16,76923,0,447254,0
Ok,24-09-2025 11:10:00,1758692400,137.80,137.93,136.92,136.92,137.29,84160,0,370331,0
Ok,24-09-2025 11:05:00,1758692100,138.20,138.29,137.78,137.78,138.01,20478,0,286171,0
Ok,24-09-2025 11:00:00,1758691800,138.65,138.69,138.25,138.29,138.33,9522,0,265693,0
Ok,24-09-2025 10:55:00,1758691500,138.55,138.75,138.48,138.69,138.59,8647,0,256171,0
Ok,24-09-2025 10:50:00,1758691200,139.48,139.58,138.51,138.70,138.90,23152,0,247524,0
Ok,24-09-2025 10:45:00,1758690900,139.62,139.74,139.48,139.54,139.55,3002,0,224372,0
Ok,24-09-2025 10:40:00,1758690600,139.83,139.88,139.57,139.71,139.54,8808,0,221370,0
Ok,24-09-2025 10:35:00,1758690300,140.30,140.30,139.81,139.95,139.95,18976,0,212562,0
Ok,24-09-2025 10:30:00,1758690000,140.33,140.71,140.18,140.27,140.39,17902,0,193586,0
Ok,24-09-2025 10:25:00,1758689700,140.10,140.67,140.06,140.67,140.34,10608,0,175684,0
Ok,24-09-2025 10:20:00,1758689400,139.59,140.00,139.51,140.00,139.88,23967,0,165076,0
Ok,24-09-2025 10:15:00,1758689100,139.59,139.66,139.50,139.60,140.60,1047,0,141109,0
Ok,24-09-2025 10:10:00,1758688800,139.45,139.59,139.39,139.53,139.26,3775,0,140062,0
Ok,24-09-2025 10:05:00,1758688500,139.72,139.80,139.39,139.49,139.72,13171,0,136287,0
Ok,24-09-2025 10:00:00,1758688200,139.53,139.70,139.53,139.70,139.78,2091,0,123116,0
Ok,24-09-2025 09:55:00,1758687900,139.44,139.47,139.21,139.47,139.20,2924,0,121025,0
Ok,24-09-2025 09:50:00,1758687600,139.52,139.53,139.30,139.30,139.20,2988,0,118101,0
Ok,24-09-2025 09:45:00,1758687300,139.05,139.48,139.05,139.38,139.32,8318,0,115113,0
Ok,24-09-2025 09:40:00,1758687000,139.53,139.53,139.09,139.25,139.63,2329,0,106795,0
Ok,24-09-2025 09:35:00,1758686700,139.52,139.77,139.09,139.70,139.37,9634,0,104466,0
Ok,24-09-2025 09:30:00,1758686400,138.46,139.52,138.46,139.38,138.66,24546,0,94832,0
Ok,24-09-2025 09:25:00,1758686100,139.30,139.30,138.42,138.50,138.59,15174,0,70286,0
Ok,24-09-2025 09:20:00,1758685800,139.14,139.38,138.61,139.25,138.97,25594,0,55112,0
Ok,24-09-2025 09:15:00,1758685500,140.32,140.70,138.98,139.15,155.70,26542,0,29518,0
